fs,version,profile,rows,baseline_recovered,median_scoring_ms,median_total_ms
2500000,native,grid512,162,17,30.33259091898799,114.51640957966447
2500000,native,grid8192,162,17,34.581832005642354,119.10102947149426
2500000,native,local512,162,17,58.02131863310933,141.46511675789952
2500000,native,joint512,162,17,303.1053348677233,385.89191995561123
5000000,native,grid512,162,17,43.60405448824167,415.35758471582085
5000000,native,grid8192,162,17,50.31363863963634,422.91328695137054
5000000,native,local512,162,17,82.28686533402652,455.0086670788005
5000000,native,joint512,162,17,442.35809170641005,806.1708264285699
2500000,filtered,grid512,162,17,28.6595398792997,115.30674900859594
2500000,filtered,grid8192,162,17,33.655367442406714,120.01870293170214
2500000,filtered,local512,162,17,53.96937392652035,140.9291278105229
2500000,filtered,joint512,162,17,286.256046500057,376.4239614829421
