fs,fine_step_hz,grid,case,attempted,recovered,paired_comparisons,paired_rms_error,rms_error,p95_abs_error
2500000,500,512,delay_ns,72,62,59,24.83621413268996,24.28937018165026,45.33563281371568
2500000,500,512,shift_hz,72,67,63,45.624740151036434,44.802379619552596,129.01067667227088
2500000,500,8192,delay_ns,72,62,59,24.76643853640415,24.22208486918436,45.17701239266966
2500000,500,8192,shift_hz,72,67,63,36.459082445185224,35.41853226017221,37.17892854648696
2500000,250,512,delay_ns,72,62,59,25.12728204690458,24.569464956550977,45.32214785167545
2500000,250,512,shift_hz,72,67,63,4.000665445871923,3.9435823010583886,7.340393493294245
2500000,250,8192,delay_ns,72,62,59,25.079795108469852,24.527061012598093,45.17376646233849
2500000,250,8192,shift_hz,72,67,63,7.438479561096523,9.508684016487221,26.20256633420065
5000000,500,512,delay_ns,72,68,59,9.38760704143532,9.297403820053171,15.59932671361888
5000000,500,512,shift_hz,72,68,63,68.02101263999288,65.94247169531995,193.47733701425366
5000000,500,8192,delay_ns,72,68,59,9.384939382495757,9.309849975414098,15.6520386822305
5000000,500,8192,shift_hz,72,68,63,20.691417343523106,24.855169591434276,37.33471010519419
5000000,250,512,delay_ns,72,68,59,9.115924545313485,9.0959747225809,14.940468912828765
5000000,250,512,shift_hz,72,68,63,37.259160316355924,41.59339566113668,83.55903048279848
5000000,250,8192,delay_ns,72,68,59,9.132538505517223,9.114797961395139,14.932608486499833
5000000,250,8192,shift_hz,72,68,63,9.384687521036312,9.381814566382577,24.194194570597062
