session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-ca412a042c7f030b,15.0,sha256:395870719601bfc3fb029004c57c60d42990bfadf2605db09864ee6b8cd16861,3,lower,7.454953867,12,15.742988268884767,-3711.970656712112,sparse
scan-fw-41baafbb4271e426,10.0,sha256:97c314ef8ec57314a43b32bb61093b5c6a406a1b2fbe6678cf9c64a847add6bb,3,upper,13.2083532,12,203.3366003084734,-3525.1723508658247,sparse
scan-fw-b2f704c15e95d366,10.0,sha256:971da929951fac6fba2dcd68c8aa27800ef54d85bdc31f31891d403b980969e4,2,upper,8.4403343,13,130.6803316029994,-4060.80244551386,sparse
scan-fw-b2f704c15e95d366,10.0,sha256:26f05f83bbceb38e9721d6ef6066453cb34953620c32465af466815bf503ac67,4,lower,13.3507418,12,143.50413947962394,-3843.310426830549,sparse
scan-fw-e902dc59d3ff9b05,15.0,sha256:c645c2f42a6360c68f14899c2b06dafb66fb0db3bbe963d5c6c665596c28ba8f,4,upper,9.5588258,12,69.12324654183448,-3890.711543306063,sparse
scan-fw-e902dc59d3ff9b05,15.0,sha256:08f9a8b62016d87ee7ca3bd016e4fcb26393c09aa77a3ea0ddd03363557cdc70,4,lower,13.349746,13,324.45130112850387,-3090.7222726901455,sparse
scan-fw-1043f994f9abb964,10.0,sha256:316277ee42ea14bfe2ff3ee7862903d2a2a09633a551d30ad0b2848592154dea,2,upper,6.8933198,12,24.25954349696688,-3878.651298599512,short+sparse
scan-fw-530f9e29db0f3554,15.0,sha256:ab040a85e98ecc52bf514a9c355f347dd7f7688c534fb7c5dbbcb9bd37953bc0,4,upper,11.805692666,12,174.47342024456535,-3643.424515298494,sparse
scan-fw-16df08681cce3379,15.0,sha256:9fbafdd661d1b9474d3167e45bc941e3f115098b2f37d7221df9acb522d0375d,4,lower,17.152345067,12,224.5469145077618,-3778.493883722941,sparse
scan-fw-16df08681cce3379,15.0,sha256:6feb11cf06b57a1e213a028ea9700d43792394703e5df50475342aae1c43f94b,3,lower,11.260087734,13,133.99339711277233,-3726.2723694997253,sparse
scan-fw-18a6e9e8c81a5725,20.0,sha256:f1562b537366063f052fbeb90564b68662e93176304342647e734a7b5f0ce3bb,4,lower,14.34688885,12,150.7121952168102,-3755.956645996344,sparse
scan-fw-18a6e9e8c81a5725,20.0,sha256:7f6a5bc9c5cd99a68d9e149066fa7922cd5c052e34de294a4c9e6e2c28f2ef9d,1,lower,14.05346605,13,32.7046906637545,-3731.6614308015596,sparse
