session_id,published_ns,rate_msps,tracklet_id,channel,edge,observations,evaluation_observations,span_s,best_norad,runner_norad,best_rms_hz,runner_rms_hz
scan-fw-4f2ab8b2ffd60b4b,1789877934338422684,15.0,sha256:2c30d8fc36ad3bcace9b88c5d44127e1892807ee7b871646a70a4e46e342271b,4,upper,23,10,25.254151074999996,59351,51731,39.82499584644443,67.90165138184541
scan-fw-4f2ab8b2ffd60b4b,1789877934338422684,15.0,sha256:734de23d45e10be12353b00394965472ac939fa423dfac5ffd3bfec981c7e8a1,2,upper,55,22,33.116163189999995,63470,61675,102.41979293099688,534.7186752449301
scan-fw-ebbc8ef303acf34e,1789877367800077194,20.0,sha256:17e1df738ce814b2abc975cd2599c49217e35fd87df718a359c669ed55243f97,3,upper,26,11,10.389301454000005,65239,100281,72.33424506447797,189.0907160549763
scan-fw-16cc188051aa3a6c,1789876141038705510,15.0,sha256:3d9ea6cde321818d5b61f0c211879bb89b291d05d7e9ed296b8e7aac67bcdbdb,4,lower,15,6,11.505332242999998,100162,65743,24.02581949766754,187.35346989777392
scan-fw-16cc188051aa3a6c,1789876141038705510,15.0,sha256:58e2a287ffb5c7fd14034d3112ee548011b4f7fead0ab6bc14d3a7e81110f063,2,lower,21,9,18.798956256000025,68784,68818,27.238956660526977,1965.921520379319
scan-fw-16cc188051aa3a6c,1789876141038705510,15.0,sha256:eff6599cc5e036821f66c004bdffdf40b824fdf9eb53b3c8439ec9c38566b680,1,lower,17,7,9.540011115000027,68784,68818,33.285029053234844,1079.6370497859934
scan-fw-33676a797773cca1,1789875589713598756,20.0,sha256:c564efa0df8e1f9ef921731429fdb232b87c1e6eae046f0247a9552fc22ae6b8,1,lower,42,17,22.04230671899998,59741,67661,64.76993649768022,515.8656373331565
scan-fw-cdba62ba6aff7b31,1789875484843462452,10.0,sha256:1dead195bfc66bd9f7da8eb2b98c04c133c5a64842405835f685d04ddf6d57b8,1,upper,20,8,12.485433760999967,56289,48293,53.86793441314636,166.97333841529556
scan-fw-8f727a1e8435c80f,1789874332265547225,15.0,sha256:62a9808f46b455ffca2ed794c92824efd051ce9305e3b1cf14b48eab7f786ad1,1,upper,15,6,9.401337846999994,69345,68904,56.04164415334035,55.69884760034961
scan-fw-8f727a1e8435c80f,1789874332265547225,15.0,sha256:1aca1f55e4f708857e84e1a7740b45db9782cc01682eecd04fdecff192521ff3,4,upper,16,7,14.730727018999971,61963,63312,84.81362288269354,190.07258346751368
scan-fw-89ea2432bee57395,1789873687177752202,10.0,sha256:66ed7e6fdd14ccf0cccfdd3d868e87f66aaa1cb31b931d07b7fb29bd67eb0918,2,lower,34,14,16.836342934999998,59746,62782,43.83463924260095,236.759027277469
