beam_category,channel,confirmatory_after_prior_freeze,edge,evaluation_rms_ratio_rank2_over_rank1,identity_evidence_use,paired_points,pass_key,profile_rms_contrast,rank1_beam_rms_db,rank1_catalog_number,rank1_evaluation_rms_hz,rank1_training_rms_hz,rank2_beam_rms_db,rank2_catalog_number,rank2_evaluation_rms_hz,rank2_training_rms_hz,reason,receiver_id,reject_identity_on_missing_detection,reject_identity_on_response_mismatch,session_id,state,stratum,tracklet_id,visibility_status
,3,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:0b65b0f881c05ad4318b97afbef0b66873ef491115eeff0deb1febb92cb76bd0,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:0b65b0f881c05ad4318b97afbef0b66873ef491115eeff0deb1febb92cb76bd0,unobstructed-visibility-unknown
,1,False,lower,3.2735116209719726,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:68116,0.8804121513496664,,68116,99.16550119710789,126.01416955188986,,64372,324.61942056824273,403.30927384169564,fewer-than-three-paired-points,0,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:0f73293afa9090ebbe5d034f05028db2dd79721c1f0eea299305ff486788f2c5,unobstructed-visibility-unknown
orientation-calibration-uncertain,4,False,lower,36.133400334505566,descriptive-response-consistency-only,11,scan-hop-01b11a5d776e7369:67852,3.213209718668094,1.9431867911744634,67852,94.71941862561904,106.31911221126865,2.5115208207201034,64071,3422.534672651116,2306.1844118687613,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:128f9fd8676bbdbc01b10eb5b1bae5052cf66198a5f15b59e59a9982c9cf04dd,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,10.616645710505596,descriptive-response-consistency-only,27,scan-hop-01b11a5d776e7369:59081,2.0202660053496113,1.0965599588227468,59081,137.80545512124516,116.4098009541928,1.5771186319416077,65332,1463.0316939972388,1445.6559317846986,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:1798bd29ca3d104c3b50757cc1275d2778cf4f44a90c1a03277470b4669ad439,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,13.369023091160987,descriptive-response-consistency-only,13,scan-hop-01b11a5d776e7369:68115,2.249156437601109,1.3923578852963234,68115,171.5253817875925,85.33683228091135,4.6205919092355785,59554,2293.126789838528,2209.912848520421,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:1dd2f82e7bce1e72bc9c9a4819b29f90a660567fe550df098c979aa680829c3b,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,3.065012818001198,descriptive-response-consistency-only,9,scan-hop-01b11a5d776e7369:62478,0.8240553711533548,1.1465697376242034,62478,134.4992586928031,92.73611041242255,3.762392009536114,52452,412.24195190510056,596.6944680696728,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:1fa7e5bb48e51a722ce880ee64bf7e4b526b25c393c570be3626f3f6936d879b,unobstructed-visibility-unknown
,1,False,lower,3.310974676479451,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67175,0.6594089165205984,,67175,61.577269422483006,50.80558725763964,,67870,203.88077970459366,166.18336048715628,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:2c16ec77c98c00b736d2683ea7d0ca2346063d0c98d6483840756ebd1bbb3086,unobstructed-visibility-unknown
,3,False,lower,7.738836182798262,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:65343,1.707957484545842,,65343,106.12856815240397,22.045977391326943,,58057,821.3116032463952,132.69594732076874,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,clear-at-least-3,sha256:2e5f2561359cc6a1629762e342f396ee6bcb76df64e8251009a900898ee8073c,unobstructed-visibility-unknown
,4,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:30078368301e66b566e1bbb4c45f75cb2e720f4eac07159ae0d942be098d683f,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:30078368301e66b566e1bbb4c45f75cb2e720f4eac07159ae0d942be098d683f,unobstructed-visibility-unknown
,1,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:304b1431fe52892d3e8c91f9b4632cc1e9bedd69d46576333d0155d82c102591,,,,,,,,,,fewer-than-two-candidates,0,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:304b1431fe52892d3e8c91f9b4632cc1e9bedd69d46576333d0155d82c102591,unobstructed-visibility-unknown
