model,label,budget,total,converged,exact_checked,exact_passed,qualified,sub_km_qualified,qualified_error_min_m,qualified_error_median_m,qualified_error_max_m
sparse-gaussian-fixed250,"Original memberships, Gaussian fixed 250 Hz",399,3,2,2,2,2,0,2288.4598872196516,2902.8577091824945,3517.2555311453375
sparse-gaussian-fixed250,"Original memberships, Gaussian fixed 250 Hz",798,3,3,3,2,2,0,1166.6689966270558,1696.1874438643576,2225.7058911016597
sparse-gaussian-fixed250,"Original memberships, Gaussian fixed 250 Hz",1597,3,2,2,1,1,0,1632.0910863021827,1632.0910863021827,1632.0910863021827
sparse-gaussian-learned,"Original memberships, Gaussian learned scale",399,3,0,0,0,0,0,,,
sparse-gaussian-learned,"Original memberships, Gaussian learned scale",798,3,0,0,0,0,0,,,
sparse-gaussian-learned,"Original memberships, Gaussian learned scale",1597,3,0,0,0,0,0,,,
sparse-student-fixed250,"Original memberships, Student fixed 250 Hz",399,3,3,3,2,2,0,2240.5887650823975,2752.36214264135,3264.1355202003033
sparse-student-fixed250,"Original memberships, Student fixed 250 Hz",798,3,2,2,2,2,0,1263.8767052064627,1702.136784587328,2140.3968639681934
sparse-student-fixed250,"Original memberships, Student fixed 250 Hz",1597,3,3,3,2,2,0,1639.6798560225986,1885.7152774331112,2131.750698843624
shape3-formal,"Packet 3, formal",399,3,3,3,3,3,2,414.7726856509758,641.8184071579964,1257.7425871472697
shape3-formal,"Packet 3, formal",798,3,3,3,3,3,3,675.495921060907,918.527564453364,954.0667751878619
shape3-formal,"Packet 3, formal",1597,3,1,1,1,1,1,547.7852319361016,547.7852319361016,547.7852319361016
shape3-gaussian-fixed250,"Packet 3, Gaussian fixed 250 Hz",399,3,3,3,0,0,0,,,
shape3-gaussian-fixed250,"Packet 3, Gaussian fixed 250 Hz",798,3,3,3,0,0,0,,,
shape3-gaussian-fixed250,"Packet 3, Gaussian fixed 250 Hz",1597,3,3,3,0,0,0,,,
shape5-formal,"Packet 5, formal",399,3,3,3,3,3,0,1015.4801255881221,1076.9146684039997,1527.9354518178222
shape5-formal,"Packet 5, formal",798,3,3,3,3,3,1,895.8754909735236,1031.0744399962236,1037.7454626303436
shape5-formal,"Packet 5, formal",1597,3,3,3,3,3,3,351.3609429748005,541.1456476063321,835.6479667279299
shape5-gaussian-fixed250,"Packet 5, Gaussian fixed 250 Hz",399,3,3,3,1,1,0,2211.257597818607,2211.257597818607,2211.257597818607
shape5-gaussian-fixed250,"Packet 5, Gaussian fixed 250 Hz",798,3,3,3,0,0,0,,,
shape5-gaussian-fixed250,"Packet 5, Gaussian fixed 250 Hz",1597,3,3,3,0,0,0,,,
