joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-01b11a5d776e7369,sha256:128f9fd8676bbdbc01b10eb5b1bae5052cf66198a5f15b59e59a9982c9cf04dd,sha256:3a6562f22b17dd65a5471d88e15c6f7f5d7114f00b6cb7cdeb3020f3b343b29b,same-leader,11,67852,67852,67852,64071,True,73.95410191181405,2386.346850365913,67852,67852
scored,scan-hop-01b11a5d776e7369,sha256:1798bd29ca3d104c3b50757cc1275d2778cf4f44a90c1a03277470b4669ad439,sha256:ce4f143587a0f9c2e829ce7e9e9359c22a62b67d44c17f2cd0185c22b5ce097d,same-leader,27,59081,59081,59081,65323,True,89.12690116671575,1639.4250235758807,59081,59081
scored,scan-hop-01b11a5d776e7369,sha256:3615993bc8192ec386e7525dc6d3f53f7be30362a51bd0ddc1aff129ec25a747,sha256:1fa7e5bb48e51a722ce880ee64bf7e4b526b25c393c570be3626f3f6936d879b,same-leader,9,62478,62478,62478,52452,True,118.13145989831322,623.9115550947326,62478,62478
scored,scan-hop-01b11a5d776e7369,sha256:3d1e8495d40d9ebe7c6a4335ec6f333be4099d86a1531eb0daf67d0ab053b2b9,sha256:1dd2f82e7bce1e72bc9c9a4819b29f90a660567fe550df098c979aa680829c3b,same-leader,13,68115,68115,68115,59554,True,106.92444496826266,2415.7425654738427,68115,68115
scored,scan-hop-01b11a5d776e7369,sha256:5893fedf39488361e1e25998cd2ab7e864d5c19bd1a39cc4e480164c96c06ef0,sha256:c30467fede94973abad4c0ede4e0c6ae24c909f0a8df2467e6c804e9f4d6484d,same-leader,16,67870,67870,67870,45369,True,123.52642035351346,1091.0913591993765,67870,67870
scored,scan-hop-01b11a5d776e7369,sha256:6c8be18286e9133e439695b49199abaf4d15ddfaec5d55e13448642d82ac580b,sha256:e1c5b1ef792aac8c4785159322880ffaf2ac164339c8e5b98d9caf21c0a69d8b,same-leader,10,59554,59554,59554,68115,True,60.44305683077674,2230.976630234166,59554,59554
scored,scan-hop-01b11a5d776e7369,sha256:793c7a4a4ec1e5e6c324e18c38b8953a4cc033a8a168a5d363aa06bcdbf9b3d4,sha256:8c03fa2befa3b173bf445de1fd22a48b845b6ba62db92ff043e5c0e6ccffa2dc,same-leader,16,67852,67852,67852,64071,True,114.31391442140318,2529.727982446556,67852,67852
scored,scan-hop-01b11a5d776e7369,sha256:882ad02fc9e219d6df03966d3ce3c868525c42731d2fac13bab62f47c7af3743,sha256:9ff8a3c8fdd83bd59b3424e1daba1603a74154d76b1af031cc16ac2f403dcf54,same-leader,33,65348,65348,65348,64184,True,138.27207026585444,344.5247709778595,65348,65348
scored,scan-hop-01b11a5d776e7369,sha256:92b77a1042fdf8e931c09c3713b5ca7c2edfea6996d69c51090e799518eedd5e,sha256:4d78ee5dbf004b071d269000c0a350b279ad14bc45cb1c0ab2da1de5aebde31d,same-leader,17,68115,68115,68115,52452,True,100.03920594917444,2877.605864223519,68115,68115
scored,scan-hop-01b11a5d776e7369,sha256:a5496c5be930738c2b378edcc0a4d5b3acf197f9282993ac42b049921d098dae,sha256:d8412d4049ef107783d3dca29eef7700335e7811c6a281e8c44364d02ded5cb6,unreviewed-side,6,68116,,68116,47770,True,83.95064066704724,109.4372804022562,68116,47770
