session_id,episode_id,candidate_role,norad,partition,training_count,heldout_count,offset_hz,training_rms_hz,heldout_rms_hz
scan-fw-1d05092feaa8f7d5,sha256:fa1b8229d7191481088f7ef5760dfa19f6e1b5c42dc4edea779c65c5c2d0dde3,chronological_leader,55461,chronological,21,15,-196110.54282421252,268.25971501740537,1980.421053602174
scan-fw-1d05092feaa8f7d5,sha256:fa1b8229d7191481088f7ef5760dfa19f6e1b5c42dc4edea779c65c5c2d0dde3,chronological_leader,55461,five_block,22,14,-197032.55136209817,1185.2287937471986,861.6808399471886
scan-fw-1d05092feaa8f7d5,sha256:fa1b8229d7191481088f7ef5760dfa19f6e1b5c42dc4edea779c65c5c2d0dde3,five_block_leader,60943,chronological,21,15,-233522.56735730512,324.8808434006409,280.4412832728027
scan-fw-1d05092feaa8f7d5,sha256:fa1b8229d7191481088f7ef5760dfa19f6e1b5c42dc4edea779c65c5c2d0dde3,five_block_leader,60943,five_block,22,14,-233534.26887348946,321.07632069061106,294.1129099474295
scan-fw-64e06d86f4746e55,sha256:ff355e16ffedce959d3234458cfc3744c81bf8f4610ce8b7bae2361cc8707de1,chronological_leader,69833,chronological,27,18,-934392.3369476133,252.47990544897107,1020.280531596349
scan-fw-64e06d86f4746e55,sha256:ff355e16ffedce959d3234458cfc3744c81bf8f4610ce8b7bae2361cc8707de1,chronological_leader,69833,five_block,27,18,-934848.0022121042,644.0635848827023,409.1888572325065
scan-fw-64e06d86f4746e55,sha256:ff355e16ffedce959d3234458cfc3744c81bf8f4610ce8b7bae2361cc8707de1,five_block_leader,68812,chronological,27,18,-939324.493900342,339.0570948063079,552.8580145418385
scan-fw-64e06d86f4746e55,sha256:ff355e16ffedce959d3234458cfc3744c81bf8f4610ce8b7bae2361cc8707de1,five_block_leader,68812,five_block,27,18,-939138.7964322458,447.74012714014225,244.7106466966363
scan-fw-e201d79ba3234e2e,sha256:203bcb0fbbfec36c45e49bb7f7d8740accd4c2ce7d53909bf6b337ef3754927e,chronological_leader,69332,chronological,29,20,38501.64863481151,312.15857280681655,1610.422234247946
scan-fw-e201d79ba3234e2e,sha256:203bcb0fbbfec36c45e49bb7f7d8740accd4c2ce7d53909bf6b337ef3754927e,chronological_leader,69332,five_block,29,20,37757.07692990731,953.8337055931659,748.8672589603806
scan-fw-e201d79ba3234e2e,sha256:203bcb0fbbfec36c45e49bb7f7d8740accd4c2ce7d53909bf6b337ef3754927e,five_block_leader,64943,chronological,29,20,2849.842361495682,443.9168413405175,476.6208557039769
scan-fw-e201d79ba3234e2e,sha256:203bcb0fbbfec36c45e49bb7f7d8740accd4c2ce7d53909bf6b337ef3754927e,five_block_leader,64943,five_block,29,20,3081.516888235055,524.0175562128167,336.20479417222924
scan-fw-e201d79ba3234e2e,sha256:216ceffec0536c10d629de2da32d7404391cf458c5d1a55b6fc462bcf869ad8d,chronological_leader,69332,chronological,33,22,38869.53840356406,190.89924178259068,1495.9079409226533
scan-fw-e201d79ba3234e2e,sha256:216ceffec0536c10d629de2da32d7404391cf458c5d1a55b6fc462bcf869ad8d,chronological_leader,69332,five_block,33,22,38196.94696630866,917.0263210660291,598.8405556203307
scan-fw-e201d79ba3234e2e,sha256:216ceffec0536c10d629de2da32d7404391cf458c5d1a55b6fc462bcf869ad8d,five_block_leader,64943,chronological,33,22,3271.207904767456,416.9107400340885,423.26990822898125
scan-fw-e201d79ba3234e2e,sha256:216ceffec0536c10d629de2da32d7404391cf458c5d1a55b6fc462bcf869ad8d,five_block_leader,64943,five_block,33,22,3394.3422661912687,463.0140891178054,400.88554365353895
