window_index,window_id,scan_count,elapsed_span_seconds,nominal_capture_seconds,method,latitude_deg,longitude_deg,error_km,common_reserved_capped800_rmse_hz,common_reserved_uncapped_rmse_hz
0,utc2h-20260922T1800Z,10,5749.762782,3000,duration_capped800,37.84429046325995,-122.51836770128692,2.9204356222278802,146.84118052377045,202.5248450111061
0,utc2h-20260922T1800Z,10,5749.762782,3000,duration_robust150,37.84469878845526,-122.51840279650176,2.9156112895070407,146.84788969110525,202.5163885421165
0,utc2h-20260922T1800Z,10,5749.762782,3000,equal_scan_robust150,37.84430366784086,-122.5174542794444,2.8413146233585103,146.81322965629076,202.53133570699794
0,utc2h-20260922T1800Z,10,5749.762782,3000,hard,37.84076653398325,-122.5182682335817,3.0076606779890733,146.83439651260275,205.05898700777516
0,utc2h-20260922T1800Z,10,5749.762782,3000,soft,37.846763771835825,-122.51849978094178,2.894999356849082,146.80624815688535,202.4216892461226
1,utc2h-20260922T1800Z-first-scan,1,300.0,300,duration_capped800,37.593724037546124,-122.35774557956778,30.53693829547982,177.51578538493365,207.9855292148186
1,utc2h-20260922T1800Z-first-scan,1,300.0,300,duration_robust150,37.78679261317794,-122.46522060650165,7.149747169618372,109.11550510225707,109.11550510225707
1,utc2h-20260922T1800Z-first-scan,1,300.0,300,equal_scan_robust150,37.78679261317794,-122.46522060650165,7.149747169618372,109.11550510225707,109.11550510225707
1,utc2h-20260922T1800Z-first-scan,1,300.0,300,hard,37.529852538246104,-122.28932456055041,39.47242709320647,196.66767285069696,197.4693532803697
1,utc2h-20260922T1800Z-first-scan,1,300.0,300,soft,37.743523604042366,-122.14558691024666,32.10095068466289,167.3585112732096,167.3585112732096
2,utc2h-20260923T0800Z,12,7043.164869,3600,duration_capped800,37.84026425708862,-122.48147451686256,1.0417887672698856,155.37807843712304,169.30664049638145
2,utc2h-20260923T0800Z,12,7043.164869,3600,duration_robust150,37.8395854801278,-122.4790629123417,1.1993665304344667,155.44505688096936,169.3238445446738
2,utc2h-20260923T0800Z,12,7043.164869,3600,equal_scan_robust150,37.83952211525509,-122.47992808657395,1.1709680582368367,155.3447231005906,169.23756331513812
2,utc2h-20260923T0800Z,12,7043.164869,3600,hard,37.79044664457434,-122.41979874905121,8.712059795689955,160.43860003327893,173.7585133412753
2,utc2h-20260923T0800Z,12,7043.164869,3600,soft,37.79352129806608,-122.42121290850042,8.37493044385081,159.65506639578095,173.0151885995401
3,utc2h-20260923T0800Z-first-scan,1,300.0,300,duration_capped800,37.79721829923962,-122.21639004627882,24.342158138675092,148.22590844939265,148.22590844939265
3,utc2h-20260923T0800Z-first-scan,1,300.0,300,duration_robust150,37.794975791305056,-122.21630921284377,24.40960974178278,148.39083978276796,148.39083978276796
3,utc2h-20260923T0800Z-first-scan,1,300.0,300,equal_scan_robust150,37.794975791305056,-122.21630921284377,24.40960974178278,148.39083978276796,148.39083978276796
3,utc2h-20260923T0800Z-first-scan,1,300.0,300,hard,37.79405783512876,-122.21463683631484,24.577338344046407,148.8134711478628,148.8134711478628
3,utc2h-20260923T0800Z-first-scan,1,300.0,300,soft,37.79665868315075,-122.21226952473341,24.708624765139955,149.12462655402447,149.12462655402447
