window_index,window_id,scan_count,method,latitude_deg,longitude_deg,error_km,reserved_capped800_rmse_hz,reserved_uncapped_rmse_hz,boundary_fraction
0,utc2h-20260922T1800Z,10,integer_capped800,37.84429046325995,-122.51836770128692,2.9204356222278802,146.84118052377045,202.5248450111061,0.03287671232876712
0,utc2h-20260922T1800Z,10,fractional_capped800,37.847224892441275,-122.49246859197692,0.6311953509269553,139.5561753320478,197.36760059693617,0.03287671232876712
0,utc2h-20260922T1800Z,10,fractional_robust150,37.846307228867055,-122.49289431219178,0.7042555130352554,139.56866692105183,197.34735337448038,0.03287671232876712
1,utc2h-20260922T1800Z-first-scan,1,integer_capped800,37.593724037546124,-122.35774557956778,30.53693829547982,177.51578538493365,207.9855292148186,0.10344827586206896
1,utc2h-20260922T1800Z-first-scan,1,fractional_capped800,37.73972016042795,-122.14319425470467,32.453471337243755,161.6441951999046,161.6441951999046,0.20689655172413793
1,utc2h-20260922T1800Z-first-scan,1,fractional_robust150,37.74456579334217,-122.15566951602581,31.234525977503232,164.31585886034594,164.31585886034594,0.1724137931034483
2,utc2h-20260923T0800Z,12,integer_capped800,37.84026425708862,-122.48147451686256,1.0417887672698856,155.37807843712304,169.30664049638145,0.05113636363636364
2,utc2h-20260923T0800Z,12,fractional_capped800,37.82291252394051,-122.51249729479242,3.7406783327362136,147.80400973075257,162.10949752084292,0.03409090909090909
2,utc2h-20260923T0800Z,12,fractional_robust150,37.82011648598718,-122.4800916599003,3.2522315672643716,147.85738058757713,161.7526848919215,0.03125
3,utc2h-20260923T0800Z-first-scan,1,integer_capped800,37.79721829923962,-122.21639004627882,24.342158138675092,148.22590844939265,148.22590844939265,0.15789473684210525
3,utc2h-20260923T0800Z-first-scan,1,fractional_capped800,37.805618884007146,-122.22403719874785,23.479130817334585,140.59047998430657,140.59047998430657,0.10526315789473684
3,utc2h-20260923T0800Z-first-scan,1,fractional_robust150,37.800242057174174,-122.23051384846387,23.056857837968064,140.011612753073,140.011612753073,0.10526315789473684
