case_id,partition,group_id,view,scan_count,prior,model,status,latitude_deg,longitude_deg,tau_s,reference_error_km,training_capped_loss,held_capped_rms_hz,held_uncapped_supported_rms_hz,track_count,occupied_second_weight,assignment_changes_from_baseline,global_tau_boundary,paired_inference_runtime_s
train_20260921_00_1,train,20260921_00,1,1,reno,baseline,completed,37.66640049682244,-122.07696579180957,0.0,41.27051851226515,0.14431799978100973,346.22970773392467,506.47696356813424,93,1218,,False,51.0589901630301
train_20260921_00_1,train,20260921_00,1,1,reno,shared_time,completed,37.66499530875452,-122.094717400512,-0.2500000000000002,39.999334054127,0.14331355726957376,344.8153234433835,507.1289832913682,93,1218,0,False,51.0589901630301
train_20260921_00_1,train,20260921_00,1,1,sacramento,baseline,completed,37.66675924509392,-122.07841085373417,0.0,41.140230141211944,0.14431831770359815,346.1481794984226,505.9230348482242,93,1218,,False,29.04474299401045
train_20260921_00_1,train,20260921_00,1,1,sacramento,shared_time,completed,37.66535389740385,-122.08906185697442,-0.20000000000000018,40.40708803686373,0.14356006040530225,345.2765560122849,507.770962429724,93,1218,0,False,29.04474299401045
train_20260921_00_6,train,20260921_00,6,6,reno,baseline,completed,37.90230600858144,-122.39601220145329,0.0,9.848650358695233,0.12563568250401083,309.2721823193922,364.9032531138977,476,7532,,False,236.06800341198687
train_20260921_00_6,train,20260921_00,6,6,reno,shared_time,completed,37.903710324657446,-122.41203979072054,-0.30000000000000027,8.871962995166173,0.12498989617854019,308.69731858939264,366.7278371567051,476,7532,6,False,236.06800341198687
train_20260921_00_6,train,20260921_00,6,6,sacramento,baseline,completed,37.901880219031874,-122.3959378819135,0.0,9.825491205326939,0.12563652901866318,309.25585314050977,364.86880263353896,476,7532,,False,214.09840119001456
train_20260921_00_6,train,20260921_00,6,6,sacramento,shared_time,completed,37.90328453512125,-122.41196537845056,-0.30000000000000027,8.844373275860118,0.1249838584741458,308.6855621668059,366.6983967202688,476,7532,6,False,214.09840119001456
train_20260921_00_16,train,20260921_00,16,16,reno,baseline,completed,37.89056706691702,-122.38495929708039,0.0,9.972692839590534,0.14857758209181404,334.856659176217,394.8227970206683,1130,17358,,False,538.2277707470348
train_20260921_00_16,train,20260921_00,16,16,reno,shared_time,completed,37.89056685235272,-122.3956427660517,-0.20000000000000018,9.15183777617679,0.14771885987103073,334.8537042443044,394.8534472406225,1130,17358,8,False,538.2277707470348
train_20260921_00_16,train,20260921_00,16,16,sacramento,baseline,completed,37.891427265522644,-122.38646092586382,0.0,9.901194215472502,0.14857858134399335,335.0402660455041,395.1035035747027,1130,17358,,False,571.4885639119893
train_20260921_00_16,train,20260921_00,16,16,sacramento,shared_time,completed,37.89002116557429,-122.40426665482885,-0.30000000000000027,8.474121708168989,0.14725178736988428,333.8925077043768,393.48003744135883,1130,17358,17,False,571.4885639119893
train_20260921_00_all,train,20260921_00,all,72,reno,baseline,completed,37.84778820991464,-122.400306802295,0.0,7.49509672175292,0.13631804407685513,311.9524545899106,392.82217689872635,3587,60760,,False,2446.3636078479467
train_20260921_00_all,train,20260921_00,all,72,reno,shared_time,completed,37.85621564293215,-122.4394574386816,-0.7499999999999998,4.133909368680587,0.12763640213460994,301.01428056907,380.49163052052364,3587,60760,213,False,2446.3636078479467
train_20260921_00_all,train,20260921_00,all,72,sacramento,baseline,completed,37.84739880040725,-122.3997166929655,0.0,7.547839757208622,0.1363171994899525,311.96688904680354,392.82343706215636,3587,60760,,False,2464.630942214979
train_20260921_00_all,train,20260921_00,all,72,sacramento,shared_time,completed,37.857231408155776,-122.44064666913721,-0.7499999999999998,4.055376259184918,0.12750648235428025,300.8636404895698,380.357461207251,3587,60760,213,False,2464.630942214979
train_20260921_16_1,train,20260921_16,1,1,reno,baseline,completed,37.76287463344343,-122.44001565603014,0.0,10.38554030723812,0.13358504855988956,311.65044551660594,322.12620732237156,50,809,,False,60.81825920089614
train_20260921_16_1,train,20260921_16,1,1,reno,shared_time,completed,37.85280638865301,-122.45247268325184,-1.1499999999999995,2.943425873340757,0.11418968518772855,272.13763248854724,302.29794453053375,50,809,10,False,60.81825920089614
train_20260921_16_1,train,20260921_16,1,1,sacramento,baseline,completed,37.762759570205326,-122.44088931909675,0.0,10.367987897464179,0.13358476757933407,311.5727313424745,321.91277113983864,50,809,,False,51.003112111007795
train_20260921_16_1,train,20260921_16,1,1,sacramento,shared_time,completed,37.85128528080932,-122.43911113675318,-1.0499999999999994,4.094226423286855,0.11488509233383956,276.9076433418328,307.9008616502799,50,809,10,False,51.003112111007795
train_20260921_16_6,train,20260921_16,6,6,reno,baseline,completed,37.80184772652388,-122.41023886955833,0.0,8.450030804033107,0.16047739319596063,329.52531769095896,397.17222605604104,298,5426,,False,431.81316131493077
train_20260921_16_6,train,20260921_16,6,6,reno,shared_time,completed,37.84540404499066,-122.46184157820817,-1.0999999999999992,2.129444976209952,0.1394569283982013,306.22766134322916,388.9350886158349,298,5426,38,False,431.81316131493077
train_20260921_16_6,train,20260921_16,6,6,sacramento,baseline,completed,37.803052206844356,-122.41026766208763,0.0,8.365484730901121,0.16047757617421582,329.58454144177097,397.31062208210545,298,5426,,False,454.6580407640431
train_20260921_16_6,train,20260921_16,6,6,sacramento,shared_time,completed,37.84520333727544,-122.46187023030572,-1.0999999999999992,2.1313238507167003,0.1394634576309526,306.24609769214743,388.9378420703955,298,5426,38,False,454.6580407640431
train_20260921_16_16,train,20260921_16,16,16,reno,baseline,completed,37.81699212705232,-122.43969116678426,0.0,5.3839622825520195,0.15868402721760203,330.34933774584727,390.39343785911797,771,14234,,False,1221.451956356992
train_20260921_16_16,train,20260921_16,16,16,reno,shared_time,completed,37.84648711367694,-122.50728884082474,-1.1499999999999995,1.920591825891404,0.13862835433314127,309.7351130225551,376.23786700216954,771,14234,62,False,1221.451956356992
train_20260921_16_16,train,20260921_16,16,16,sacramento,baseline,completed,37.81722420787765,-122.44114666443446,0.0,5.271449300342174,0.15868532357530932,328.9786566842229,388.4849590053485,771,14234,,False,1163.237796484027
train_20260921_16_16,train,20260921_16,16,16,sacramento,shared_time,completed,37.84671920775972,-122.50696576605056,-1.1499999999999995,1.8888484023442471,0.13862883510240456,309.7294444840315,376.2066554769571,771,14234,63,False,1163.237796484027
train_20260921_16_all,train,20260921_16,all,79,reno,baseline,completed,37.84548209814674,-122.42469882473772,0.0,5.366733966900838,0.13989153122543002,312.9736629155676,362.7728552344812,3401,59382,,False,2502.7765826469986
train_20260921_16_all,train,20260921_16,all,79,reno,shared_time,completed,37.85671990753743,-122.46384898299299,-0.7499999999999998,2.096622685505554,0.13060929866128992,301.31152890002187,349.54053520560046,3401,59382,253,False,2502.7765826469986
train_20260921_16_all,train,20260921_16,all,79,sacramento,baseline,completed,37.845450526565834,-122.42416082138212,0.0,5.414104818834635,0.1398890728419983,312.9643647612599,362.74209138070086,3401,59382,,False,2489.942261490971
train_20260921_16_all,train,20260921_16,all,79,sacramento,shared_time,completed,37.856688322572914,-122.46509042848653,-0.7499999999999998,1.9960900235351977,0.13046962943144774,301.10883152485957,348.98308754484606,3401,59382,246,False,2489.942261490971
validation_20260922_08_1,validation,20260922_08,1,1,reno,baseline,completed,37.85550326952077,-122.46115873750041,0.0,2.2678417970049507,0.03474869718783277,161.1829949418519,161.18299494185186,37,528,,False,32.90934001596179
validation_20260922_08_1,validation,20260922_08,1,1,reno,shared_time,completed,37.86112309764829,-122.48073613881166,-0.30000000000000027,1.4120363074746591,0.03370422811530285,159.3422490231789,159.34224902317888,37,528,0,False,32.90934001596179
validation_20260922_08_1,validation,20260922_08,1,1,sacramento,baseline,completed,37.855681887584055,-122.46211042944144,0.0,2.195368140506682,0.03474792954005474,161.34685222469082,161.34685222469085,37,528,,False,26.38561048009433
validation_20260922_08_1,validation,20260922_08,1,1,sacramento,shared_time,completed,37.859896527679574,-122.48168750499225,-0.30000000000000027,1.2572093363850005,0.033649661005990365,159.14119224726906,159.14119224726906,37,528,0,False,26.38561048009433
validation_20260922_08_6,validation,20260922_08,6,6,reno,baseline,completed,37.859575629095005,-122.42119933176687,0.0,5.7790816099276485,0.16838951370126462,345.17525767584016,386.5652831237978,199,2916,,False,187.18789182195906
validation_20260922_08_6,validation,20260922_08,6,6,reno,shared_time,completed,37.86379005472145,-122.44789721068358,-0.5500000000000002,3.698771891903044,0.16395852410267958,342.5465972308931,378.87910548787454,199,2916,11,False,187.18789182195906
validation_20260922_08_6,validation,20260922_08,6,6,sacramento,baseline,completed,37.859518981983285,-122.4221144265826,0.0,5.699143073147623,0.16838886251292792,345.11011730675284,386.40353054682566,199,2916,,False,169.94189861102495
validation_20260922_08_6,validation,20260922_08,6,6,sacramento,shared_time,completed,37.86373340761205,-122.44881228497917,-0.5500000000000002,3.6241034464355124,0.1638961397932852,342.4826953485677,378.71400006343947,199,2916,12,False,169.94189861102495
validation_20260922_08_16,validation,20260922_08,16,16,reno,baseline,completed,37.92070096407058,-122.35880387274466,0.0,13.690812914113524,0.21854422678665983,386.53537312916444,576.6742115021462,483,6849,,False,457.1776932809735
validation_20260922_08_16,validation,20260922_08,16,16,reno,shared_time,completed,37.93615431418055,-122.39977624805559,-0.7499999999999998,12.273434245206877,0.2087372717276383,379.998571294533,554.4705217061727,483,6849,42,False,457.1776932809735
