case_id,exact_model,group_id,held_capped_rms_hz,held_uncapped_rms_hz,method,partition,prior,reason,reference_error_km,scale_s,scan_count,scope,source,status,tau_boundary_count,tau_s,view
train_20260921_00_1,,20260921_00,346.22970773392467,506.47696356813424,ds1_tau_zero,train,reno,,41.27051851226515,,1,DS1 frozen blind trace,reports/2026_09_24_ds1/evaluation.json,completed,,,1
train_20260921_00_1,,20260921_00,344.8153234433835,507.1289832913682,ds1_shared_tau,train,reno,,39.999334054127,,1,DS1 frozen blind trace,reports/2026_09_24_ds1/evaluation.json,completed,,,1
train_20260921_00_1,,20260921_00,,,fixed_identity_tau_zero_control,train,reno,pending matched rerun after corrected tau-zero ID definition,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,linearized_scan_epoch_scale1_sensitivity,train,reno,pending diagnostic only; not the sealed nonlinear 0.2/1/5 s model,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,linearized_norad_rate,train,reno,pending diagnostic only; lacks historical exact/quartic phase-state gate,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,fixed_scale_robust_rate_sensitivity,train,reno,pending sensitivity only; selection objective differs from formal likelihood,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,fractional_track_time,train,reno,not applicable: historical support exceeded present timing authority and failed another group,,,1,DS1 frozen blind trace,,not_applicable,,,1
train_20260921_00_1,,20260921_00,,,dual_rx_beam_geometry,train,reno,not applicable: no calibrated dual-RX/beam evidence in scalar DS1 cache,,,1,DS1 frozen blind trace,,not_applicable,,,1
train_20260921_00_1,,20260921_00,346.1481794984226,505.9230348482242,ds1_tau_zero,train,sacramento,,41.140230141211944,,1,DS1 frozen blind trace,reports/2026_09_24_ds1/evaluation.json,completed,,,1
train_20260921_00_1,,20260921_00,345.2765560122849,507.770962429724,ds1_shared_tau,train,sacramento,,40.40708803686373,,1,DS1 frozen blind trace,reports/2026_09_24_ds1/evaluation.json,completed,,,1
train_20260921_00_1,,20260921_00,,,fixed_identity_tau_zero_control,train,sacramento,pending matched rerun after corrected tau-zero ID definition,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,linearized_scan_epoch_scale1_sensitivity,train,sacramento,pending diagnostic only; not the sealed nonlinear 0.2/1/5 s model,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,linearized_norad_rate,train,sacramento,pending diagnostic only; lacks historical exact/quartic phase-state gate,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,fixed_scale_robust_rate_sensitivity,train,sacramento,pending sensitivity only; selection objective differs from formal likelihood,,,1,DS1 frozen blind trace,,pending,,,1
train_20260921_00_1,,20260921_00,,,fractional_track_time,train,sacramento,not applicable: historical support exceeded present timing authority and failed another group,,,1,DS1 frozen blind trace,,not_applicable,,,1
