case_id,source,comparison_scope,model,prior,scale_s,scan_count,reference_error_km,held_capped_rms_hz,held_uncapped_rms_hz,tau_s,tau_boundary_count,stopping_rule_satisfied,status
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,6,8.153782663554491,308.2831011474762,364.3009332381389,-0.3214933555167341,0,True,completed
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,6,5.615644302718547,307.13952695016246,364.17919486618416,-0.9749472372018968,0,True,completed
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,6,5.50494550143875,307.1177019850062,364.2643956659337,-1.0578350812579813,0,True,completed
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,6,8.153830736941536,308.2831316981492,364.300969735714,-0.32148888404586246,0,True,completed
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,6,5.615644265247236,307.1395269416382,364.17919487094946,-0.9749472456447548,0,True,completed
train_20260921_00_6,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,6,5.504945475068054,307.1177019799843,364.26439567352355,-1.0578350875493663,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,16,5.720243282405913,332.4893513235196,392.70025465165037,-0.7122684588653885,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,16,4.184162493943565,332.2849309990337,392.7752402352679,-1.0962493369781559,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,16,4.133974866650965,332.28463023405055,392.81337703932513,-1.1195680998698783,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,16,5.695783669894444,332.92406277795044,393.0902064107498,-0.7185269858515266,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,16,4.174575630717403,332.7158135858109,393.1707966448697,-1.106953264916109,0,True,completed
train_20260921_00_16,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,16,3.759757200377216,332.80362467459196,393.2889130467335,-1.2409450464411858,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,72,1.8868538890242035,302.63237468894147,385.4338261480341,-0.9061605255340428,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,72,1.6980653743916894,302.6466027107703,385.4964722917748,-0.9400031850793739,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,72,1.6903815015654775,302.6478097088537,385.4995988173778,-0.9414105925471044,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,72,1.8889567704259826,302.5860694967216,385.397369324738,-0.9064578235213261,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,72,1.7058914073950682,302.60624572086596,385.46549798101574,-0.9416303551581376,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_global_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,72,1.6982306556727604,302.60745017408635,385.4686318239315,-0.9430409381160241,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,0.2,72,6.178520798026501,300.95074203544107,383.9897534288044,,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,1.0,72,2.2362355382775796,294.02815713706565,381.0583880839927,,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,sacramento,5.0,72,1.5663898218709562,293.9112867750304,381.377320307695,,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,0.2,72,6.180938686288182,300.9196484409208,383.96771645035443,,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,1.0,72,2.2373860457724626,293.9680109677764,381.01711468885134,,0,True,completed
train_20260921_00_all,reports/2026_09_23_long_full8h_shared_epoch_position/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_scan_epoch_fixed_id,reno,5.0,72,1.5676836523621978,293.8470731067119,381.3333251969985,,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,1,9.034737567828962,307.3951978456454,318.7824100438157,-0.20125684254269138,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,1,6.323525687341044,302.8528885734996,316.38880583893973,-0.6459584672978956,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,1,5.963357462229899,302.71367516364245,316.5802019938331,-0.7096954122956353,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,0.2,1,9.035152719738358,307.3965209481329,318.78410811420525,-0.20119845551928242,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,1.0,1,6.323533468856346,302.8528944579276,316.3888090510433,-0.6459569481022186,0,True,completed
train_20260921_16_1,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,sacramento,5.0,1,5.963364949545254,302.7136782254573,316.5802027855616,-0.7096938420136482,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,0.2,6,4.021904976137177,313.31319548607865,390.721031887637,-0.7716290175479116,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,1.0,6,2.8912443549502473,312.89769531266245,392.0466000411082,-0.9597004940916724,0,True,completed
train_20260921_16_6,reports/2026_09_23_second_train_epoch_replication/results/results.json,sealed historical fixed-ID/local timing arm; not DS1 frozen-trace equivalent,exact_global_epoch_fixed_id,reno,5.0,6,2.834664402645832,312.9153413932834,392.1418148668746,-0.9691401561793086,0,True,completed
