case_id,partition,group_id,scan_count,prior,geographic_point_role,training_capped_rms_hz,held_capped_rms_hz,reference_error_km,fractional_track_count,fractional_tau_min_s,fractional_tau_max_s,fractional_tau_boundary_track_count,fractional_tau_boundary_track_fraction
train_20260921_00_16,train,20260921_00,16,sacramento,baseline,174.64430943819167,203.92760912396204,9.901194215472756,1130,-5.0,5.0,52,0.04601769911504425
train_20260921_00_16,train,20260921_00,16,sacramento,shared,174.44006744040402,203.68052968952495,8.4741217081686,1130,-5.0,5.0,54,0.047787610619469026
train_20260921_00_16,train,20260921_00,16,reno,baseline,174.62862722146588,203.56553599449612,9.972692839590652,1130,-5.0,5.0,52,0.04601769911504425
train_20260921_00_16,train,20260921_00,16,reno,shared,175.09650087851762,203.13611555044608,9.1518377761764,1130,-5.0,5.0,55,0.048672566371681415
train_20260921_16_16,train,20260921_16,16,sacramento,baseline,205.96216254043208,222.7381643486767,5.271449300342033,771,-5.0,5.0,41,0.05317769130998703
train_20260921_16_16,train,20260921_16,16,sacramento,shared,208.8262502026774,229.11665726193286,1.8888484023448096,771,-5.0,5.0,41,0.05317769130998703
train_20260921_16_16,train,20260921_16,16,reno,baseline,206.5010292267903,224.89305656524863,5.383962282551859,771,-5.0,5.0,39,0.05058365758754864
train_20260921_16_16,train,20260921_16,16,reno,shared,209.89645705172265,229.84122772165745,1.9205918258917258,771,-5.0,5.0,42,0.054474708171206226
validation_20260922_08_16,validation,20260922_08,16,sacramento,baseline,257.0714286455562,273.875772594625,13.754450268200753,483,-5.0,5.0,51,0.10559006211180125
validation_20260922_08_16,validation,20260922_08,16,sacramento,shared,247.77868836718108,267.17398029789535,12.21550960396154,483,-5.0,5.0,49,0.10144927536231885
validation_20260922_08_16,validation,20260922_08,16,reno,baseline,257.387448097011,273.4007623015143,13.690812914113417,483,-5.0,5.0,50,0.10351966873706005
validation_20260922_08_16,validation,20260922_08,16,reno,shared,247.86686992190513,267.202848485672,12.273434245207193,483,-5.0,5.0,48,0.09937888198757763
validation_20260921_08_16,validation,20260921_08,16,sacramento,baseline,197.89456982122235,208.58353806851113,6.704003813675168,704,-5.0,5.0,21,0.029829545454545456
validation_20260921_08_16,validation,20260921_08,16,sacramento,shared,199.69877919440003,209.02587591946045,4.963570158744709,704,-5.0,5.0,28,0.03977272727272727
validation_20260921_08_16,validation,20260921_08,16,reno,baseline,197.75404041966806,208.44758011827955,6.621506064279886,704,-5.0,5.0,21,0.029829545454545456
validation_20260921_08_16,validation,20260921_08,16,reno,shared,199.77932888949954,209.1138067419598,5.02570612389581,704,-5.0,5.0,28,0.03977272727272727
