task_id,status,status_reason,stage,tier,method,group_id,case_id,prior_name,scan_count,grid_screen_km,artifact_path,artifact_sha256,estimated_latitude_deg,estimated_longitude_deg,reference_error_km,rf_objective_name,rf_objective_value,rf_objective_detail_json,timing_nuisance_count,timing_nuisance_min_s,timing_nuisance_median_s,timing_nuisance_max_s,timing_nuisance_parameters_json,nuisance_parameters_json,fitted_parameter_keys_json,fitted_parameters_json
one-hour--train-20260921_00--first-singleton--reno--baseline,completed,,screening_comparison,core,baseline,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/baseline/one-hour--train-20260921_00--first-singleton--reno--baseline.json,7e8fa4e69a81d89dd0d6d469747b7248a6c21efe949f4ca084e3e275bb238836,37.70853669960254,-122.08715120029468,38.34935025241945,selection_value,0.15418756759948962,"{""frequency_loss_cap_hz"": 800.0, ""full_observation_capped_loss"": 0.15418756759948962, ""selection_value"": 0.15418756759948962}",1,0.0,0.0,0.0,"{""global_tau_s"": 0.0}","{""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": 0.0, ""value_count"": 1}}","[""receiver_position"", ""timing"", ""track_associations""]","{""available_keys"": [""receiver_position"", ""timing"", ""track_associations""], ""nuisance_parameter_summary"": {""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": 0.0, ""value_count"": 1}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--causal_per_norad_orbit_rate,completed,,exact_orbit,extended,causal_per_norad_orbit_rate,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/causal_per_norad_orbit_rate/one-hour--train-20260921_00--first-singleton--reno--causal_per_norad_orbit_rate.json,89031ac5b3ac5f763dfac10a31da35f7c366400fbc314a88f99a1046b340e42c,37.70853669960254,-122.08715120029468,38.34935025241945,full_observation_rf_objective,0.08286155454864583,"{""name"": ""full_observation_rf_objective"", ""selection_uses_reference"": false, ""value"": 0.08286155454864583}",1,0.0,0.0,0.0,"{""global_tau_s"": 0.0}","{""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.08286155454864583, ""full_observation_capped_rms_hz"": 230.28546395969792, ""global_tau_s"": 0.0, ""iterations"": 120.0, ""maximum_phase_s"": 5.42008249760839, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.1541834355751639, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.03163445510622796, ""minimum"": -0.0916853549543963, ""value_count"": 22}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 198447.46931985315, ""median"": -517942.83455360506, ""minimum"": -987614.5644957214, ""value_count"": 93}}","[""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""]","{""available_keys"": [""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""], ""nuisance_parameter_summary"": {""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.08286155454864583, ""full_observation_capped_rms_hz"": 230.28546395969792, ""global_tau_s"": 0.0, ""iterations"": 120.0, ""maximum_phase_s"": 5.42008249760839, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.1541834355751639, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.03163445510622796, ""minimum"": -0.0916853549543963, ""value_count"": 22}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 198447.46931985315, ""median"": -517942.83455360506, ""minimum"": -987614.5644957214, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--global_time,completed,,screening_comparison,core,global_time,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/global_time/one-hour--train-20260921_00--first-singleton--reno--global_time.json,098e5872443729e2b070825bd6f220d5a9009e92fadb9dfc5c15ede934234bbb,37.70564705280287,-122.22917199541568,27.610411231571263,selection_value,0.1474684976051646,"{""frequency_loss_cap_hz"": 800.0, ""full_observation_capped_loss"": 0.1474684976051646, ""selection_value"": 0.1474684976051646}",1,-1.5,-1.5,-1.5,"{""global_tau_s"": -1.5}","{""timing"": {""maximum"": -1.5, ""median"": -1.5, ""minimum"": -1.5, ""value_count"": 1}}","[""receiver_position"", ""timing"", ""track_associations""]","{""available_keys"": [""receiver_position"", ""timing"", ""track_associations""], ""nuisance_parameter_summary"": {""timing"": {""maximum"": -1.5, ""median"": -1.5, ""minimum"": -1.5, ""value_count"": 1}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--global_time_plus_per_norad_orbit_rate,completed,,exact_orbit,extended,global_time_plus_per_norad_orbit_rate,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/global_time_plus_per_norad_orbit_rate/one-hour--train-20260921_00--first-singleton--reno--global_time_plus_per_norad_orbit_rate.json,6eba3b0fd1d21d3359d4a410d1e06900a953a79552a9de1f77e8cb45a96e5839,37.70564705280287,-122.22917199541568,27.610411231571263,full_observation_rf_objective,0.03967931917838392,"{""name"": ""full_observation_rf_objective"", ""selection_uses_reference"": false, ""value"": 0.03967931917838392}",1,-1.5,-1.5,-1.5,"{""global_tau_s"": -1.5}","{""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.03967931917838392, ""full_observation_capped_rms_hz"": 159.3573477256876, ""global_tau_s"": -1.5, ""iterations"": 120.0, ""maximum_phase_s"": 5.4660593438669585, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.14746507918692348, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.02741063111294603, ""minimum"": -0.05325419715831808, ""value_count"": 22}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 197066.44371454814, ""median"": -516557.901346987, ""minimum"": -990141.8027401244, ""value_count"": 93}}","[""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""]","{""available_keys"": [""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""], ""nuisance_parameter_summary"": {""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.03967931917838392, ""full_observation_capped_rms_hz"": 159.3573477256876, ""global_tau_s"": -1.5, ""iterations"": 120.0, ""maximum_phase_s"": 5.4660593438669585, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.14746507918692348, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.02741063111294603, ""minimum"": -0.05325419715831808, ""value_count"": 22}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 197066.44371454814, ""median"": -516557.901346987, ""minimum"": -990141.8027401244, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--independent_per_track_time,completed,,screening_comparison,core,independent_per_track_time,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/independent_per_track_time/one-hour--train-20260921_00--first-singleton--reno--independent_per_track_time.json,741101704bede8390088d607078d665bab9655141f3c087ea65a8aee8f3caaa2,37.70258246620074,-122.37118122760191,19.141855231227527,selection_value,0.04730867075733181,"{""frequency_loss_cap_hz"": 800.0, ""full_observation_capped_loss"": 0.04730867075733181, ""selection_value"": 0.04730867075733181}",93,-2.0,1.0,2.0,"{""per_track_tau_s"": {""maximum"": 2.0, ""median"": 1.0, ""minimum"": -2.0, ""value_count"": 93}}","{""timing"": {""maximum"": 2.0, ""median"": 1.0, ""minimum"": -2.0, ""value_count"": 93}}","[""receiver_position"", ""timing"", ""track_associations""]","{""available_keys"": [""receiver_position"", ""timing"", ""track_associations""], ""nuisance_parameter_summary"": {""timing"": {""maximum"": 2.0, ""median"": 1.0, ""minimum"": -2.0, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--per_scan_time,completed,,screening_comparison,core,per_scan_time,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/per_scan_time/one-hour--train-20260921_00--first-singleton--reno--per_scan_time.json,5a6f4d64a8b8de856ad7a40ae20da02348c4f332f3f7aeaea166f907c8a7f9f2,37.70564705280287,-122.22917199541568,27.610411231571263,selection_value,0.1474684976051646,"{""frequency_loss_cap_hz"": 800.0, ""full_observation_capped_loss"": 0.1474684976051646, ""selection_value"": 0.1474684976051646}",3,-1.5,0.0,0.0,"{""global_tau_s"": -1.5, ""per_scan_delta_s"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": 0.0, ""value_count"": 1}, ""per_scan_penalty"": 0.0}","{""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": -1.5, ""value_count"": 3}}","[""receiver_position"", ""timing"", ""track_associations""]","{""available_keys"": [""receiver_position"", ""timing"", ""track_associations""], ""nuisance_parameter_summary"": {""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": -1.5, ""value_count"": 3}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--soft_association,completed,,screening_comparison,core,soft_association,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/soft_association/one-hour--train-20260921_00--first-singleton--reno--soft_association.json,841d3459aa1aca66377bf2b3110612badacfd7c602571732e68ffcba872b3cfc,37.92727918367501,-122.37908082471127,12.773803485018046,full_observation_rf_objective,6.474429781989485,"{""name"": ""full_observation_rf_objective"", ""selection_uses_reference"": false, ""value"": 6.474429781989485}",1,0.0,0.0,0.0,"{""global_tau_s"": 0.0}","{""global_tau_s"": 0.0, ""rate_corrections_s_h"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 191369.6673461832, ""median"": -509147.77729727863, ""minimum"": -992749.1709122253, ""value_count"": 93}}","[""global_tau_s"", ""rate_corrections_s_h"", ""track_cfo_hz""]","{""available_keys"": [""global_tau_s"", ""rate_corrections_s_h"", ""track_cfo_hz""], ""nuisance_parameter_summary"": {""global_tau_s"": 0.0, ""rate_corrections_s_h"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 191369.6673461832, ""median"": -509147.77729727863, ""minimum"": -992749.1709122253, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--reno--soft_association_plus_global_time,completed,,screening_comparison,core,soft_association_plus_global_time,20260921_00,train-20260921_00--first-singleton,reno,1,12.5,artifacts/one-hour/soft_association_plus_global_time/one-hour--train-20260921_00--first-singleton--reno--soft_association_plus_global_time.json,7c632e7aa8b9ffe036c804b1b75a8453fcca0ca3679308012de2cbd017a55102,37.6959286096817,-122.65516229557144,22.623069408402543,full_observation_rf_objective,6.448308417375544,"{""name"": ""full_observation_rf_objective"", ""selection_uses_reference"": false, ""value"": 6.448308417375544}",1,-5.0,-5.0,-5.0,"{""global_tau_s"": -5.0}","{""global_tau_s"": -5.0, ""rate_corrections_s_h"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 191986.01249115323, ""median"": -514055.9486949773, ""minimum"": -1005388.1454310043, ""value_count"": 93}}","[""global_tau_s"", ""rate_corrections_s_h"", ""track_cfo_hz""]","{""available_keys"": [""global_tau_s"", ""rate_corrections_s_h"", ""track_cfo_hz""], ""nuisance_parameter_summary"": {""global_tau_s"": -5.0, ""rate_corrections_s_h"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 191986.01249115323, ""median"": -514055.9486949773, ""minimum"": -1005388.1454310043, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--sacramento--baseline,completed,,screening_comparison,core,baseline,20260921_00,train-20260921_00--first-singleton,sacramento,1,12.5,artifacts/one-hour/baseline/one-hour--train-20260921_00--first-singleton--sacramento--baseline.json,44eb0049307e888ecb472d8f8391ae1f002e83497fe764bf0c331229c7bc5ae6,37.680898433412196,-122.06254370125367,41.62715094699451,selection_value,0.15228353411656767,"{""frequency_loss_cap_hz"": 800.0, ""full_observation_capped_loss"": 0.15228353411656767, ""selection_value"": 0.15228353411656767}",1,0.0,0.0,0.0,"{""global_tau_s"": 0.0}","{""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": 0.0, ""value_count"": 1}}","[""receiver_position"", ""timing"", ""track_associations""]","{""available_keys"": [""receiver_position"", ""timing"", ""track_associations""], ""nuisance_parameter_summary"": {""timing"": {""maximum"": 0.0, ""median"": 0.0, ""minimum"": 0.0, ""value_count"": 1}}, ""omitted_detail"": ""per-track associations and CFO values""}"
one-hour--train-20260921_00--first-singleton--sacramento--causal_per_norad_orbit_rate,completed,,exact_orbit,extended,causal_per_norad_orbit_rate,20260921_00,train-20260921_00--first-singleton,sacramento,1,12.5,artifacts/one-hour/causal_per_norad_orbit_rate/one-hour--train-20260921_00--first-singleton--sacramento--causal_per_norad_orbit_rate.json,74f547ead49da78dbbb9f39e473f4495f6b824b6a04dafd69caa9b5811e0d3b1,37.680898433412196,-122.06254370125367,41.62715094699451,full_observation_rf_objective,0.09008012278974861,"{""name"": ""full_observation_rf_objective"", ""selection_uses_reference"": false, ""value"": 0.09008012278974861}",1,0.0,0.0,0.0,"{""global_tau_s"": 0.0}","{""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.09008012278974861, ""full_observation_capped_rms_hz"": 240.1068066203853, ""global_tau_s"": 0.0, ""iterations"": 120.0, ""maximum_phase_s"": 5.7429607279491615, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.1522799058424906, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.03982118604175459, ""minimum"": -0.10777343359928458, ""value_count"": 21}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 198988.22998598302, ""median"": -517651.9180781647, ""minimum"": -986743.6741733382, ""value_count"": 93}}","[""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""]","{""available_keys"": [""converged"", ""full_observation_capped_loss"", ""full_observation_capped_rms_hz"", ""global_tau_s"", ""iterations"", ""maximum_phase_s"", ""message"", ""null_rate_full_observation_capped_loss"", ""rate_boundary_count"", ""rate_corrections_s_h"", ""rate_fit_rejected_by_full_observation_loss"", ""track_cfo_hz""], ""nuisance_parameter_summary"": {""converged"": {""value_count"": 0}, ""full_observation_capped_loss"": 0.09008012278974861, ""full_observation_capped_rms_hz"": 240.1068066203853, ""global_tau_s"": 0.0, ""iterations"": 120.0, ""maximum_phase_s"": 5.7429607279491615, ""message"": {""value_count"": 0}, ""null_rate_full_observation_capped_loss"": 0.1522799058424906, ""rate_boundary_count"": 2.0, ""rate_corrections_s_h"": {""maximum"": 0.25, ""median"": 0.03982118604175459, ""minimum"": -0.10777343359928458, ""value_count"": 21}, ""rate_fit_rejected_by_full_observation_loss"": {""value_count"": 0}, ""track_cfo_hz"": {""maximum"": 198988.22998598302, ""median"": -517651.9180781647, ""minimum"": -986743.6741733382, ""value_count"": 93}}, ""omitted_detail"": ""per-track associations and CFO values""}"
