channel,edge,end_seconds,fit_observation_count,observation_count,radio_id,randomized_evaluation_observation_count,rank1_catalog_number,rank1_fit_rms_hz,rank1_randomized_evaluation_rms_hz,reviewed_candidate_count,session_id,span_seconds,start_seconds,tracklet_id
3,upper,68.106954063,30,51,radio_pluto_19f2,21,56535,126.00149907619074,108.04351447074806,5,scan-fw-f3ce5fe73aa40506,38.877317385000005,29.229636678,sha256:65819c116388d55d109c97eb08094bef204f6e5689fb924dc4bcd3a6b48c7369
2,upper,193.705487348,23,39,radio_pluto_19f2,16,67345,108.99630447898295,107.3186614348371,5,scan-fw-f3ce5fe73aa40506,38.873237953,154.832249395,sha256:b40bfd63ec1af36a20f62e6a0620cc48a9fb26714254ae3d6d2b7f5f17d4848b
1,upper,193.323155692,19,32,radio_pluto_19f2,13,67345,123.73219139751598,134.31235819818252,5,scan-fw-f3ce5fe73aa40506,32.021546371,161.301609321,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5
1,upper,279.613515686,13,23,radio_pluto_19f2,10,61848,84.07353882099237,121.93653756053686,5,scan-fw-f3ce5fe73aa40506,17.005857832000004,262.607657854,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be
2,upper,69.470540868,12,21,radio_pluto_19f2,9,56535,61.26983983522525,88.71349031654978,5,scan-fw-f3ce5fe73aa40506,12.370187577000003,57.100353291,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553
2,upper,279.205101251,29,49,radio_pluto_19f2,20,59083,78.60674072663751,117.00164551530287,5,scan-fw-9f3d5067d149118e,34.59537143099996,244.60972982,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498
4,upper,113.96378846,25,42,radio_pluto_19f2,17,56116,99.58357136565617,124.76522173750075,5,scan-fw-9f3d5067d149118e,23.814689312,90.149099148,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79
3,upper,27.666845548,10,18,radio_pluto_19f2,8,61849,55.13240783942101,123.12187769623978,5,scan-fw-9f3d5067d149118e,20.868307109,6.798538439,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc
3,upper,53.943607371,16,27,radio_pluto_19f2,11,61849,95.26249330714492,68.68666079273335,5,scan-fw-9f3d5067d149118e,17.778050452000002,36.165556919,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487
2,upper,263.172947128,16,28,radio_pluto_19f2,12,59083,110.6799478620724,115.81919670651794,5,scan-fw-9f3d5067d149118e,17.761233928999985,245.411713199,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788
3,upper,23.977957925,9,15,radio_pluto_19f2,6,61849,73.92493648806632,239.76387780926174,5,scan-fw-9f3d5067d149118e,15.836743284999999,8.14121464,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4
