analysis_manifest_sha256,attempted_group_count,candidate_group_count,configuration_digest,deferred_group_count,eligible_group_count,projected_candidate_count,radio_id,retained_visits,review_count,review_observation_count,sample_rate_hz,selected_edge,session_id,source_span_seconds,tracklet_count,tracklet_observation_count
sha256:0be5925e589f7974cbedb68d941951516ac06e84f8527858a9fb6f66f21bdc37,3,3,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,0,3,491,radio_pluto_19f2,1624,5,166,15000000,upper,scan-fw-f3ce5fe73aa40506,300.0,7,189
sha256:f8e82c08c03bc10e387beb9409818a26bd241d37cdb1a9b0a381c810e589059a,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,4,8,777,radio_pluto_19f2,2212,10,251,2500000,upper,scan-fw-9f3d5067d149118e,300.0,14,296
sha256:66fef2e51c3660b4f35632f21692402d03fc890fbf4019505a03957ea7ba1cc6,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,7,11,708,radio_pluto_19f2,2221,7,245,2500000,lower,scan-fw-cfcf667726e80735,300.0,12,295
sha256:bdb79cfb9acadbbac7c5d5be88f41496e1347655787f6c29de287133b6fe96ff,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,4,8,1435,radio_pluto_5d4d,2216,14,634,2500000,lower,scan-fw-8d1424f9297d34fb,300.0,17,662
sha256:abb28f3b5e47ba701e1a169a81f899374b378ef0e610c688707fea30e5ce335d,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,28,32,904,radio_pluto_5d4d,2217,13,351,2500000,upper,scan-fw-573f6201b09f5ba4,300.0,17,393
sha256:31471c12fbe454be079df7330f389884bedb1ec665b045ae9c65533f0ff88b89,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,3,7,1351,radio_pluto_5d4d,2217,13,499,2500000,upper,scan-fw-d30c80bd75815223,300.0,17,547
sha256:0740ce6b846aaa63a34a1ce8e2d0466f10a064253d9c112ac3b1a37fd64dd09f,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,14,18,1549,radio_pluto_5d4d,2216,20,658,2500000,upper,scan-fw-b6659f13921e711b,300.0,26,716
sha256:38f976160951c5abe39fd9f30bfe701536c345e18bcde09d43cc26b27712c693,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,12,16,972,radio_pluto_5d4d,2214,8,326,2500000,upper,scan-fw-af33f52c96a606b7,300.0,13,373
sha256:2b4915576bcbcafeb6acad8cd8b7afb97d2ca5f27ce2e699bc89bef86833f7d0,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,29,33,1291,radio_pluto_5d4d,2213,12,491,2500000,lower,scan-fw-412a75e0665c8e93,300.0,20,578
sha256:ded9920c90e8430f2b85b68600a4d725fb84ba52fdc0e8a42401b5486d97a3db,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,17,21,2431,radio_pluto_5d4d,2220,26,1012,2500000,lower,scan-fw-7fc0a2494f8caa5d,300.0,29,1052
sha256:4adbdec634c63d7ba83d400b5879ad567f7e8c67dd3c03fc6035c967331e1363,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,13,17,1053,radio_pluto_5d4d,2216,8,364,2500000,lower,scan-fw-51dadc5c6aa0e74b,300.0,15,426
sha256:0cb64e10d7ea039b385a76fa14d73034f786bef8009c594aa3c586d362b3caff,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,30,34,1715,radio_pluto_5d4d,2218,19,675,2500000,lower,scan-fw-524e4ca2638f3601,300.0,27,757
sha256:ee07cfd32bcde2ff79e5cc29828def5dae6d97dd8f8c36f574fdcbfb83f1476c,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,40,44,1657,radio_pluto_5d4d,2216,19,637,2500000,lower,scan-fw-8634c361a1e38331,300.0,29,744
sha256:50e4e0dd08e7a1b9b7958390e83f0057712f0b1a79fe7a87a9ebde95abd66570,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,10,14,1270,radio_pluto_5d4d,2212,11,420,2500000,upper,scan-fw-3e1fe8de00bd8065,300.0,15,458
sha256:e419f6c0de312070ce6593aa65acc941c1f7f2e214d91e2e1c0f1722a68955f3,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,25,29,1792,radio_pluto_5d4d,2216,20,756,2500000,lower,scan-fw-d8925d2a4c00a806,300.0,26,817
sha256:c847329c113ef8e269fc4cc30f071bd59285114807b0b109a51327c42a4fe661,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,27,31,2004,radio_pluto_5d4d,2215,22,818,2500000,upper,scan-fw-12cb866cbc37adb9,300.0,30,896
sha256:925b4c373eab1fbdce3ea2c4c6d6c24a60c16a61405ca172afda9a0c63bf9ec1,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,15,19,1733,radio_pluto_5d4d,2221,20,668,2500000,upper,scan-fw-98fb8c5147c1c77b,300.0,27,733
sha256:1d28cd28c3486c18a59a2c30faca42afb62e133fd91e77986bf562b9d7951a1f,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,41,45,1903,radio_pluto_5d4d,2217,23,755,2500000,upper,scan-fw-32ebdbd20401472f,300.0,31,842
sha256:a1016464f1af84e51795e793ec406c2e811ffcc790f1046bca5c10c8423ad868,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,38,42,2018,radio_pluto_5d4d,2217,25,825,2500000,lower,scan-fw-b97ce25ed1ac630f,300.0,33,906
sha256:dde1da788760a0139434fab1caaa78b4072c09c598fc339dfcc94a9af0a3e18c,4,4,sha256:f54e5ab518dae837df03eaf7a4d54b9d30807f0a5edc872f1b9351c70ec2c054,39,43,2336,radio_pluto_5d4d,2212,24,898,2500000,lower,scan-fw-d16389a0c7b4a70f,300.0,36,1014
