actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
11440000000.0,3,upper,-3656.492414525526,51,radio_pluto_19f2,1,375.7200637174578,15000000,scan-fw-f3ce5fe73aa40506,38.896266666,sha256:65819c116388d55d109c97eb08094bef204f6e5689fb924dc4bcd3a6b48c7369
11190000000.0,2,upper,-3542.2862994788247,21,radio_pluto_19f2,1,151.42294858352855,15000000,scan-fw-f3ce5fe73aa40506,12.389381266,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553
10940000000.0,1,upper,-3427.622569036376,10,radio_pluto_19f2,1,154.38840926926545,15000000,scan-fw-f3ce5fe73aa40506,10.5483356,sha256:68e01db8fc026a1f64e5ce68f8be400f2d1b38f07e38f9d58996335e49cf58c8
11190000000.0,2,upper,-3607.2927107643654,39,radio_pluto_19f2,1,906.8691767264949,15000000,scan-fw-f3ce5fe73aa40506,38.892177333,sha256:b40bfd63ec1af36a20f62e6a0620cc48a9fb26714254ae3d6d2b7f5f17d4848b
10940000000.0,1,upper,-3602.5924027325873,32,radio_pluto_19f2,1,664.3615998437023,15000000,scan-fw-f3ce5fe73aa40506,32.0404956,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5
10940000000.0,1,upper,-3535.08631202833,23,radio_pluto_19f2,1,295.58990176309464,15000000,scan-fw-f3ce5fe73aa40506,17.024346,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be
11690000000.0,4,upper,-3630.685339372316,13,radio_pluto_19f2,1,98.90325825500452,15000000,scan-fw-f3ce5fe73aa40506,10.121642334,sha256:2dae608485cd14438df7e6481d532535d8884884d8f719bc4c1f33a79d2f4fb5
11440312496.0,3,upper,-3619.098733739139,20,radio_pluto_19f2,1,137.67807155854194,2500000,scan-fw-9f3d5067d149118e,8.985634,sha256:3436622f2fc1a5ebe3d3ce35fb9e42ed9b764054682a18a2ba98bfee439103c5
11190312500.0,2,upper,-3541.7099346558875,13,radio_pluto_19f2,1,232.48726654780492,2500000,scan-fw-9f3d5067d149118e,13.1172892,sha256:329b2928e1b7cc66b26ac3abbfcf64ab5706c695c2e599dfbb9cdd326516f710
11690312500.0,4,upper,-3484.6424238771074,23,radio_pluto_19f2,1,292.74886929216746,2500000,scan-fw-9f3d5067d149118e,15.7223524,sha256:edfdbb0deeaa38c9651c78ef761ab24efc43e4f6f52535a243eb5c0a302d43aa
11440312496.0,3,upper,-3497.3122680708343,18,radio_pluto_19f2,1,448.47191611072003,2500000,scan-fw-9f3d5067d149118e,20.8872616,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc
11440312496.0,3,upper,-3509.2433097812564,15,radio_pluto_19f2,0,334.2055887689238,2500000,scan-fw-9f3d5067d149118e,15.8550308,sha256:4173973d08be3cc702ef58b58c8ad60e65e369fc258f47e96d90b31520af07e4
11440312496.0,3,upper,-3634.4128947054473,15,radio_pluto_19f2,0,283.6451564350946,2500000,scan-fw-9f3d5067d149118e,15.6519788,sha256:fab0969683d73e0b3ba32fe2a403c69b69e733e417a451b5fff0bed189b5368a
