method_id,iteration,arm,method,terminal_status,ranking_eligible,ds1_ranking_eligible,ds3_ranking_eligible,estimate_label,latitude_deg,longitude_deg,postseal_error_km,ds1_postseal_error_km,ds3_artifact,ds3_artifact_sha256
baseline-doppler,,baseline,Baseline Doppler,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/baseline.json,sha256:2d5792786cb3f778f1818e8518c52a51b15d0677c54c62519ac0c6de188984df
fixed-hard-cone-orientation,,fixed_hard_cone_orientation,Fixed hard cone orientation,qualified,False,False,True,selected,38.68492057707508,-119.95914883471241,239.3435571630438,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/fixed_hard_cone_orientation.json,sha256:44e2e3e0d627abebea56450817882fa2e8eec36c2343e5120efa55d066db13dc
global-time,,shared_global_tau,Shared global receive time,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/global_time.json,sha256:72567f1d317656e1e22685361f434c463b5eae737304fd6292d7fc3696c38e58
global-time-plus-per-norad-orbit-rate,,global_tau_per_norad_orbit_rate,Shared global receive time plus causal per-NORAD rate,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/global_time_plus_per_norad_orbit_rate.json,sha256:92ae359b7f53c4a1d8ca2b6d03da1a4b8c6df916a1c14e1a7acddab3be23c7a7
i02-regularized-per-scan-time,2,regularized_per_scan_tau,Iteration 2 regularized per-scan receive time,unqualified_boundary,False,False,False,regularized_per_scan_tau,37.85060764676994,-122.47312014456215,1.1143629742419496,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-02.json,sha256:303e381d886e8fc5534480d2ac3a27e8585557008d008cdffed61f0ccaf37abd
i02-shared-global-time,2,shared_global_tau,Iteration 2 shared global receive time,unqualified_boundary,False,False,False,shared_global_tau,37.85060764676994,-122.47312014456215,1.1143629742419496,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-02.json,sha256:303e381d886e8fc5534480d2ac3a27e8585557008d008cdffed61f0ccaf37abd
i08-equal-weight-joint-multiscan,8,joint,Iteration 8 Equal-weight joint multiscan position,unqualified_numerical,False,False,False,selected,37.861150792579686,-122.43770910311348,4.419790395367653,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-08.json,sha256:6c089996957405e75e490e318db423fc2c97a72494baefbe61e88fd745580799
i09-symmetric-joint-refinement,9,joint,Iteration 9 Symmetric shared-coordinate refinement,unqualified_parent,False,False,False,selected,37.85939627856603,-122.45326526727122,3.0682741796640824,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-09.json,sha256:9913a275005b4a8435b85e0872eaadec3de836f8dab09e28d959aa1bb73c9d8d
i10-three-level-shared-refinement,10,joint,Iteration 10 Three-level symmetric shared refinement,unqualified_parent,False,False,False,selected,37.86071216407627,-122.45715424879758,2.8191400075487474,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-10.json,sha256:1ad478d94a688dc357166c067ca7768a5d7c3ff87cb9feff10e35551cabd82ef
i11-fine-symmetric-confirmation,11,joint,Iteration 11 Fine symmetric confirmation,unqualified_parent,False,False,False,selected,37.86137010683139,-122.45812650616436,2.779026685826773,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-11.json,sha256:41c50833826e5b63631b933f7dc0ed985f218ce3017592e2f5ff9ab7a12243ab
i12-consistent-cap800,12,consistent_cap800,Iteration 12 consistent cap-800 joint objective,terminal_control,False,False,False,selected,37.8488545464542,-122.43975022781602,4.030558902953494,,reports/2026_09_24_ds3_all_captures/output/followups-v2/consistent-cap800.json,sha256:9c9bfc6cfddcd6b222ad22378c9643f4a74176935aea78c4032e859e8b005c50
i12-expanded-exact-rate-only,12,expanded_exact_rate_only,Iteration 12 expanded exact rate-only,unqualified_boundary,False,False,False,selected,37.86246667808992,-122.45937654473744,2.7484349402358177,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/i12-method-arm-output/expanded-exact-rate-only.json,sha256:a7eb01e1a98419d289d2095b1a2791bf1bc2c9946b10d142e623d1fa2a5f2384
i12-regularized-session-scale,12,regularized_common_plus_session_scale,Iteration 12 regularized common plus session scale,unqualified_convergence,False,False,False,selected,37.86071216407627,-122.45937654473744,2.647493615564554,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-12.json,sha256:f7e2eb1b65d6c777c10e55cf60ec66f7963bbc6fd9afd3464c1e45da412647eb
i13-basin-closure,13,basin,Iteration 13 Basin closure,unqualified_boundary,False,True,False,selected,37.868607477137715,-122.46937687646681,2.6037970454803756,0.5998998209458487,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-13.json,sha256:6fab95f0145452b6d985f44211d9dabf83afd07cc1c92fe75c51d494a45cc2ae
i14-cap800-basin,14,basin,Iteration 14 Cap-800 basin search,unqualified_boundary,False,False,False,selected,37.86071216407627,-122.47937827966231,1.4107574452149116,0.4881507422722237,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-14.json,sha256:ab04ffb1c257665ee406ca5c9cbdb85c891428247fb277baa432e4afb3250e3e
i15-information-weighted,15,information_weighted,Iteration 15 Information-weighted search,unqualified_boundary,False,False,False,selected,37.868607477137715,-122.48937861139169,2.201047032894195,0.5755771101795844,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-15.json,sha256:d318a6f918bef30546e29aa06879fbdca4d338a07e0557d5908f762ffdde0d2a
i16-dynamic-association,16,dynamic_association,Iteration 16 Dynamic association,unqualified_boundary,False,False,False,selected,37.87080061965478,-122.49160114543513,2.476156706132188,0.8596298644213448,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-16.json,sha256:3dcd2e323ac3e35f013868823cbbdd89abdefa73ab342285e51dd48ddd9e14d3
i17-reacquire-then-freeze,17,reacquire_then_freeze,Iteration 17 Reacquire then freeze,unqualified_boundary,False,True,False,selected,37.87123924815819,-122.49437939568497,2.585343658805809,0.6625490539535278,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-17.json,sha256:2cf0f6efdc98759a3b03c019dea900728af5334c810640878087768b124366ec
independent-per-track-time,,independent_per_track_tau,Independent per-track receive time,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/independent_per_track_time.json,sha256:960af9dcd7421d0d4107fb9d3251c33d180ad028585da47cf070ffcbebca7933
local-fitted-full-fov-cone-position,,local_fitted_full_fov_cone_position,Local fitted full-FOV cone position,qualified,False,False,True,selected,38.909702587670274,-119.95430574089255,250.18061023121152,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/local_fitted_full_fov_cone_position.json,sha256:5fac9f61583f874ec8cc3b2c33f4b806478cdb9fcc0c6a52d43fb956dedbad4d
regularized-per-scan-time,,regularized_per_scan_tau,Regularized per-scan receive time,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/per_scan_time.json,sha256:fcc3b7fc9bab9751252d1532b639e353df8be78ba8bd74ce7d82e28406423e18
soft-association-plus-global-time,,soft_association_plus_global_time,Soft identity mixture plus global receive time,terminal_control,False,False,False,selected,37.847100032440544,-122.43752834216635,4.231109763301439,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/soft_association_plus_global_time.json,sha256:3c5eb64dd2761123996da86ab4861363304537fdcf1f4deacb213d1ce29e4b93
