dataset,method,scope,unit_count,median_error_km,minimum_error_km,maximum_error_km
DS3,equal_spherical_mean,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,equal_spherical_mean,group8,7,4.231083512709121,1.3834426244449418,6.163927872857674
DS3,equal_spherical_mean,full,1,0.9991344660540227,0.9991344660540227,0.9991344660540227
DS3,inverse_rf_rms2_mean,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,inverse_rf_rms2_mean,group8,7,4.0102505335892245,2.0918332302736458,6.225613819971469
DS3,inverse_rf_rms2_mean,full,1,0.34165441511831346,0.34165441511831346,0.34165441511831346
DS3,rf_trimmed_mean,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,rf_trimmed_mean,group8,7,2.923003640033412,0.5316692661614137,7.111187777247776
DS3,rf_trimmed_mean,full,1,0.1118693692194969,0.1118693692194969,0.1118693692194969
DS3,spatial_trimmed_mean,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,spatial_trimmed_mean,group8,7,4.918983304299577,1.4231651143668864,8.432577253418636
DS3,spatial_trimmed_mean,full,1,2.652486764100275,2.652486764100275,2.652486764100275
DS3,geometric_median,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,geometric_median,group8,7,6.126599021974808,1.4771932498704043,6.719037073440814
DS3,geometric_median,full,1,2.2241843451793475,2.2241843451793475,2.2241843451793475
DS3,huber_center,single,56,6.719037076702814,5.7914252489996425,57.437217105578576
DS3,huber_center,group8,7,3.393872931039019,1.9464553339903363,6.316585384302063
DS3,huber_center,full,1,0.994474521811957,0.994474521811957,0.994474521811957
DS4,equal_spherical_mean,single,91,13.444296274688362,5.7914252489996425,144.7281636418067
DS4,equal_spherical_mean,group8,11,5.01477843476678,1.9505725702039176,21.425786861436205
DS4,equal_spherical_mean,full,1,0.9109706298080648,0.9109706298080648,0.9109706298080648
DS4,inverse_rf_rms2_mean,single,91,13.444296274688362,5.7914252489996425,144.7281636418067
DS4,inverse_rf_rms2_mean,group8,11,5.227063263046527,1.9691378550504834,19.578186385096014
DS4,inverse_rf_rms2_mean,full,1,2.0873305798633246,2.0873305798633246,2.0873305798633246
DS4,rf_trimmed_mean,single,91,13.444296274688362,5.7914252489996425,144.7281636418067
DS4,rf_trimmed_mean,group8,11,6.0588195967577745,1.4232513415193035,23.477410778108695
DS4,rf_trimmed_mean,full,1,0.6509391456452235,0.6509391456452235,0.6509391456452235
DS4,spatial_trimmed_mean,single,91,13.444296274688362,5.7914252489996425,144.7281636418067
DS4,spatial_trimmed_mean,group8,11,5.497712441105278,0.9725072424587304,17.46022404421149
DS4,spatial_trimmed_mean,full,1,2.1441995343599833,2.1441995343599833,2.1441995343599833
DS4,geometric_median,single,91,13.444296274688039,5.7914252489996425,144.7281636418067
DS4,geometric_median,group8,11,5.218337339292493,2.294354710423064,20.969121934239908
DS4,geometric_median,full,1,2.178409889468752,2.178409889468752,2.178409889468752
DS4,huber_center,single,91,13.444296274688039,5.7914252489996425,144.7281636418067
DS4,huber_center,group8,11,4.15592900910821,1.7984355372032397,17.85523837785996
DS4,huber_center,full,1,1.5624291195645916,1.5624291195645916,1.5624291195645916
