method,dataset,scope,unit_count,qualified_count,median_error_km,p90_error_km,minimum_error_km,maximum_error_km
raw_mse,DS3,single,56,44,6.525495158717513,20.702599821271164,1.8360949441738035,64.43551661235067
raw_mse,DS3,group8,7,7,4.544717721196605,4.605153571937574,2.0332750574842584,4.63592146831592
raw_mse,DS3,full,1,1,0.6925484539098848,0.6925484539098848,0.6925484539098848,0.6925484539098848
raw_mse,DS4,single,91,72,9.457964910603742,26.540781107730346,0.5924937241548458,144.7281636418061
raw_mse,DS4,group8,11,11,3.890623989853559,5.9271263226759,1.790717548021806,15.046086524784107
raw_mse,DS4,full,1,1,1.6668402497402672,1.6668402497402672,1.6668402497402672,1.6668402497402672
raw_mse,DS3+DS4,combined_full,1,1,1.3032154663823698,1.3032154663823698,1.3032154663823698,1.3032154663823698
delta_mse,DS3,single,56,44,6.525495158717513,20.702599821271164,1.8360949441738035,64.43551661235067
delta_mse,DS3,group8,7,7,4.544717721196605,4.605153571937574,2.0332750574842584,4.63592146831592
delta_mse,DS3,full,1,1,0.6925484539098848,0.6925484539098848,0.6925484539098848,0.6925484539098848
delta_mse,DS4,single,91,72,9.457964910603742,26.540781107730346,0.5924937241548458,144.7281636418061
delta_mse,DS4,group8,11,11,3.890623989853559,5.9271263226759,1.790717548021806,15.046086524784107
delta_mse,DS4,full,1,1,1.6668402497402672,1.6668402497402672,1.6668402497402672,1.6668402497402672
delta_mse,DS3+DS4,combined_full,1,1,1.3032154663823698,1.3032154663823698,1.3032154663823698,1.3032154663823698
robust_scaled_delta_mse,DS3,single,56,44,6.525495158717513,20.702599821271164,1.8360949441738035,64.43551661235067
robust_scaled_delta_mse,DS3,group8,7,7,3.5666263741780293,4.405497713304057,1.7365740864211627,4.519848303480062
robust_scaled_delta_mse,DS3,full,1,1,1.2403344082726133,1.2403344082726133,1.2403344082726133,1.2403344082726133
robust_scaled_delta_mse,DS4,single,91,72,9.457964910603742,26.540781107730346,0.5924937241548458,144.7281636418061
robust_scaled_delta_mse,DS4,group8,11,11,4.132125991040906,6.893494054315786,1.9103896219111127,12.726445787370576
robust_scaled_delta_mse,DS4,full,1,1,2.082390881018648,2.082390881018648,2.082390881018648,2.082390881018648
robust_scaled_delta_mse,DS3+DS4,combined_full,1,1,1.791656958484606,1.791656958484606,1.791656958484606,1.791656958484606
fractional_rank,DS3,single,56,45,6.5767405654094695,24.065987960893672,2.0175237552423253,63.461015741517215
fractional_rank,DS3,group8,7,7,4.238902276628387,5.362348916341884,1.078386462939015,5.6000199926465655
fractional_rank,DS3,full,1,1,1.5980729036637555,1.5980729036637555,1.5980729036637555,1.5980729036637555
fractional_rank,DS4,single,91,69,8.231740848810075,29.396681795070002,0.4153888888456342,144.7281636418061
fractional_rank,DS4,group8,11,11,4.420447877226056,7.552984130929085,0.8151140402164772,11.382773015337666
fractional_rank,DS4,full,1,1,2.01964928150579,2.01964928150579,2.01964928150579,2.01964928150579
fractional_rank,DS3+DS4,combined_full,1,1,1.8569523814220426,1.8569523814220426,1.8569523814220426,1.8569523814220426
