pilot_checked_visits,sample_rate_hz,selected_visits,session_id,start_utc,state,supported_visits,total_visits
58,2500000,64,scan-fw-0c99eb04f5275d37,2026-09-25T06:20:02.982413+00:00,ready,51,2216
60,2500000,64,scan-fw-d540fb814f8d2b30,2026-09-25T06:30:02.631620+00:00,ready,42,2217
44,10000000,64,scan-fw-a9c75648817d8c58,2026-09-25T06:40:02.156787+00:00,ready,38,2214
57,10000000,64,scan-fw-642a6ca0077f25ae,2026-09-25T06:50:02.169789+00:00,ready,61,2215
0,10000000,0,scan-fw-68c240e1454c1071,2026-09-25T07:00:02.239423+00:00,insufficient_signal,0,2215
12,10000000,29,scan-fw-e791cc40662faa4c,2026-09-25T07:10:01.861431+00:00,ready,23,2215
0,10000000,0,scan-fw-c1163ce3490be05d,2026-09-25T07:20:02.038524+00:00,insufficient_signal,0,2210
0,10000000,0,scan-fw-67aa95ebbe40faa3,2026-09-25T07:30:02.108405+00:00,insufficient_signal,0,2214
45,10000000,64,scan-fw-94dcda7ded855b71,2026-09-25T07:40:02.187963+00:00,ready,47,2217
58,2500000,64,scan-fw-1c6c604f669b218a,2026-09-25T07:50:02.953971+00:00,ready,40,2221
0,10000000,0,scan-fw-9f681fc92c7f8581,2026-09-25T08:00:02.098706+00:00,insufficient_signal,0,2208
47,2500000,64,scan-fw-e27cfd0d2498d318,2026-09-25T08:10:03.030418+00:00,ready,18,2214
52,10000000,64,scan-fw-e78bf49faf433d04,2026-09-25T08:20:02.175918+00:00,ready,54,2209
56,2500000,64,scan-fw-1757e83a8a155bb7,2026-09-25T08:30:02.931877+00:00,ready,40,2216
0,10000000,0,scan-fw-0ce3a984541089af,2026-09-25T08:50:02.412298+00:00,insufficient_signal,0,2211
0,10000000,0,scan-fw-6848c7a03e41eb00,2026-09-25T09:00:01.934199+00:00,insufficient_signal,0,2211
1,2500000,3,scan-fw-8fa0fb1d8e962086,2026-09-25T09:10:02.850343+00:00,insufficient_signal,0,2215
0,10000000,0,scan-fw-54a95adc7fdf3fc2,2026-09-25T09:20:02.199444+00:00,insufficient_signal,0,2211
4,10000000,19,scan-fw-a5220da198be3297,2026-09-25T09:30:02.362170+00:00,ready,9,2211
59,2500000,64,scan-fw-a04a210bfa6aa3e0,2026-09-25T09:40:02.811553+00:00,ready,45,2211
13,10000000,22,scan-fw-17f2abd831798cc0,2026-09-25T09:50:02.271644+00:00,ready,20,2211
48,2500000,64,scan-fw-1c89928f5bebeb67,2026-09-25T10:00:03.060582+00:00,ready,10,2216
60,2500000,64,scan-fw-70eef9f39674ef82,2026-09-25T10:10:02.693180+00:00,ready,46,2216
61,2500000,64,scan-fw-85929672ebc56493,2026-09-25T10:20:03.205761+00:00,ready,49,2215
62,2500000,64,scan-fw-e4574e3279c85e25,2026-09-25T10:30:03.133358+00:00,ready,60,2216
18,10000000,30,scan-fw-87f216ecd0a9d1e2,2026-09-25T10:40:01.823626+00:00,ready,26,2211
55,10000000,64,scan-fw-25eae90b871e6bbb,2026-09-25T10:50:02.314898+00:00,ready,56,2212
53,2500000,64,scan-fw-bc3b9fb5d68ddce3,2026-09-25T11:00:03.214916+00:00,ready,30,2222
46,10000000,64,scan-fw-452dfcf3eb70ece0,2026-09-25T11:10:01.882740+00:00,ready,50,2213
41,10000000,64,scan-fw-49770ddcd1cb69ad,2026-09-25T11:20:02.207062+00:00,ready,54,2213
58,2500000,64,scan-fw-bd9e61c361a33496,2026-09-25T11:30:03.112707+00:00,ready,59,2212
54,10000000,64,scan-fw-438bc1098ed57bd4,2026-09-25T11:40:02.253387+00:00,ready,57,2218
0,10000000,0,scan-fw-54f51a9d98ccdd37,2026-09-25T11:50:02.065649+00:00,insufficient_signal,0,2214
0,10000000,0,scan-fw-4a512ac1d5e4faae,2026-09-25T12:00:01.928162+00:00,insufficient_signal,0,2213
0,10000000,0,scan-fw-256192ae756dc7a1,2026-09-25T12:10:02.019660+00:00,insufficient_signal,0,2217
61,2500000,64,scan-fw-2e1559904e2ac57f,2026-09-25T12:20:02.854679+00:00,ready,56,2212
0,10000000,0,scan-fw-4ae0a0f741e4a639,2026-09-25T12:30:02.128507+00:00,insufficient_signal,0,2214
52,2500000,64,scan-fw-1a617e9951bd4ff6,2026-09-25T12:40:03.183056+00:00,ready,37,2215
0,10000000,0,scan-fw-506bf7282490266d,2026-09-25T12:50:02.032921+00:00,insufficient_signal,0,2220
15,10000000,35,scan-fw-7fbd892968965e6d,2026-09-25T13:00:01.953871+00:00,ready,21,2212
53,2500000,64,scan-fw-3ef13500cbb6fc45,2026-09-25T13:10:02.942050+00:00,ready,43,2218
0,10000000,0,scan-fw-a9d727b5393aa305,2026-09-25T13:20:01.787788+00:00,insufficient_signal,0,2216
0,10000000,0,scan-fw-d6704a759a9ec176,2026-09-25T13:30:02.110006+00:00,insufficient_signal,0,2211
8,10000000,30,scan-fw-0b30eb773168316b,2026-09-25T13:40:02.027040+00:00,ready,22,2214
62,2500000,64,scan-fw-2f8dba42f6a0cae3,2026-09-25T14:00:03.534071+00:00,ready,57,2216
