visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
0,4,1,upper,0,0,0,7949,0.18634211655860886,158949.36267383612,0.0,158949.36267383612,312500.0,-153550.63732616388,73722.08994656338,-1,0.23827445461223443,0.03506743320197217,0.20320702141026226,True,492146129562
0,4,1,upper,0,0,1,5027,-0.14377089206678048,-374614.76257908426,109197.4431818209,-265417.31939726335,312500.0,-577917.3193972633,103900.86242091842,-3,0.04033304167374317,0.041696592082676426,-0.0013635504089332534,False,492146126640
0,4,1,upper,0,0,2,13320,1.0175294784550795,743917.2385282598,12428.977272727583,756346.2158009873,312500.0,443846.2158009873,-10699.238744467206,2,0.03977462337305885,0.04070207298725699,-0.0009274496141981406,False,492146134933
0,4,1,upper,1,0,0,7949,0.20024161901607937,841340.112808932,0.0,841340.112808932,312500.0,528840.112808932,74294.65826347744,2,0.5184347324711002,0.03939323510654896,0.4790414973645512,True,492146129562
0,4,1,upper,1,0,1,7949,0.20024161901609047,841340.1128089319,0.0,841340.1128089319,312500.0,528840.1128089319,74294.65826347732,2,0.5184347324710517,0.03939323510656082,0.4790414973644908,True,492146129562
0,4,1,upper,1,0,2,7275,1.1887541769523902,798480.6845196211,-80788.35227272929,717692.3322468918,312500.0,405192.3322468918,-49353.122298562725,2,0.03904088938155262,0.04193470481340668,-0.0028938154318540604,False,492146128888
0,4,1,upper,1,0,4,7815,-0.01353438694041592,489018.54482867214,-34623.57954545541,454394.96528321673,312500.0,141894.96528321673,-85377.76198951053,1,0.04113363775076756,0.03686234853035365,0.004271289220413907,False,492146129428
0,4,1,upper,1,0,5,10531,1.3197226134107265,522004.11165246984,81232.24431818385,603236.3559706537,312500.0,290736.3559706537,63463.62869792644,1,0.04330216723443768,0.035528900423846814,0.007773266810590866,False,492146132144
0,4,1,upper,1,0,6,13244,0.027172830154482946,946111.0857411703,35067.47159090997,981178.5573320803,312500.0,668678.5573320803,-13139.624486101442,3,0.042063437360594244,0.03629172759013297,0.005771709770461271,False,492146134857
0,4,1,upper,1,0,7,7275,-0.8033754988317108,991581.1610872799,-92329.54545454776,899251.6156327322,312500.0,586751.6156327322,-95066.5661854496,3,0.03773515323502923,0.03615443684534992,0.0015807163896793125,False,492146128888
1,4,1,upper,0,0,0,5799,-1.4065853168270652,158487.19892178633,0.0,158487.19892178633,312500.0,-154012.80107821367,73259.9261945136,-1,0.2193578466429259,0.035868030363675855,0.18348981627925004,True,492147329573
1,4,1,upper,0,0,1,5798,-0.7782337312284315,45021.376294474874,-113636.36363636647,-68614.9873418916,312500.0,-381114.9873418916,73430.4672035629,-2,0.15994943887246013,0.03336522017508405,0.12658421869737607,True,492147329572
