left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
0,1,4,1,0,development,492146121613,492147321613,492147323774,492148523774,2161,True,158949.36267383612,0,841340.112808932,0,158487.19892178633,0,840915.3381495951,1
2,3,5,2,1,development,492148729244,492149929244,492149934297,492151134297,5053,False,,,,,,,,
6,7,7,4,2,development,492154238758,492155438758,492155441109,492156641109,2351,False,159894.55313884054,0,804542.0501344327,2,,,841990.614497076,1
9,10,4,1,3,development,492158248106,492159448106,492159453510,492160653510,5404,False,,,837054.0562447265,0,,,836616.1841660227,0
14,15,7,4,4,development,492165071297,492166271297,492166274810,492167474810,3513,True,118525.17918894175,1,800916.266098896,1,155498.76970447553,0,837933.6374446342,0
18,19,6,3,5,development,492170528794,492171728794,492171730325,492172930325,1531,False,,,,,,,,
21,22,6,3,6,development,492174535561,492175735561,492175736736,492176936736,1175,False,,,,,,,,
24,25,6,3,7,development,492178544543,492179744543,492179745843,492180945843,1300,False,,,,,,,,
27,28,4,1,8,development,492182554520,492183754520,492183754983,492184954983,463,False,,,828410.4357790372,0,,,827958.2567585178,1
30,31,5,2,9,development,492186558989,492187758989,492187765115,492188965115,6126,False,,,793102.3657743644,0,,,,
32,33,6,3,10,development,492189170435,492190370435,492190376172,492191576172,5737,False,,,,,,,,
35,36,7,4,11,development,492193183972,492194383972,492194391129,492195591129,7157,True,109015.7424840604,0,791391.5030771116,0,108555.81662135219,0,790969.7592434778,0
40,41,6,3,12,development,492200008546,492201208546,492201215237,492202415237,6691,False,,,,,,,,
41,42,6,3,12,development,492201215237,492202415237,492202419489,492203619489,4252,False,,,,,,,,
44,45,6,3,13,development,492205228967,492206428967,492206433074,492207633074,4107,False,,,,,,,,
47,48,6,3,14,development,492209243860,492210443860,492210449718,492211649718,5858,False,,,,,,,,
54,55,6,3,15,development,492218869525,492220069525,492220076862,492221276862,7337,False,,,,,,,,
63,64,7,4,16,development,492231313985,492232513985,492232521666,492233721666,7681,True,96017.84334078868,0,778399.0944986796,1,95561.26743350166,0,777980.5275048735,0
64,65,7,4,16,development,492232521666,492233721666,492233730323,492234930323,8657,True,95561.26743350166,0,777980.5275048735,0,95163.68820931291,0,777543.636332718,0
66,67,5,2,17,development,492235134574,492236334574,492236335712,492237535712,1138,False,94850.09131713069,7,,,,,,
70,71,4,1,18,development,492240544252,492241744252,492241750176,492242950176,5924,False,,,888287.7983054478,0,,,,
71,72,4,1,18,development,492241750176,492242950176,492242951109,492244151109,933,False,,,,,,,887598.3237505538,0
73,74,7,4,19,development,492244358351,492245558351,492245562101,492246762101,3750,True,91482.48492833629,1,807110.0790335302,0,91101.09153767148,0,806629.6424501004,0
84,85,5,2,20,development,492259601063,492260801063,492260810015,492262010015,8952,False,86943.39962841134,0,769255.3799013121,0,,,768874.2881679721,0
90,91,6,3,21,development,492267821015,492269021015,492269028758,492270228758,7743,False,,,,,,,,
98,99,6,3,22,development,492278851973,492280051973,492280059326,492281259326,7353,False,,,,,,,,
102,103,4,1,23,development,492284268995,492285468995,492285474822,492286674822,5827,False,,,,,,,,
109,110,6,3,24,development,492293902514,492295102514,492295104635,492296304635,2121,False,,,,,,,,
111,112,4,1,25,development,492296511362,492297711362,492297716127,492298916127,4765,False,,,872982.6263633396,0,,,,
