visit_index,chunk_index,target_index,channel,edge,sample_start,valid_start_counter,valid_end_counter_exclusive,gap_before_samples,counter_word_rows,counter_word_offset,clipped_rows,rx_equal_rows,max_abs_ci16
0,0,4,1,upper,0,492146121613,492147321613,,,,0,69,205
1,1,4,1,upper,1200000,492147323774,492148523774,2161,,,0,81,237
2,2,5,2,upper,2400000,492148729244,492149929244,205470,,,0,79,180
3,3,5,2,upper,3600000,492149934297,492151134297,5053,,,0,78,175
4,4,4,1,upper,4800000,492151337656,492152537656,203359,,,0,74,198
5,5,5,2,upper,6000000,492152837063,492154037063,299407,,,0,59,182
6,6,7,4,upper,7200000,492154238758,492155438758,201695,,,0,115,148
7,7,7,4,upper,8400000,492155441109,492156641109,2351,,,0,146,139
8,8,5,2,upper,9600000,492156843311,492158043311,202202,,,0,65,185
9,9,4,1,upper,10800000,492158248106,492159448106,204795,,,0,61,198
10,10,4,1,upper,12000000,492159453510,492160653510,5404,,,0,73,211
11,11,6,3,upper,13200000,492160853840,492162053840,200330,,,0,86,168
12,12,7,4,upper,14400000,492162259367,492163459367,205527,,,0,146,144
13,13,4,1,upper,15600000,492163661728,492164861728,202361,,,0,88,201
14,14,7,4,upper,16800000,492165071297,492166271297,209569,,,0,151,146
15,15,7,4,upper,18000000,492166274810,492167474810,3513,,,0,137,139
16,16,5,2,upper,19200000,492167682466,492168882466,207656,,,0,95,180
17,17,4,1,upper,20400000,492169126625,492170326625,244159,,,0,69,206
18,18,6,3,upper,21600000,492170528794,492171728794,202169,,,0,121,155
19,19,6,3,upper,22800000,492171730325,492172930325,1531,,,0,103,165
20,20,4,1,upper,24000000,492173131922,492174331922,201597,,,0,78,198
21,21,6,3,upper,25200000,492174535561,492175735561,203639,,,0,110,171
22,22,6,3,upper,26400000,492175736736,492176936736,1175,,,0,110,155
23,23,5,2,upper,27600000,492177140156,492178340156,203420,,,0,64,180
24,24,6,3,upper,28800000,492178544543,492179744543,204387,,,0,113,159
25,25,6,3,upper,30000000,492179745843,492180945843,1300,,,0,113,179
26,26,5,2,upper,31200000,492181148678,492182348678,202835,,,0,78,175
27,27,4,1,upper,32400000,492182554520,492183754520,205842,,,0,75,207
28,28,4,1,upper,33600000,492183754983,492184954983,463,,,0,69,191
29,29,7,4,upper,34800000,492185156756,492186356756,201773,,,0,151,144
30,30,5,2,upper,36000000,492186558989,492187758989,202233,,,0,85,179
31,31,5,2,upper,37200000,492187765115,492188965115,6126,,,0,88,187
32,32,6,3,upper,38400000,492189170435,492190370435,205320,,,0,111,183
33,33,6,3,upper,39600000,492190376172,492191576172,5737,,,0,116,160
34,34,4,1,upper,40800000,492191778592,492192978592,202420,,,0,61,201
35,35,7,4,upper,42000000,492193183972,492194383972,205380,,,0,129,143
36,36,7,4,upper,43200000,492194391129,492195591129,7157,,,0,143,143
37,37,6,3,upper,44400000,492195799846,492196999846,208717,,,0,104,163
38,38,4,1,upper,45600000,492197204567,492198404567,204721,,,0,81,188
39,39,7,4,upper,46800000,492198606389,492199806389,201822,,,0,175,144
40,40,6,3,upper,48000000,492200008546,492201208546,202157,,,0,124,171
41,41,6,3,upper,49200000,492201215237,492202415237,6691,,,0,101,168
42,42,6,3,upper,50400000,492202419489,492203619489,4252,,,0,124,171
43,43,5,2,upper,51600000,492203821286,492205021286,201797,,,0,76,190
44,44,6,3,upper,52800000,492205228967,492206428967,207681,,,0,105,158
45,45,6,3,upper,54000000,492206433074,492207633074,4107,,,0,110,173
46,46,5,2,upper,55200000,492207840220,492209040220,207146,,,0,72,191
47,47,6,3,upper,56400000,492209243860,492210443860,203640,,,0,107,161
48,48,6,3,upper,57600000,492210449718,492211649718,5858,,,0,115,161
49,49,5,2,upper,58800000,492211855516,492213055516,205798,,,0,79,180
50,50,7,4,upper,60000000,492213256867,492214456867,201351,,,0,156,143
51,51,4,1,upper,61200000,492214662001,492215862001,205134,,,0,79,196
52,52,7,4,upper,62400000,492216063758,492217263758,201757,,,0,132,140
53,53,4,1,upper,63600000,492217469233,492218669233,205475,,,0,61,188
54,54,6,3,upper,64800000,492218869525,492220069525,200292,,,0,107,157
55,55,6,3,upper,66000000,492220076862,492221276862,7337,,,0,111,174
56,56,4,1,upper,67200000,492221480107,492222680107,203245,,,0,70,199
57,57,5,2,upper,68400000,492222880789,492224080789,200682,,,0,85,172
58,58,7,4,upper,69600000,492224286052,492225486052,205263,,,0,141,139
59,59,4,1,upper,70800000,492225693170,492226893170,207118,,,0,74,206
60,60,6,3,upper,72000000,492227096665,492228296665,203495,,,0,99,169
61,61,7,4,upper,73200000,492228500905,492229700905,204240,,,0,115,139
62,62,6,3,upper,74400000,492229906669,492231106669,205764,,,0,122,155
63,63,7,4,upper,75600000,492231313985,492232513985,207316,,,0,136,142
64,64,7,4,upper,76800000,492232521666,492233721666,7681,,,0,127,149
65,65,7,4,upper,78000000,492233730323,492234930323,8657,,,0,146,148
66,66,5,2,upper,79200000,492235134574,492236334574,204251,,,0,73,190
67,67,5,2,upper,80400000,492236335712,492237535712,1138,,,0,81,177
68,68,6,3,upper,81600000,492237741088,492238941088,205376,,,0,130,161
69,69,7,4,upper,82800000,492239141488,492240341488,200400,,,0,152,142
70,70,4,1,upper,84000000,492240544252,492241744252,202764,,,0,64,207
71,71,4,1,upper,85200000,492241750176,492242950176,5924,,,0,65,200
72,72,4,1,upper,86400000,492242951109,492244151109,933,,,0,70,195
73,73,7,4,upper,87600000,492244358351,492245558351,207242,,,0,153,146
74,74,7,4,upper,88800000,492245562101,492246762101,3750,,,0,144,143
75,75,4,1,upper,90000000,492246968513,492248168513,206412,,,0,76,201
76,76,5,2,upper,91200000,492248369432,492249569432,200919,,,0,86,177
77,77,6,3,upper,92400000,492249775516,492250975516,206084,,,0,90,171
78,78,7,4,upper,93600000,492251176471,492252376471,200955,,,0,127,154
79,79,4,1,upper,94800000,492252581972,492253781972,205501,,,0,81,211
80,80,7,4,upper,96000000,492253984465,492255184465,202493,,,0,142,135
81,81,6,3,upper,97200000,492255389546,492256589546,205081,,,0,106,158
82,82,4,1,upper,98400000,492256790698,492257990698,201152,,,0,79,203
83,83,6,3,upper,99600000,492258199756,492259399756,209058,,,0,97,157
84,84,5,2,upper,100800000,492259601063,492260801063,201307,,,0,88,188
85,85,5,2,upper,102000000,492260810015,492262010015,8952,,,0,76,186
86,86,6,3,upper,103200000,492262213543,492263413543,203528,,,0,99,167
87,87,4,1,upper,104400000,492263615920,492264815920,202377,,,0,72,213
88,88,7,4,upper,105600000,492265018957,492266218957,203037,,,0,131,148
89,89,4,1,upper,106800000,492266420216,492267620216,201259,,,0,71,197
90,90,6,3,upper,108000000,492267821015,492269021015,200799,,,0,98,167
91,91,6,3,upper,109200000,492269028758,492270228758,7743,,,0,122,166
92,92,4,1,upper,110400000,492270429265,492271629265,200507,,,0,72,209
93,93,6,3,upper,111600000,492271835719,492273035719,206454,,,0,118,164
94,94,7,4,upper,112800000,492273241175,492274441175,205456,,,0,159,146
95,95,5,2,upper,114000000,492274644470,492275844470,203295,,,0,65,175
96,96,4,1,upper,115200000,492276048389,492277248389,203919,,,0,64,193
97,97,5,2,upper,116400000,492277449407,492278649407,201018,,,0,105,181
98,98,6,3,upper,117600000,492278851973,492280051973,202566,,,0,106,169
99,99,6,3,upper,118800000,492280059326,492281259326,7353,,,0,107,170
100,100,4,1,upper,120000000,492281460539,492282660539,201213,,,0,66,197
101,101,6,3,upper,121200000,492282866389,492284066389,205850,,,0,102,184
102,102,4,1,upper,122400000,492284268995,492285468995,202606,,,0,67,198
103,103,4,1,upper,123600000,492285474822,492286674822,5827,,,0,73,192
104,104,6,3,upper,124800000,492286881512,492288081512,206690,,,0,120,162
105,105,4,1,upper,126000000,492288288386,492289488386,206874,,,0,74,201
106,106,7,4,upper,127200000,492289692775,492290892775,204389,,,0,126,148
107,107,5,2,upper,128400000,492291095567,492292295567,202792,,,0,70,182
108,108,4,1,upper,129600000,492292499516,492293699516,203949,,,0,67,206
109,109,6,3,upper,130800000,492293902514,492295102514,202998,,,0,106,188
110,110,6,3,upper,132000000,492295104635,492296304635,2121,,,0,116,166
111,111,4,1,upper,133200000,492296511362,492297711362,206727,,,0,58,199
112,112,4,1,upper,134400000,492297716127,492298916127,4765,,,0,47,196
