visit_index,split,target_index,receiver_id,probe_index,fractional_margin,slope_frames,ordinary_frames,ordinary_updates,modulo_v1_supported,modulo_v2_supported
2,development,5,1,3,0.1674777228702911,14,14,7,14,14
2,development,5,1,5,0.263829311762877,14,14,6,14,14
26,development,5,1,1,0.33169345287582835,14,14,2,14,14
26,development,5,1,4,0.25499030526063415,14,14,2,14,14
34,development,4,0,0,0.14159908809162108,14,14,3,12,12
34,development,4,1,0,0.3968328011868308,14,14,5,14,14
34,development,4,1,1,0.3910882978704828,14,14,4,14,14
34,development,4,0,2,0.1391866173020695,14,14,6,9,9
34,development,4,1,2,0.36659693653948144,14,14,5,14,14
34,development,4,1,3,0.3972966138115158,14,14,4,14,14
34,development,4,1,4,0.34251102131656574,14,14,6,14,14
34,development,4,1,5,0.3999476026240044,14,14,2,14,14
106,development,7,0,0,0.3196969910558951,14,14,7,14,14
106,development,7,1,0,0.5121681546796925,14,14,7,13,13
106,development,7,0,1,0.3187429550437369,14,14,6,14,14
106,development,7,1,1,0.4870397929295502,14,13,4,10,10
106,development,7,0,2,0.25592430932707244,14,14,5,12,12
106,development,7,1,2,0.48768102188088,14,14,5,13,13
106,development,7,0,3,0.3564126762593267,14,14,7,14,14
106,development,7,1,3,0.48390172210781635,14,14,4,12,12
106,development,7,0,4,0.3496070267935342,14,14,7,14,14
106,development,7,1,4,0.49087978543000926,14,14,5,11,11
106,development,7,0,5,0.3281129528649599,14,14,6,14,14
106,development,7,1,5,0.49793979661152177,14,13,4,11,11
130,development,5,1,2,0.2579577001794723,14,14,14,14,14
139,development,7,0,0,0.3169451334158151,14,14,6,14,14
139,development,7,1,0,0.4216369574799073,14,14,7,12,12
139,development,7,0,1,0.33798186900975513,14,14,6,14,14
139,development,7,1,1,0.4405464653670701,14,13,7,10,10
139,development,7,0,2,0.32981468947827447,14,13,6,10,10
139,development,7,1,2,0.44085876994262013,14,14,7,11,11
139,development,7,0,3,0.3058907693314905,14,14,9,12,12
139,development,7,1,3,0.4470426819561153,14,14,8,12,12
139,development,7,0,4,0.3253481304476813,14,14,10,14,14
139,development,7,1,4,0.4594548348065403,14,13,7,11,11
139,development,7,0,5,0.31853284998865317,14,14,10,14,14
139,development,7,1,5,0.445408165186089,14,14,6,10,10
