path,branch_id,alias_index,before_v1,after_v2,automatic_correction,geometry_display,observations,duration_s,residual_rms_hz,probes,blocks,coverage,median_block_delta,median_corrected_margin,harmful_blocks,reason
radio_pluto_5d4d · stream-0/RX1,sha256:822e0b3337b7fd8eab78a1e52d4f682d2efc7071437e6bc83488ddae4e5088a6,-1,rejected,geometry_only,False,True,172,11.5,753.1100892580882,461,13,1.0,-0.3454243734308137,0.0006828848746119644,13,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:822e0b3337b7fd8eab78a1e52d4f682d2efc7071437e6bc83488ddae4e5088a6,0,rejected,replay_stable,True,True,172,11.5,753.1100892580882,461,13,1.0,-5.072670616054764e-05,0.3607649107535069,0,strong corrected evidence was equivalent to the independently optimized baseline
radio_pluto_5d4d · stream-0/RX1,sha256:822e0b3337b7fd8eab78a1e52d4f682d2efc7071437e6bc83488ddae4e5088a6,1,rejected,geometry_only,False,True,172,11.5,753.1100892580882,461,13,1.0,-0.3449761795473078,0.0003776490214458146,13,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:822e0b3337b7fd8eab78a1e52d4f682d2efc7071437e6bc83488ddae4e5088a6,2,rejected,geometry_only,False,True,172,11.5,753.1100892580882,461,13,1.0,-0.3414889642506687,-8.097892897339365e-05,13,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:826f40ecf727582173fc6eb359356d52bb9a521f692f9dcf55c50cbceca04571,-2,rejected,geometry_only,False,True,74,9.100000000000001,795.7302044517237,365,10,1.0,-0.005496479937721323,2.2288764910765452e-05,4,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:826f40ecf727582173fc6eb359356d52bb9a521f692f9dcf55c50cbceca04571,-1,rejected,geometry_only,False,True,74,9.100000000000001,795.7302044517237,365,10,1.0,-0.00468166442461442,0.00022198505318522105,4,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:826f40ecf727582173fc6eb359356d52bb9a521f692f9dcf55c50cbceca04571,0,rejected,geometry_only,False,True,74,9.100000000000001,795.7302044517237,365,10,1.0,9.387753722965575e-06,0.0033795300546079193,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:826f40ecf727582173fc6eb359356d52bb9a521f692f9dcf55c50cbceca04571,1,rejected,geometry_only,False,True,74,9.100000000000001,795.7302044517237,365,10,1.0,-0.005781511290419209,2.475653679877461e-05,4,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX1,sha256:ce33b982262508c5f46d1aff6e7a8b3c2b8bf5465fc8647f75ce2f9b60f80eb0,0,rejected,replay_stable,True,True,32,2.825000000000003,173.0333500646591,114,3,1.0,-5.57066535608608e-06,0.2958724242359041,0,strong corrected evidence was equivalent to the independently optimized baseline
radio_pluto_5d4d · stream-0/RX1,sha256:ce33b982262508c5f46d1aff6e7a8b3c2b8bf5465fc8647f75ce2f9b60f80eb0,1,rejected,geometry_only,False,True,32,2.825000000000003,173.0333500646591,114,3,1.0,-0.28936742945516114,0.0020191466697641568,2,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX0,sha256:a66c1fc24366a7e6e0842f76aa02dd1e16064e76cdb2cf8a67e1b840509ab023,-3,rejected,geometry_only,False,True,64,6.975000000000001,442.0904944215056,280,8,1.0,-0.0051273991134319664,-0.00019976752514793555,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX0,sha256:a66c1fc24366a7e6e0842f76aa02dd1e16064e76cdb2cf8a67e1b840509ab023,-2,rejected,geometry_only,False,True,64,6.975000000000001,442.0904944215056,280,8,1.0,-0.0029594656639427667,-0.00010528337894575093,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX0,sha256:a66c1fc24366a7e6e0842f76aa02dd1e16064e76cdb2cf8a67e1b840509ab023,-1,rejected,geometry_only,False,True,64,6.975000000000001,442.0904944215056,280,8,1.0,-0.006992085400316428,-0.0001335423297914723,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX0,sha256:a66c1fc24366a7e6e0842f76aa02dd1e16064e76cdb2cf8a67e1b840509ab023,0,supported,replay_improved,True,True,64,6.975000000000001,442.0904944215056,280,8,1.0,0.015991990373530607,0.30963123074706844,0,block-median replay improvement exceeded the calibrated equivalence band
radio_pluto_5d4d · stream-0/RX0,sha256:122493bf15ed317dd6dea27137591006d7ce9ae46fa9f2c7c20a639879e132fd,-1,rejected,insufficient,False,False,7,0.7250000000000014,107.74514601028113,30,2,1.0,-0.42755236852854084,0.001584932899982766,2,"geometry did not meet observation, duration, or residual-quality gates"
radio_pluto_5d4d · stream-0/RX0,sha256:122493bf15ed317dd6dea27137591006d7ce9ae46fa9f2c7c20a639879e132fd,0,supported,insufficient,False,False,7,0.7250000000000014,107.74514601028113,30,2,1.0,0.10254665459048816,0.5905649822789198,0,"geometry did not meet observation, duration, or residual-quality gates"
radio_pluto_5d4d · stream-0/RX0,sha256:432114d908716eb75716a929d8659cb06a79496df16743489918674cb37d1ba0,-1,rejected,insufficient,False,False,5,0.5,24.16798510294283,21,2,1.0,-0.19388092340410024,0.0025437767016186375,1,"geometry did not meet observation, duration, or residual-quality gates"
radio_pluto_5d4d · stream-0/RX0,sha256:432114d908716eb75716a929d8659cb06a79496df16743489918674cb37d1ba0,0,supported,insufficient,False,False,5,0.5,24.16798510294283,21,2,1.0,0.2999371260564285,0.49995409123893536,0,"geometry did not meet observation, duration, or residual-quality gates"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,-3,rejected,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.4901722457095954,0.00037740299604546376,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,-2,rejected,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.4915184014464905,-0.0006520194215791676,6,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,-1,rejected,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.47461982960649135,0.0015877389064390436,6,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,0,supported,replay_improved,True,True,82,5.375,167.2016141489787,216,6,1.0,0.11342633617507804,0.6301550879018358,0,block-median replay improvement exceeded the calibrated equivalence band
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-3,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.3415629226577656,-0.00028201093540239364,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-2,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.3379357401522772,-0.0004319559369733994,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-1,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.32905146461260815,0.00041885334552813416,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,0,supported,replay_improved,True,True,110,10.675000000000004,444.6516868532518,428,11,1.0,0.1129753564304409,0.5227074562949329,0,block-median replay improvement exceeded the calibrated equivalence band
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,-2,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,-7.337946901658961e-05,-0.0006660550512761262,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,-1,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,0.0001445856034490954,0.00041650880101870395,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,0,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,-0.0005392390285613932,0.0007150022260122395,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,1,supported,replay_improved,True,True,9,2.674999999999997,110.09755924877939,108,4,1.0,0.23529878788758607,0.30813394971798724,0,block-median replay improvement exceeded the calibrated equivalence band
radio_pluto_5d4d · stream-0/RX0,sha256:b5aad26ebe83c85219e2cf3bb329e889eb6cdeaa9482aedec2d59f77b10c1d01,-2,rejected,geometry_only,False,True,73,4.899999999999999,168.53711277170234,197,5,1.0,-0.43261459729249835,0.0005444405111106644,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
