session_id,track,path,duration_s,observation_count,radio_rate_hz_s,best_object_name,best_catalog_number,best_train_rms_hz,best_holdout_rms_hz,linear_holdout_rms_hz,holdout_advantage_hz,scalar_empirical_p,free_affine_best_catalog_number,free_affine_holdout_rms_hz,wide_epoch_best_catalog_number,wide_epoch_adjustment_s,wide_epoch_holdout_rms_hz,adjacent_tle_shape_rms_hz,failed_secure_checks,secure_association
cap-20260821T201522-841b2a20e151,T1,stream-1/RX1,26.375,739,-6093.596540969822,STARLINK-11412,63062,6234.779785852504,16051.699795036056,1251.5637253340706,-14800.136069701986,0.14634146341463414,63062,2220.3584816803086,63062,2.0000000000000036,15875.542746290866,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T201522-841b2a20e151,T2,stream-0/RX1,25.3,800,-6527.349480985292,STARLINK-11412,63062,5819.802369588949,15536.78026178465,2034.1987007366106,-13502.581561048039,0.14634146341463414,58037,1512.2068787118867,63062,2.0000000000000036,15425.168163968654,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T201522-841b2a20e151,T3,stream-1/RX1,10.75,128,-3472.451239513597,STARLINK-5451,54771,980.0770388825761,678.6745440289237,692.2062130464005,13.531669017476815,0.1951219512195122,69534,1072.0533656559755,54771,-2.0,665.3697196940517,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193701-87f96f47e73f,T1,stream-1/RX1,12.25,378,-5732.051763327045,STARLINK-11083,59424,1104.9321951975778,6711.668731457233,1159.5178733237167,-5552.1508581335165,0.2926829268292683,52704,967.0821739313604,59424,-2.0,6078.460483147912,13.110984044994488,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193701-87f96f47e73f,T2,stream-0/RX1,7.424999999999997,68,-4685.75334388014,STARLINK-3999,52704,783.3077648215676,3644.2207487286773,3290.7438306219647,-353.4769181067127,0.7804878048780488,68052,3208.5692040468107,52704,-1.95,3478.735579416607,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193701-87f96f47e73f,T3,stream-0/RX1,6.950000000000003,154,-3798.1031442464073,STARLINK-35808,68052,559.9942354658845,1214.6759646926998,1093.5609472136891,-121.1150174790107,0.7560975609756098,65213,911.8589001582108,68052,-2.0,1198.3100875031269,9.816305068284592,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T1,stream-0/RX1,15.600000000000001,410,-4965.40292000454,STARLINK-35371,66484,4253.674284542932,8335.239442973325,586.6358587683143,-7748.6035842050105,0.8780487804878049,52855,1493.0668038361198,66484,-2.0,8051.05188314488,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T2,stream-1/RX1,15.074999999999992,483,-6048.822903765975,STARLINK-35371,66484,5554.996511058556,21358.92525093441,1391.2410966957561,-19967.684154238654,0.926829268292683,59218,1007.4300086119807,66484,-2.0,20885.879239041093,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T3,stream-1/RX1,13.699999999999992,366,-4105.645490760674,STARLINK-35371,66484,1030.99428908286,2705.833006259829,2541.1583213693475,-164.67468489048133,0.7317073170731707,52855,1720.127886184606,66484,-2.0,2638.131082212918,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T190912-ffd441556880,T1,stream-1/RX1,28.300000000000004,1171,-5488.453692199003,STARLINK-11182,60399,901.4707871131156,3269.241904520638,1311.0768422184137,-1958.1650623022242,0.024390243902439025,60399,2348.03039279958,60399,-0.9499999999999991,3018.453791141845,129.39016163563556,holdout_rms;beats_linear_holdout;epoch_search_interior;adjacent_tle_shape_stable,False
