probe_index,sample_start,start_time_s,center_time_s,end_time_s,acquisition_status,candidate_count,best_candidate_rank,epoch_sample,acquired_cfo_hz,residual_cfo_hz,tracking_cfo_hz,glrt_exact_score,glrt_control_score,glrt_margin,passed_margin_gate,lattice_frame_count,measured_frame_count,robust_line_available,robust_reference_time_s,robust_cfo_at_reference_hz,robust_slope_hz_s,robust_slope_sigma_hz_s,robust_residual_rms_hz,robust_median_absolute_residual_hz,robust_mad_scale_hz,robust_outlier_count,robust_converged,reason
0,0,0.0,0.01,0.02,complete,10,8,1485,-185419.59055073414,-7546.164772727461,-192965.7553234616,0.04150684651418845,0.03446529735454878,0.007041549159639671,False,14,14,True,0.009929457142857142,-193273.6301073781,-130402.61688343882,55402.45170655662,1114.1866327548328,714.2428512406768,1135.741947207568,3,True,Huber degree-one frame-CFO line available
1,25000,0.01,0.02,0.03,complete,10,1,1223,190594.5005006316,46608.664772728436,237203.16527336003,0.03471101653568657,0.0331735905773579,0.0015374259583286684,False,14,14,True,0.019824657142857142,236820.3001157292,13828.37699045043,54417.89489544178,1094.3864252849157,883.6201686022832,1233.5406425093533,1,True,Huber degree-one frame-CFO line available
2,50000,0.02,0.03,0.04,complete,10,1,3261,376159.1656631803,-112304.6875000028,263854.4781631775,0.1444770674118901,0.032077729453975745,0.11239933795791435,True,14,14,True,0.030639857142857142,263993.75336681615,-23613.89257975785,42613.15677644271,856.983909507737,309.88069580026786,410.5989601577304,5,True,Huber degree-one frame-CFO line available
3,75000,0.03,0.04,0.05,complete,10,4,1569,5165.497732211068,-16424.00568181859,-11258.507949607523,0.045121878732053367,0.03636741728228847,0.008754461449764897,False,14,14,True,0.03996305714285714,-11033.3657721815,-104964.93050471794,47612.96572489904,957.5339776925132,903.7708937739771,1307.501137088697,0,True,Huber degree-one frame-CFO line available
4,100000,0.04,0.05,0.06,complete,10,9,1919,214599.72860912918,110529.11931818457,325128.84792731376,0.04291920067176541,0.03752190680560135,0.0053972938661640615,False,14,14,True,0.05010305714285714,324845.15452656744,-80824.13915474105,63470.51335183075,1276.4416622798628,1103.3129230593622,1606.3259566847316,1,True,Huber degree-one frame-CFO line available
5,125000,0.05,0.060000000000000005,0.07,complete,10,6,177,89633.728279179,61700.99431818336,151334.72259736236,0.04511189392349086,0.03789596244579934,0.00721593147769152,False,14,14,True,0.05940625714285715,151130.438081378,-94861.99784403355,50832.99843091795,1022.2913537213262,432.0375910166913,654.6605776073602,3,True,Huber degree-one frame-CFO line available
6,150000,0.06,0.07,0.08,complete,10,5,2887,204671.07608110848,67027.69886363804,271698.7749447465,0.041918293909944865,0.03847412068703804,0.0034441732229068267,False,14,14,True,0.07049025714285714,271743.5381850376,-18374.591694965016,67541.57998062254,1358.31399606897,1432.9698558342352,2103.9501541526347,0,True,Huber degree-one frame-CFO line available
7,175000,0.07,0.08,0.09,complete,10,7,3275,-189739.71442721123,15536.221590909478,-174203.49283630177,0.04395028728232495,0.03386158779095243,0.010088699491372526,False,14,14,True,0.08064545714285715,-174008.4022057186,-130758.95296090723,43867.91441366755,882.2180669083473,592.0918799892388,819.5415900505978,2,True,Huber degree-one frame-CFO line available
8,200000,0.08,0.09,0.1,complete,10,0,3045,129479.07411631352,108753.55113636635,238232.62525267986,0.037971266454333595,0.031754508093408,0.006216758360925598,False,14,14,True,0.09055345714285715,238248.87787008428,-35246.25244223973,65062.450501027735,1308.4567633662866,1192.4224321110669,1890.3835300891617,0,True,Huber degree-one frame-CFO line available
9,225000,0.09,0.1,0.11,complete,10,2,1780,-50653.077319817276,1331.6761363636697,-49321.40118345361,0.043435036102174335,0.036647240062364625,0.00678779603980971,False,14,14,True,0.10004745714285714,-49019.689573006806,-62528.40782308114,55517.58382460924,1116.5020296909543,1120.2188292969986,1636.3653674727047,0,True,Huber degree-one frame-CFO line available
10,250000,0.1,0.11,0.12,complete,10,8,2703,-138397.563473372,-104314.63068182078,-242712.19415519276,0.04101110942563785,0.035572429780038765,0.005438679645599083,False,14,14,True,0.11041665714285714,-241849.08334868698,-75654.83004672716,59511.98857772203,1196.8326332047325,623.2922129255021,1015.7088380602937,4,True,Huber degree-one frame-CFO line available
11,275000,0.11,0.12,0.13,complete,10,5,2505,168121.47756412908,-105646.30681818446,62475.17074594462,0.04062002087447432,0.03759542572970207,0.0030245951447722477,False,14,14,True,0.12033745714285714,61831.724872137784,-4680.428337844986,63294.43301517069,1272.9005490013978,864.231846313447,1221.6174615812847,2,True,Huber degree-one frame-CFO line available
12,300000,0.12,0.13,0.14,complete,10,9,1940,114518.42506290773,-60369.31818181969,54149.10688108804,0.03807036592162812,0.03085733280617796,0.007213033115450164,False,14,14,True,0.13011145714285713,53954.57046445888,196.04095909315092,65871.00020401097,1324.7173302407161,1351.3808403397707,1325.1687473903025,1,True,Huber degree-one frame-CFO line available
13,325000,0.13,0.14,0.15,complete,10,5,222,289986.2356934365,-51491.47727272856,238494.75842070795,0.04340486042083311,0.032989953403781525,0.010414907017051583,False,14,14,True,0.13942425714285714,238467.72450635137,-48865.693133380206,55478.00380069245,1115.7060444553952,927.2110224926437,1346.1370671586253,1,True,Huber degree-one frame-CFO line available
14,350000,0.14,0.15000000000000002,0.16,complete,10,9,2863,143357.83886822744,-57705.965909092345,85651.8729591351,0.04274896521678962,0.03375642957694097,0.00899253563984865,False,14,14,True,0.15048065714285716,85235.50319978963,-7423.639537601227,57035.078667956164,1147.0200377871815,938.2129583132773,994.1483877394228,3,True,Huber degree-one frame-CFO line available
15,375000,0.15,0.16,0.17,complete,10,3,1727,178415.84854026744,-58149.857954546904,120265.99058572054,0.04118757466268103,0.03179412647627868,0.00939344818640235,False,14,14,True,0.16002625714285715,120252.23286695835,-92804.671770129,48123.90481411785,967.8093623699779,717.849638640495,1064.2838742483978,3,True,Huber degree-one frame-CFO line available
16,400000,0.16,0.16999999999999998,0.18,complete,10,2,1874,-144342.7249118333,106977.98295454812,-37364.74195728518,0.042456680619537,0.033116309474364565,0.009340371145172437,False,14,14,True,0.17008505714285715,-37343.64957604553,54316.04877805399,59720.78046726268,1201.0316013945514,1066.944576530681,1390.7694592276318,1,True,Huber degree-one frame-CFO line available
17,425000,0.17,0.18,0.19,complete,10,5,1866,282694.32701216004,42613.63636363743,325307.9633757975,0.03907456001462552,0.03536170796148186,0.0037128520531436587,False,14,14,True,0.18008185714285715,325446.7752841346,154555.24495515806,61918.72069446476,1245.23389832021,956.0280040254875,1342.0671419803734,1,True,Huber degree-one frame-CFO line available
18,450000,0.18,0.19,0.2,complete,10,0,1651,-58157.21256758502,-112748.57954545735,-170905.79211304238,0.03721310950568695,0.03132442389211671,0.005888685613570241,False,14,14,True,0.18999585714285713,-171690.24561183748,12058.983324313063,62015.89372740641,1247.1881240093778,674.110020154345,819.0390173302052,4,True,Huber degree-one frame-CFO line available
19,475000,0.19,0.2,0.21,complete,10,9,32,180997.8169939529,76349.43181818372,257347.24881213662,0.03780407453940161,0.03385419785259215,0.0039498766868094545,False,14,14,True,0.19934825714285714,257781.04736005867,8093.031741360997,62392.28087599742,1254.7575639309541,1026.553690889472,1164.2074680653257,4,True,Huber degree-one frame-CFO line available
20,500000,0.2,0.21000000000000002,0.22,complete,10,4,753,-158638.43644464688,12428.977272727583,-146209.4591719193,0.03929603717540095,0.034357175528566555,0.004938861646834394,False,14,14,True,0.20963665714285715,-146555.54150999634,43282.26631645975,49600.66916873878,997.5082484835816,725.7019137473835,1344.1272342469229,1,True,Huber degree-one frame-CFO line available
