segment_index,segment_qualified,frame_index,capture_time_s,measurement_supported,absolute_cfo_measurement_hz,tracked_absolute_cfo_hz,frozen_model_cfo_hz,measurement_residual_hz,tracked_residual_hz,tracked_doppler_rate_hz_s,phase_innovation_modulo_pi_rad,phase_update_applied,frequency_update_applied
176,False,0,52.2257332,True,-70801.16333403156,-70801.16333403156,-70796.19444964579,-4.968884385772981,-4.968884385772981,0.0,0.0,True,True
176,False,1,52.2270664,True,-70807.60536930339,-70830.05314463386,-70801.90137756385,-5.7039917395450175,-28.151767070012284,-2954.5426454348567,-0.2775328548565785,True,True
176,False,2,52.2284,True,-70828.470615087,-70843.2100855446,-70807.61001773154,-20.86059735546587,-35.600067813065834,-6006.9224494288055,-0.09680088015665334,True,True
176,False,3,52.2297332,True,-70838.15275890332,-70852.8249154023,-70813.3169456496,-24.835813253725064,-39.50796975271078,-6375.416876786349,-0.03105521264240574,True,True
176,False,4,52.2310664,True,-70808.45678730283,-70853.68288795366,-70819.02387356768,10.56708626485488,-34.65901438597939,-4070.125305650321,0.04917073901795299,True,True
176,False,5,52.2324,True,-70812.90849437026,-70824.05204023684,-70824.73251373533,11.824019365070853,0.6804734984907554,3784.354345824837,0.5213016331215496,True,True
176,False,6,52.2337332,True,-70786.66575608678,-70824.08947896025,-70830.43944165343,43.77368556665897,6.34996269318799,2862.3909100412147,-0.11760658750751318,True,True
176,False,7,52.2350664,True,-70840.5754415006,-70807.18279502066,-70836.14636957149,-4.429071929102065,28.963574550827616,5011.65346798649,0.3290726731427349,True,True
176,False,8,52.2364,True,-70835.45773349768,-70815.94647971205,-70841.85500973917,6.397276241492364,25.90853002712538,2748.9118659859305,-0.4379826971398879,True,True
176,False,9,52.2377332,True,-70816.19949816978,-70830.63716525883,-70847.56193765723,31.362439487449592,16.92477239840082,358.92824575764286,-0.601887861553052,True,True
176,False,10,52.2390664,True,-70794.52714517289,-70831.78868887009,-70853.2688655753,58.741720402409555,21.480176705212216,172.44785235500407,-0.07457800905242973,True,True
176,False,11,52.2404,True,-70826.32963953866,-70819.21213343646,-70858.97750574298,32.64786620432278,39.76537230651593,-839.5396557196776,-0.06993207149456637,True,True
176,False,12,52.2417332,True,-70795.13732769871,-70789.6626768297,-70864.68443366104,69.54710596232326,75.02175683133828,-630.0389705645778,0.28785926063380773,True,True
176,False,13,52.243066400000004,True,-70848.37261037699,-70816.01930006086,-70870.39136157914,22.01875120215118,54.37206151828286,-3396.7815437360473,-0.402568372820856,True,True
176,False,14,52.2444,True,-70849.52193014538,-70847.14122436743,-70876.10000174679,26.578071601412375,28.95877737936098,-8980.3133999887,-0.4707526605515824,True,True
