created_at,failure,id,manifest_uri,pipeline_lane,pipeline_release_id,sealed_at,session_id,started_at,state
2026-08-23T08:13:42.417638+00:00,1 processing jobs failed or were cancelled,research-5c33cefe91d34f64b19d51f88e8ed8e8,,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T08:29:31.900747+00:00,cap-20260823T081200-e63228b11f55,2026-08-23T08:13:45.656529+00:00,failed
2026-08-23T08:25:47.461291+00:00,,research-fbd2d086ef854ab6a7dc6f446e44aaec,bulk://analysis/cap-20260823T082400-4636467359eb/research-fbd2d086ef854ab6a7dc6f446e44aaec/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T08:45:58.366884+00:00,cap-20260823T082400-4636467359eb,2026-08-23T08:25:47.636596+00:00,succeeded
2026-08-23T08:43:41.902331+00:00,,research-7516146676354f63863fc7218cfc74d5,bulk://analysis/cap-20260823T084200-fd7c39cd87a8/research-7516146676354f63863fc7218cfc74d5/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T09:00:43.44037+00:00,cap-20260823T084200-fd7c39cd87a8,2026-08-23T08:43:54.252362+00:00,succeeded
2026-08-23T09:37:52.276189+00:00,,research-fe1d791cd96148b79af7311ed7903d52,bulk://analysis/cap-20260823T093600-72ace7bf37ea/research-fe1d791cd96148b79af7311ed7903d52/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T09:58:13.09689+00:00,cap-20260823T093600-72ace7bf37ea,2026-08-23T09:37:55.831545+00:00,succeeded
2026-08-23T10:08:04.91447+00:00,,research-f23dec2df8824e73b25755fb461314dd,bulk://analysis/cap-20260823T100618-ebdd7c1ebdac/research-f23dec2df8824e73b25755fb461314dd/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T10:27:52.531178+00:00,cap-20260823T100618-ebdd7c1ebdac,2026-08-23T10:08:05.454816+00:00,succeeded
2026-08-23T10:52:45.309575+00:00,,research-9189d109ff07472d9e422be55ddeaffb,bulk://analysis/cap-20260823T105100-d8b8323460c7/research-9189d109ff07472d9e422be55ddeaffb/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T11:12:38.314071+00:00,cap-20260823T105100-d8b8323460c7,2026-08-23T10:52:45.642701+00:00,succeeded
2026-08-23T11:27:15.954712+00:00,1 processing jobs failed or were cancelled,research-3dbab2d17a2f4c48bc2441f81911ec62,,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T11:45:37.492361+00:00,cap-20260823T112531-8460cc6f3fd7,2026-08-23T11:27:16.081345+00:00,failed
2026-08-23T11:55:51.352155+00:00,,research-548bfda8c7bd45328432542227bb7285,bulk://analysis/cap-20260823T115405-ae0cea9fadb2/research-548bfda8c7bd45328432542227bb7285/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T12:16:16.097963+00:00,cap-20260823T115405-ae0cea9fadb2,2026-08-23T11:55:54.680155+00:00,succeeded
2026-08-23T12:55:42.631+00:00,,research-f931d59ef469447f869f256866811036,bulk://analysis/cap-20260823T125400-975e98759977/research-f931d59ef469447f869f256866811036/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T13:15:46.034123+00:00,cap-20260823T125400-975e98759977,2026-08-23T12:55:44.103622+00:00,succeeded
2026-08-23T12:58:46.430064+00:00,,research-aa796b3fd7604a25a14e31393428d89a,bulk://analysis/cap-20260823T125700-7830b09846c7/research-aa796b3fd7604a25a14e31393428d89a/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T13:16:06.096478+00:00,cap-20260823T125700-7830b09846c7,2026-08-23T12:58:54.868973+00:00,succeeded
2026-08-23T14:13:41.90306+00:00,,research-d1b487a0152d489981995f97d8646175,bulk://analysis/cap-20260823T141200-d70ee72e89f1/research-d1b487a0152d489981995f97d8646175/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T14:33:34.04888+00:00,cap-20260823T141200-d70ee72e89f1,2026-08-23T14:13:42.343979+00:00,succeeded
2026-08-23T15:04:40.287583+00:00,,research-1a204295666b426d96621105821c63f8,bulk://analysis/cap-20260823T150300-92ac23cd745f/research-1a204295666b426d96621105821c63f8/manifest.json,research,88a5bc8b855f6e1f4edfbb8f627ad525e4ad3f77,2026-08-23T15:27:34.445332+00:00,cap-20260823T150300-92ac23cd745f,2026-08-23T15:04:40.624452+00:00,succeeded
