actual_digest,byte_size,expected_digest,media_type,path,relative_path,scan_id
sha256:6b12900d417d916de091287328c10831a1aea4d1fad2f31662b2c78ac8ff661c,6038,sha256:6b12900d417d916de091287328c10831a1aea4d1fad2f31662b2c78ac8ff661c,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-d9d949795e8343b2-01
sha256:615eaae4ea1a0b2d8d9dec104625fc30a062c5d6a83ac2b3c578778ca7066ed9,3876447,sha256:615eaae4ea1a0b2d8d9dec104625fc30a062c5d6a83ac2b3c578778ca7066ed9,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-d9d949795e8343b2-01
sha256:f3eba53b68763499d179c78ea6f333cc6f3e4c2ce38191c4b20928344a59a84f,174434,sha256:f3eba53b68763499d179c78ea6f333cc6f3e4c2ce38191c4b20928344a59a84f,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-d9d949795e8343b2-01
sha256:f77a6e782c654d88fea870af4daca909f193d898c9a5aae3fc72f8b1147c79d5,870285,sha256:f77a6e782c654d88fea870af4daca909f193d898c9a5aae3fc72f8b1147c79d5,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-d9d949795e8343b2-01
sha256:84bd658a346939477123b908f65193466a414ca752bded8385ef077e13e58bcc,189964,sha256:84bd658a346939477123b908f65193466a414ca752bded8385ef077e13e58bcc,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-d9d949795e8343b2-01
sha256:566077919506bc9abb1ce7154c266c10b2539274e4384b3af60585ce719080df,549483,sha256:566077919506bc9abb1ce7154c266c10b2539274e4384b3af60585ce719080df,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-d9d949795e8343b2-01
sha256:723a205edb4b8dda199f582111e1f53a2093e4f2967d34714486a2189549b1dc,258371,sha256:723a205edb4b8dda199f582111e1f53a2093e4f2967d34714486a2189549b1dc,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-d9d949795e8343b2-01
sha256:ddf82dfc205119d33bb3a914746e8d070df195aa7a5cd8a905b40faf027813a3,107239,sha256:ddf82dfc205119d33bb3a914746e8d070df195aa7a5cd8a905b40faf027813a3,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-01/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-d9d949795e8343b2-01
sha256:f21452253ed58a1eebc57313298186bd1359e2b8aafca2d3d20e7f02552afd7f,6340,sha256:f21452253ed58a1eebc57313298186bd1359e2b8aafca2d3d20e7f02552afd7f,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-d9d949795e8343b2-02
sha256:cc7b5761d94354fc6e1d9eda1e9363a62c48e778ffb9a64f0a9dac6c59cfd2fa,3876703,sha256:cc7b5761d94354fc6e1d9eda1e9363a62c48e778ffb9a64f0a9dac6c59cfd2fa,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-d9d949795e8343b2-02
sha256:2d4ba9e7e030286b21563e122c820f47ac2f111e776c9868e5439c58ad4333f7,223699,sha256:2d4ba9e7e030286b21563e122c820f47ac2f111e776c9868e5439c58ad4333f7,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-d9d949795e8343b2-02
sha256:8152d536cf47d015206f377efca72afb385ee201c700775c348db87df61ab019,870488,sha256:8152d536cf47d015206f377efca72afb385ee201c700775c348db87df61ab019,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-d9d949795e8343b2-02
sha256:cc638a69171d22fb3561e123a88d59584b33eda4996f5e99b63c02a1b9949cfd,209160,sha256:cc638a69171d22fb3561e123a88d59584b33eda4996f5e99b63c02a1b9949cfd,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-d9d949795e8343b2-02
sha256:1dd068bf1c78e772e4b1af0ad3a59ef513f9b876009071f6bba930032e76624a,624763,sha256:1dd068bf1c78e772e4b1af0ad3a59ef513f9b876009071f6bba930032e76624a,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-d9d949795e8343b2-02
sha256:c50e0a8194c89d9c3e12365bb1b68bdbcf9f2fc0052ca3435ba92c4396849ce4,290013,sha256:c50e0a8194c89d9c3e12365bb1b68bdbcf9f2fc0052ca3435ba92c4396849ce4,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-d9d949795e8343b2-02
sha256:3c64401d6a9ac7dc00e7d1643cbfaa382b36a1b76ffe1ab302fd24077a86a20c,107972,sha256:3c64401d6a9ac7dc00e7d1643cbfaa382b36a1b76ffe1ab302fd24077a86a20c,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-02/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-d9d949795e8343b2-02
sha256:e584479fbe76862f9f6ac1b362c56cf0d9d59f23255b09231ba9337e7719c060,6341,sha256:e584479fbe76862f9f6ac1b362c56cf0d9d59f23255b09231ba9337e7719c060,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-d9d949795e8343b2-03
sha256:855cdcf0e4d06eaf5e8b686575ae06723c15a80a04b0237f82e888665ac8fa35,3876460,sha256:855cdcf0e4d06eaf5e8b686575ae06723c15a80a04b0237f82e888665ac8fa35,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-d9d949795e8343b2-03
sha256:0ffcb65c3c0fddbf8dcdb4910590e52f8c6134a95f9154304aacb90b2f64d69f,188703,sha256:0ffcb65c3c0fddbf8dcdb4910590e52f8c6134a95f9154304aacb90b2f64d69f,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-d9d949795e8343b2-03
sha256:60bc9dcea805936dc22e8f7b49e9fca72d1514a475b941f8744f775ee827e8d2,869971,sha256:60bc9dcea805936dc22e8f7b49e9fca72d1514a475b941f8744f775ee827e8d2,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-d9d949795e8343b2-03
sha256:efea41f468b7bbf501da47d04be166bc4e72d1b13d63905d2860a11c8c533f25,213136,sha256:efea41f468b7bbf501da47d04be166bc4e72d1b13d63905d2860a11c8c533f25,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-d9d949795e8343b2-03
sha256:67afbae8e43c17072531714f094a04f3241525b879208ec7c111b3d6abc66175,544462,sha256:67afbae8e43c17072531714f094a04f3241525b879208ec7c111b3d6abc66175,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-d9d949795e8343b2-03
sha256:66a966631d6088e15da72298ce8445d8a73de731977799614a857fb45a655eb2,263973,sha256:66a966631d6088e15da72298ce8445d8a73de731977799614a857fb45a655eb2,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-d9d949795e8343b2-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-d9d949795e8343b2-03
