leased,observed_utc,oldest_pending_seconds,pending,research_leased,research_pending,standard_leased,standard_pending,window_cancelled,window_failed,window_retried
4,2026-08-23T09:21:35Z,111,8,0,0,4,8,11,1,0
3,2026-08-23T09:22:35Z,171,7,0,0,3,7,11,1,0
4,2026-08-23T09:23:35Z,45,8,0,0,4,8,11,1,0
4,2026-08-23T09:24:35Z,105,8,0,0,4,8,11,1,0
4,2026-08-23T09:25:35Z,165,8,0,0,4,8,11,1,0
7,2026-08-23T09:26:35Z,225,13,0,0,7,13,11,1,0
4,2026-08-23T09:27:35Z,109,8,0,0,4,8,11,1,0
3,2026-08-23T09:28:35Z,169,7,0,0,3,7,11,1,0
4,2026-08-23T09:29:35Z,50,8,0,0,4,8,11,1,0
4,2026-08-23T09:30:35Z,110,8,0,0,4,8,11,1,0
4,2026-08-23T09:31:35Z,170,8,0,0,4,8,11,1,0
6,2026-08-23T09:32:35Z,230,13,0,0,6,13,11,1,0
4,2026-08-23T09:33:35Z,110,8,0,0,4,8,11,1,0
0,2026-08-23T09:34:35Z,0,0,0,0,0,0,22,2,0
4,2026-08-23T09:35:35Z,49,8,0,0,4,8,22,2,0
4,2026-08-23T09:36:35Z,109,8,0,0,4,8,22,2,0
4,2026-08-23T09:37:35Z,169,8,0,0,4,8,22,2,0
7,2026-08-23T09:38:35Z,229,9,4,8,3,1,22,2,0
4,2026-08-23T09:39:35Z,104,8,4,8,0,0,22,2,0
4,2026-08-23T09:40:36Z,164,8,4,8,0,0,22,2,0
8,2026-08-23T09:41:36Z,224,16,4,8,4,8,22,2,0
8,2026-08-23T09:42:36Z,284,16,4,8,4,8,22,2,0
8,2026-08-23T09:43:36Z,344,16,4,8,4,8,22,2,0
10,2026-08-23T09:44:36Z,404,18,4,8,6,10,22,2,0
8,2026-08-23T09:45:36Z,464,16,4,8,4,8,22,2,0
8,2026-08-23T09:46:36Z,524,16,4,8,4,8,22,2,0
10,2026-08-23T09:47:36Z,584,22,4,8,6,14,22,2,0
9,2026-08-23T09:48:36Z,644,19,4,8,5,11,22,2,0
8,2026-08-23T09:49:36Z,704,16,4,8,4,8,22,2,0
12,2026-08-23T09:50:36Z,764,24,4,8,8,16,22,2,0
10,2026-08-23T09:51:36Z,824,22,4,8,6,14,22,2,0
8,2026-08-23T09:52:36Z,884,16,4,8,4,8,22,2,0
8,2026-08-23T09:53:36Z,944,16,4,8,4,8,22,2,0
6,2026-08-23T09:54:36Z,1004,14,4,8,2,6,22,2,0
3,2026-08-23T09:55:36Z,1064,7,3,7,0,0,22,2,0
3,2026-08-23T09:56:36Z,1125,7,3,7,0,0,22,2,0
6,2026-08-23T09:57:36Z,1185,12,2,4,4,8,22,2,0
4,2026-08-23T09:58:36Z,109,8,0,0,4,8,22,2,0
4,2026-08-23T09:59:36Z,169,8,0,0,4,8,22,2,0
8,2026-08-23T10:00:36Z,229,16,0,0,8,16,22,2,0
4,2026-08-23T10:01:36Z,118,8,0,0,4,8,22,2,0
8,2026-08-23T10:02:37Z,178,16,0,0,8,16,22,2,0
5,2026-08-23T10:03:37Z,238,12,0,0,5,12,22,2,0
4,2026-08-23T10:04:37Z,129,8,0,0,4,8,22,2,0
7,2026-08-23T10:05:37Z,189,12,0,0,7,12,22,2,0
4,2026-08-23T10:06:37Z,80,8,0,0,4,8,22,2,0
4,2026-08-23T10:07:37Z,140,8,0,0,4,8,22,2,0
8,2026-08-23T10:08:37Z,200,12,4,8,4,4,22,2,0
4,2026-08-23T10:09:37Z,92,8,4,8,0,0,22,2,0
4,2026-08-23T10:10:37Z,152,8,4,8,0,0,22,2,0
8,2026-08-23T10:11:37Z,213,16,4,8,4,8,22,2,0
8,2026-08-23T10:12:37Z,273,16,4,8,4,8,22,2,0
8,2026-08-23T10:13:37Z,333,16,4,8,4,8,22,2,0
12,2026-08-23T10:14:37Z,393,24,4,8,8,16,22,2,0
10,2026-08-23T10:15:37Z,453,22,4,8,6,14,22,2,0
8,2026-08-23T10:16:37Z,513,16,4,8,4,8,22,2,0
8,2026-08-23T10:17:37Z,573,15,4,8,4,7,22,2,0
4,2026-08-23T10:18:37Z,633,8,4,8,0,0,22,2,0
4,2026-08-23T10:19:37Z,693,8,4,8,0,0,22,2,0
8,2026-08-23T10:20:37Z,753,16,4,8,4,8,22,2,0
8,2026-08-23T10:21:37Z,813,16,4,8,4,8,22,2,0
8,2026-08-23T10:22:37Z,873,16,4,8,4,8,22,2,0
11,2026-08-23T10:23:37Z,933,23,4,8,7,15,22,2,0
10,2026-08-23T10:24:37Z,993,22,3,7,7,15,22,2,0
5,2026-08-23T10:25:38Z,1053,12,1,4,4,8,22,2,0
5,2026-08-23T10:26:38Z,1113,12,1,4,4,8,22,2,0
4,2026-08-23T10:27:38Z,1173,1,3,1,1,0,22,2,0
0,2026-08-23T10:28:38Z,0,0,0,0,0,0,22,2,0
4,2026-08-23T10:29:38Z,32,8,0,0,4,8,22,2,0
4,2026-08-23T10:30:38Z,92,8,0,0,4,8,22,2,0
4,2026-08-23T10:31:38Z,152,6,0,0,4,6,22,2,0
5,2026-08-23T10:32:38Z,212,12,0,0,5,12,22,2,0
4,2026-08-23T10:33:38Z,107,8,0,0,4,8,22,2,0
4,2026-08-23T10:34:38Z,168,8,0,0,4,8,22,2,0
6,2026-08-23T10:35:38Z,228,14,0,0,6,14,22,2,0
4,2026-08-23T10:36:38Z,113,8,0,0,4,8,22,2,0
4,2026-08-23T10:37:38Z,173,8,0,0,4,8,22,2,0
8,2026-08-23T10:38:38Z,233,16,0,0,8,16,22,2,0
4,2026-08-23T10:39:38Z,112,8,0,0,4,8,22,2,0
4,2026-08-23T10:40:38Z,172,8,0,0,4,8,22,2,0
6,2026-08-23T10:41:38Z,232,14,0,0,6,14,22,2,0
5,2026-08-23T10:42:38Z,292,12,0,0,5,12,22,2,0
4,2026-08-23T10:43:38Z,174,8,0,0,4,8,22,2,0
6,2026-08-23T10:44:38Z,235,14,0,0,6,14,22,2,0
4,2026-08-23T10:45:38Z,114,8,0,0,4,8,22,2,0
4,2026-08-23T10:46:38Z,174,4,0,0,4,4,22,2,0
4,2026-08-23T10:47:38Z,56,8,0,0,4,8,22,2,0
4,2026-08-23T10:48:38Z,116,8,0,0,4,8,22,2,0
4,2026-08-23T10:49:39Z,176,8,0,0,4,8,22,2,0
6,2026-08-23T10:50:39Z,236,14,0,0,6,14,22,2,0
4,2026-08-23T10:51:39Z,116,8,0,0,4,8,22,2,0
4,2026-08-23T10:52:39Z,176,8,0,0,4,8,22,2,0
7,2026-08-23T10:53:39Z,236,15,4,8,3,7,22,2,0
4,2026-08-23T10:54:39Z,114,8,4,8,0,0,22,2,0
4,2026-08-23T10:55:39Z,174,8,4,8,0,0,22,2,0
8,2026-08-23T10:56:39Z,234,16,4,8,4,8,22,2,0
8,2026-08-23T10:57:39Z,294,16,4,8,4,8,22,2,0
8,2026-08-23T10:58:39Z,354,16,4,8,4,8,22,2,0
12,2026-08-23T10:59:39Z,414,24,4,8,8,16,22,2,0
11,2026-08-23T11:00:39Z,474,23,4,8,7,15,22,2,0
8,2026-08-23T11:01:39Z,534,16,4,8,4,8,22,2,0
7,2026-08-23T11:02:39Z,594,15,4,8,3,7,22,2,0
4,2026-08-23T11:03:39Z,654,8,4,8,0,0,22,2,0
4,2026-08-23T11:04:39Z,714,8,4,8,0,0,22,2,0
8,2026-08-23T11:05:39Z,774,16,4,8,4,8,22,2,0
8,2026-08-23T11:06:39Z,834,16,4,8,4,8,22,2,0
8,2026-08-23T11:07:39Z,895,16,4,8,4,8,22,2,0
12,2026-08-23T11:08:39Z,955,24,4,8,8,16,22,2,0
9,2026-08-23T11:09:39Z,1015,20,4,8,5,12,22,2,0
8,2026-08-23T11:10:39Z,1075,15,4,7,4,8,22,2,0
6,2026-08-23T11:11:40Z,1135,9,4,4,2,5,22,2,0
1,2026-08-23T11:12:40Z,272,4,0,0,1,4,22,2,0
4,2026-08-23T11:13:40Z,11,8,0,0,4,8,22,2,0
4,2026-08-23T11:14:40Z,71,8,0,0,4,8,22,2,0
4,2026-08-23T11:15:40Z,131,8,0,0,4,8,22,2,0
6,2026-08-23T11:16:40Z,191,9,0,0,6,9,22,2,0
4,2026-08-23T11:17:40Z,84,8,0,0,4,8,22,2,0
4,2026-08-23T11:18:40Z,144,8,0,0,4,8,22,2,0
7,2026-08-23T11:19:40Z,205,15,0,0,7,15,22,2,0
4,2026-08-23T11:20:40Z,100,8,0,0,4,8,22,2,0
3,2026-08-23T11:21:40Z,160,6,0,0,3,6,22,2,0
5,2026-08-23T11:22:40Z,220,12,0,0,5,12,22,2,0
4,2026-08-23T11:23:40Z,114,8,0,0,4,8,22,2,0
8,2026-08-23T11:24:40Z,174,16,0,0,8,16,22,2,0
7,2026-08-23T11:25:40Z,234,14,0,0,7,14,22,2,0
4,2026-08-23T11:26:40Z,130,8,0,0,4,8,22,2,0
8,2026-08-23T11:27:40Z,190,16,4,8,4,8,22,2,0
7,2026-08-23T11:28:40Z,250,15,4,8,3,7,22,2,0
4,2026-08-23T11:29:40Z,145,8,4,8,0,0,22,2,0
8,2026-08-23T11:30:40Z,205,16,4,8,4,8,22,2,0
8,2026-08-23T11:31:40Z,265,16,4,8,4,8,22,2,0
8,2026-08-23T11:32:40Z,325,16,4,8,4,8,22,2,0
12,2026-08-23T11:33:40Z,385,24,4,8,8,16,22,2,0
12,2026-08-23T11:34:41Z,445,24,4,8,8,16,22,2,0
8,2026-08-23T11:35:41Z,505,16,4,8,4,8,22,2,0
7,2026-08-23T11:36:41Z,565,15,4,8,3,7,22,2,0
4,2026-08-23T11:37:41Z,625,8,4,8,0,0,22,2,0
4,2026-08-23T11:38:41Z,685,8,4,8,0,0,22,2,0
8,2026-08-23T11:39:41Z,745,16,4,8,4,8,22,2,0
8,2026-08-23T11:40:41Z,805,16,4,8,4,8,22,2,0
8,2026-08-23T11:41:41Z,865,16,4,8,4,8,22,2,0
12,2026-08-23T11:42:41Z,925,24,4,8,8,16,22,2,0
11,2026-08-23T11:43:41Z,985,23,4,8,7,15,22,2,0
8,2026-08-23T11:44:41Z,1046,16,4,8,4,8,22,2,0
2,2026-08-23T11:45:41Z,222,5,0,0,2,5,33,3,0
0,2026-08-23T11:46:41Z,0,0,0,0,0,0,33,3,0
4,2026-08-23T11:47:41Z,20,8,0,0,4,8,33,3,0
4,2026-08-23T11:48:41Z,80,8,0,0,4,8,33,3,0
4,2026-08-23T11:49:41Z,140,8,0,0,4,8,33,3,0
8,2026-08-23T11:50:41Z,200,16,0,0,8,16,33,3,0
4,2026-08-23T11:51:41Z,96,8,0,0,4,8,33,3,0
4,2026-08-23T11:52:41Z,156,7,0,0,4,7,33,3,0
5,2026-08-23T11:53:41Z,216,12,0,0,5,12,33,3,0
4,2026-08-23T11:54:41Z,101,8,0,0,4,8,33,3,0
4,2026-08-23T11:55:41Z,161,8,0,0,4,8,33,3,0
8,2026-08-23T11:56:41Z,221,16,4,8,4,8,33,3,0
8,2026-08-23T11:57:42Z,281,12,4,8,4,4,33,3,0
4,2026-08-23T11:58:42Z,171,8,4,8,0,0,33,3,0
8,2026-08-23T11:59:42Z,231,16,4,8,4,8,33,3,0
8,2026-08-23T12:00:42Z,291,16,4,8,4,8,33,3,0
8,2026-08-23T12:01:42Z,351,16,4,8,4,8,33,3,0
8,2026-08-23T12:02:42Z,411,16,4,8,4,8,33,3,0
8,2026-08-23T12:03:42Z,471,16,4,8,4,8,33,3,0
8,2026-08-23T12:04:42Z,531,16,4,8,4,8,33,3,0
11,2026-08-23T12:05:42Z,591,23,4,8,7,15,33,3,0
8,2026-08-23T12:06:42Z,651,16,4,8,4,8,33,3,0
8,2026-08-23T12:07:42Z,711,16,4,8,4,8,33,3,0
8,2026-08-23T12:08:42Z,771,16,4,8,4,8,33,3,0
4,2026-08-23T12:09:42Z,831,8,4,8,0,0,33,3,0
4,2026-08-23T12:10:42Z,891,8,4,8,0,0,33,3,0
8,2026-08-23T12:11:42Z,951,16,4,8,4,8,33,3,0
8,2026-08-23T12:12:42Z,1011,16,4,8,4,8,33,3,0
8,2026-08-23T12:13:42Z,1071,15,4,7,4,8,33,3,0
10,2026-08-23T12:14:42Z,1131,21,3,6,7,15,33,3,0
6,2026-08-23T12:15:42Z,1191,16,1,4,5,12,33,3,0
4,2026-08-23T12:16:42Z,169,8,0,0,4,8,33,3,0
6,2026-08-23T12:17:42Z,229,13,0,0,6,13,33,3,0
4,2026-08-23T12:18:42Z,118,8,0,0,4,8,33,3,0
4,2026-08-23T12:19:42Z,178,8,0,0,4,8,33,3,0
5,2026-08-23T12:20:43Z,238,12,0,0,5,12,33,3,0
4,2026-08-23T12:21:43Z,119,8,0,0,4,8,33,3,0
2,2026-08-23T12:22:43Z,179,18,0,0,2,18,33,3,0
4,2026-08-23T12:23:43Z,61,8,0,0,4,8,33,3,0
4,2026-08-23T12:24:43Z,121,8,0,0,4,8,33,3,0
3,2026-08-23T12:25:43Z,181,14,0,0,3,14,33,3,0
4,2026-08-23T12:26:43Z,62,8,0,0,4,8,33,3,0
4,2026-08-23T12:27:43Z,122,8,0,0,4,8,33,3,0
2,2026-08-23T12:28:43Z,182,6,0,0,2,6,33,3,0
4,2026-08-23T12:29:43Z,57,8,0,0,4,8,33,3,0
4,2026-08-23T12:30:43Z,117,8,0,0,4,8,33,3,0
2,2026-08-23T12:31:43Z,177,6,0,0,2,6,33,3,0
4,2026-08-23T12:32:43Z,58,8,0,0,4,8,33,3,0
4,2026-08-23T12:33:43Z,118,8,0,0,4,8,33,3,0
4,2026-08-23T12:34:43Z,178,7,0,0,4,7,33,3,0
6,2026-08-23T12:35:43Z,238,13,0,0,6,13,33,3,0
4,2026-08-23T12:36:43Z,118,8,0,0,4,8,33,3,0
4,2026-08-23T12:37:43Z,178,8,0,0,4,8,33,3,0
5,2026-08-23T12:38:43Z,238,12,0,0,5,12,33,3,0
4,2026-08-23T12:39:43Z,119,8,0,0,4,8,33,3,0
8,2026-08-23T12:40:43Z,179,13,0,0,8,13,33,3,0
4,2026-08-23T12:41:43Z,61,8,0,0,4,8,33,3,0
4,2026-08-23T12:42:43Z,122,8,0,0,4,8,33,3,0
4,2026-08-23T12:43:43Z,182,20,0,0,4,20,33,3,0
6,2026-08-23T12:44:44Z,242,12,0,0,6,12,33,3,0
4,2026-08-23T12:45:44Z,120,8,0,0,4,8,33,3,0
8,2026-08-23T12:46:44Z,180,16,0,0,8,16,33,3,0
5,2026-08-23T12:47:44Z,241,12,0,0,5,12,33,3,0
4,2026-08-23T12:48:44Z,122,8,0,0,4,8,33,3,0
0,2026-08-23T12:49:44Z,1,12,0,0,0,12,33,3,0
4,2026-08-23T12:50:44Z,61,8,0,0,4,8,33,3,0
4,2026-08-23T12:51:44Z,121,8,0,0,4,8,33,3,0
3,2026-08-23T12:52:44Z,181,7,0,0,3,7,33,3,0
4,2026-08-23T12:53:44Z,58,8,0,0,4,8,33,3,0
4,2026-08-23T12:54:44Z,118,8,0,0,4,8,33,3,0
3,2026-08-23T12:55:44Z,178,17,1,11,2,6,33,3,0
4,2026-08-23T12:56:44Z,62,8,4,8,0,0,33,3,0
4,2026-08-23T12:57:44Z,122,8,4,8,0,0,33,3,0
4,2026-08-23T12:58:44Z,182,8,4,8,0,0,33,3,0
8,2026-08-23T12:59:44Z,242,16,8,16,0,0,33,3,0
8,2026-08-23T13:00:44Z,302,16,8,16,0,0,33,3,0
8,2026-08-23T13:01:44Z,362,16,8,16,0,0,33,3,0
12,2026-08-23T13:02:44Z,422,24,8,16,4,8,33,3,0
