absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,session_id,track_count
13177,0.4877299478106377,18690,24908315,27017,partial,8645767.97329156,0.15648773466176027,0.6429298067141404,stream-1 · RX0,18690,0.6917866528482067,cap-20260823T082400-4636467359eb,13
18572,0.44358459921658544,29105,38718768,41868,partial,10632925.982877398,0.1491480326116622,0.6714529462717893,stream-0 · RX1,29105,0.695160982134327,cap-20260823T082400-4636467359eb,16
21543,0.47028903248340903,31455,42357654,45808,partial,16607822.487555796,0.151788813782554,0.6463641923382439,stream-1 · RX1,31455,0.6866704505763186,cap-20260823T082400-4636467359eb,16
17931,0.461354397159471,26843,35835970,38866,partial,12342903.061100448,0.1499627536388997,0.6739235086039522,stream-0 · RX0,26843,0.6906550712705192,cap-20260823T082400-4636467359eb,16
0,,0,2061,0,no_result,,,,stream-0 · RX0,0,,cap-20260823T084200-fd7c39cd87a8,0
267,0.9709090909090909,163,255629,275,partial,1458026.4702712987,0.17198054221161965,0.5927272727272728,stream-0 · RX1,163,0.5927272727272728,cap-20260823T084200-fd7c39cd87a8,1
280,0.9722222222222222,178,267000,288,partial,9016646.860489134,0.21701484938723734,0.6180555555555556,stream-1 · RX1,178,0.6180555555555556,cap-20260823T084200-fd7c39cd87a8,2
0,,0,2061,0,no_result,,,,stream-1 · RX0,0,,cap-20260823T084200-fd7c39cd87a8,0
21445,0.4660335535465925,31389,42540637,46016,partial,12252798.889192855,0.14928870491886906,0.6642113016942018,stream-0 · RX1,31389,0.6821323018080667,cap-20260823T093600-72ace7bf37ea,16
19391,0.5825922365100349,21542,30681322,33284,partial,14408400.197648369,0.1559071883269304,0.6548205268301044,stream-0 · RX0,21542,0.6472178824660497,cap-20260823T093600-72ace7bf37ea,16
11110,0.6847457627118644,9956,14993448,16225,partial,23772440.945999566,0.17318860518379475,0.6313813667025124,stream-1 · RX1,9956,0.6136209553158706,cap-20260823T093600-72ace7bf37ea,14
0,,0,2061,0,no_result,,,,stream-1 · RX0,0,,cap-20260823T093600-72ace7bf37ea,0
14030,0.7413474240422722,11478,17482372,18925,partial,11894001.434778517,0.16697987064096087,0.5958262630376253,stream-1 · RX1,11478,0.6064993394980185,cap-20260823T100618-ebdd7c1ebdac,16
0,,0,2061,0,no_result,,,,stream-1 · RX0,0,,cap-20260823T100618-ebdd7c1ebdac,0
2863,0.9337899543378996,1900,2826504,3066,partial,14114226.582981605,0.18264922875434106,0.6252346835279139,stream-0 · RX0,1900,0.6196999347684279,cap-20260823T100618-ebdd7c1ebdac,6
976,0.7928513403736799,781,1140283,1231,partial,10112680.334485874,0.1702021076213662,0.6346868456777341,stream-0 · RX1,781,0.6344435418359058,cap-20260823T100618-ebdd7c1ebdac,2
13376,0.379687189531352,25276,32478554,35229,partial,214789903.96085086,0.15578112945570932,0.637939453125,stream-0 · RX0,25276,0.7174770785432456,cap-20260823T105100-d8b8323460c7,11
19876,0.44571018522671213,31210,41199307,44594,partial,19431690.07235476,0.13932857037575558,0.7084515031196824,stream-1 · RX1,31210,0.6998699376597749,cap-20260823T105100-d8b8323460c7,15
14959,0.7020697423381987,13211,19705874,21307,partial,12040511.707027178,0.167184044523097,0.640430946256189,stream-0 · RX1,13211,0.6200309757356737,cap-20260823T105100-d8b8323460c7,12
3899,0.5010924045752474,5173,7169185,7781,partial,43801347.484470345,0.16501778294647584,0.6784754081538158,stream-1 · RX0,5173,0.6648245726770338,cap-20260823T105100-d8b8323460c7,6
