path,scope_digest,branch_id,trajectory_id,window_index,start_time_s,end_time_s,reference_time_s,phase_supported_span_ms,supported_frame_count,phase_update_count,phase_lock_qualified,qualified_20_70ms_segment,local_cfo_doppler_rate_hz_s,local_cfo_doppler_rate_sigma_hz_s,phase_frequency_kalman_rate_hz_s,glrt_doppler_rate_hz_s,local_minus_glrt_rate_hz_s,frequency_line_rms_hz,held_out_frequency_rms_hz,median_coherence_margin,qualification_failures
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,0,47.075,47.145,47.112516,1.3336000000000008,47,2,False,False,-3754.8894362436768,128.69468538499112,-3794.971725617131,-5682.742261241052,1927.8528249973751,15.95722137112542,19.066167837028473,0.13450195873138118,modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,1,47.65,47.72,47.68020373333333,58.666799999999995,45,45,True,True,-3612.7723192101394,129.7784884034771,-3757.7826337997762,-5682.742261241052,2069.9699420309125,15.075177063669956,16.7019367627008,0.10461403194180839,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,2,48.025,48.095,48.0599692,67.99999999999999,52,52,True,True,-3820.994635697116,111.99441755511646,-3796.6914353025095,-5682.742261241052,1861.747625543936,16.16103782624553,19.31778148496545,0.1329291241766602,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,3,48.5,48.57,48.525314533333336,46.666799999999995,36,36,True,False,-4360.997963904507,177.72139058235157,-3854.3430804263903,-5682.742261241052,1321.744297336545,14.769781994106841,16.666445721619496,0.14193824688275195,supported frame coverage below threshold
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,4,48.875,48.945,48.9096888,67.99999999999999,52,52,True,True,-3792.0886040473815,137.58552491822473,-4093.3713884530384,-5682.742261241052,1890.6536571936704,19.853890230314388,20.327831934168387,0.12428104739444296,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,5,49.325,49.395,49.35655226382979,61.3332,47,47,True,True,-3991.215668581925,118.19514609311547,-3666.5217130281753,-5682.742261241052,1691.526592659127,14.655349458562169,14.728697049019829,0.12322522385612912,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,6,49.85,49.92,49.88158626382979,61.3332,47,47,True,True,-3518.239438926029,139.90641552873402,-3826.6779690199364,-5682.742261241052,2164.502822315023,17.347390978755552,18.56164676415617,0.12890362658906052,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,7,50.225,50.295,50.2603464,1.3336,50,2,False,False,-3977.7165253242633,111.56275024467985,-3916.050317899743,-5682.742261241052,1705.0257359167886,15.178733176853004,15.80395005993069,0.12943142845959105,modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,8,50.7,50.77,50.7259486631579,49.3332,38,38,True,False,-4288.98070995007,146.5060282140506,-3107.2624300122543,-5682.742261241052,1393.7615512909815,13.204699136558547,13.212647215688932,0.13633494063965312,supported frame coverage below threshold; local-line and Kalman Doppler rates disagree
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,9,51.075,51.145,51.109860133333335,66.6668,51,51,True,True,-4050.835018281104,106.22299098648791,-4137.45782092196,-5682.742261241052,1631.9072429599478,14.88807227357904,18.057706949756124,0.1412911088168384,
