path,scope_digest,branch_id,representative_trajectory_id,alias_count,start_s,end_s,span_s,observation_count,evaluated_probe_count,median_block_corrected_margin,glrt_doppler_rate_hz_s,qualified_75ms_window_count
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:c520c77ccf1108fc236ddcc15fd3b8bacf040e1dfaa10b3822bf4e73cee43247,sha256:f8487021167e036a69616838837056eff7c9eaae23370fb68e7b2cb40ecf7975,2,7.2,13.5,6.3,184,253,0.3917570020998283,-5462.42741742512,0
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:d4424862cd718f5a522053a72bbdbd440a30021918f098b53d401f215b9df957,sha256:d80015a3f22b05bee5856154f121319d5ad6165c28eca531d88f539e70e12a01,2,21.975,26.9,4.924999999999997,124,198,0.21730121168101169,-6140.173402054609,0
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:24c8115421fceabe9ad37b7a0385d39fa18349b069fc21894a4d4ad176b0f7e1,sha256:434a834d27bc3e7c571db78399d3a56adfc23bc0f4b5932c042a0e39663a9890,2,26.95,33.625,6.675000000000001,196,268,0.38704544428173016,-6635.527029627214,0
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:f5d1841588fc080fbcfe37d187722bbf227727c1858062e0576e3705272bc97f,sha256:5508172e760d7dcd676e16c42f3d578b2e64d90d71b169e8c48b43bc397ad85e,2,33.65,40.325,6.675000000000004,194,268,0.38241078562907765,-6461.150803896809,0
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:c205d5a7a6702732a66fb594a1f0915184e99c5d7733a9f2f5528d150bd4bed3,sha256:c10e8be3023e3dd3569999075b2be7a70b445b1900fff9f99ea765557daa7f0b,2,40.6,44.175,3.5749999999999957,82,144,0.27455547944978886,-5937.6425565453055,0
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:2c05c62da2881ca2e39c9c2add48ad19c787cbed732ca62f08bd0282b9bda819,sha256:81a49701d742a6c0075130e786b0b1d83a5238d1b9b96298bf28d291b85be8ef,2,44.325,47.0,2.674999999999997,105,108,0.49470754045689047,-5766.441162718949,9
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e4314fd75246422f3a0dc6240c3e62574ac2a689ede1b685d9b7a1685e30ef1a,sha256:d523dba1c55fcff09b468bbcbb70e4bde4caa230b31c8e8fe8bc42c9475199fa,2,47.075,48.625,1.5499999999999972,58,63,0.4839665591241372,-5877.443572822195,6
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,2,48.5,53.775,5.274999999999999,190,212,0.44630601861382113,-5654.410863263503,7
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:287d0b6a4dfcc5f7aa6246275499e9101e8df61b31d8c6fb66f3bddfd731da71,sha256:1be9b1bd4b52591647d7a69fb4eee457c867e0448a82ff2bc44d7d878a8fd710,1,8.35,10.675,2.325000000000001,13,94,0.0008228591833425308,-5080.827178652393,0
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:fdd6555baf3a215fb21d240f76747713c2d23e078eae8eafcf5276ae69acee4d,sha256:d09dd1c7398ec78b43af6d1415422f80ad98fdc038affe1c43e09d0ab49b1b77,2,26.975,33.575,6.600000000000001,107,265,0.3646105350602166,-6233.349384599277,0
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:bbe9d0370e40355b76cbb0c5f44c57e8526a46650e223a15bd5c32afbe328e63,sha256:18d5352b5c3c4e10e540e3607632ce07a018faee12979ec4a8f9307b1d5c5fb0,2,33.675,40.325,6.650000000000006,157,267,0.3682056281619501,-6221.488527009959,0
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:e9e26de3d5cd701e5ee5c8b705db6f521212af144a9682703b6e7b67fd0595fa,sha256:2f826324daa8d6bb5864d141d085e173ab57f0a9ed39aefe35a1b614af22b438,2,40.4,43.85,3.450000000000003,87,139,0.3558213129436171,-5867.758193665066,0
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:0abf2289ea70a98199a2037a851ecc6ed00f6536ce454090e7df363371c283e9,sha256:10a6be345d453fa7ea07afd6d27352f0c99fccbb500a3c37c0dfe8efb6320356,2,44.475,47.05,2.5749999999999957,73,104,0.39744230158104743,-5603.987054327969,8
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:71782c18731f8f9e018141bee689ac61cc27e70a9f1288d6d604fe434ec4ef0a,sha256:397bf33d6286a9d26fdbc18c086aff571e015a03ec53d8068987bab26a20a007,2,47.075,49.2,2.125,62,86,0.39839986632373275,-5855.186475527081,7
stream-1/RX0 upper,sha256:2cd79b4f18b0ca37f9480da229353953dbf957a81d82ef6b302e71bfcfdac92c,sha256:0764472f843e1e02bd6e2c46b344c836804cb9e01600c5285ae6a4ab9e33dae4,sha256:05a16bf6bc552766a6e7ebf8ea7f9f4594e121c6a29f77fef906e18b1106208a,2,49.0,53.775,4.774999999999999,141,192,0.40837507377974125,-5315.521792595154,6
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:6726789fb2e4fac0ad0b6e48ea9404648f34a448584c945334cebf106b552056,sha256:3bda67a7ac6fb1b725fe8bf6f0acb62b1e62eab37f1c2cec6489cab370ed81b2,2,5.575,6.725,1.1499999999999995,8,47,0.11583266962513421,-4712.413160637908,1
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:81fbe645f56721866efe5121c0f99058e6ca695030f817a01d1a952c3593327f,sha256:9732928baf30737ef153896cd081e274ef5d547cd16b77924c4f6d18e1b54d42,2,8.225,10.85,2.625,23,106,0.24689805463239184,-5564.032374178682,2
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:f7560e6e5127e1abdf6357aeaa0211ac5e71264dbb24bd8cd334f6c0b7ccccba,sha256:46229a510abc2db2399074e595433f6446fdc3ffd0b07fa4b81202bfd7b66163,3,20.775,25.225,4.450000000000003,25,179,0.337282010405643,-5316.953277876298,0
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:d5e81bf9c2a4d0e03dbee83020e085f600e0ffe69083dbe8f5d32e65d0a344c7,sha256:9a3dce6d7d712d03ab8fbddf8edc2d421ffa1c15adb73c873b17794d592ab5d3,2,27.125,33.575,6.450000000000003,77,259,0.26390086820000447,-6665.905671942414,0
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:4ec8633c944d74806faa1f3e49489a0be8ddba199dbd449836a3db32d142ebe7,sha256:afa7fe06b26f52aa00a1d889fdadd9c2c44f7590a77dd5a4a0c4ae4c72cb539e,2,33.65,40.325,6.675000000000004,210,268,0.434455193384946,-6463.856608931608,0
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:fafb73cc55af52c0093f6c6c6829d9a8f4bc81d0758aef39d11b44614efb09f2,sha256:aac59f70c1faa4b856b3a745bb4549114a4aaa221e739eb2d9bd4d00b6cd3f3c,2,40.475,44.3,3.8249999999999957,128,154,0.4925771185509204,-5924.378273723042,0
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:bbdd7a847e33601e192d833df7b88da4e7d110c02cee30cc8c3de7aa87681d06,sha256:86ffb5a04553e313d739547c4cf41fa516ae4f44a73ccb5b0cf141c4f37b77b0,2,44.325,47.05,2.7249999999999943,95,110,0.5096538316011925,-5785.878086056789,9
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,2,47.075,53.775,6.699999999999996,249,269,0.5376675124966352,-5682.742261241052,8
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:cf0b88abc9153bbf64024679e70d22ea203515dd22f8c8f4e5e1fb6e4726aa88,sha256:834cde1ac00c4c417487cdc72f30fd29a72263c7d9195b63592e85237299a78c,2,6.825,13.25,6.425,187,258,0.34150072140637844,-5204.417128027534,0
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:8a1aab0539abf9e7c5bf8594da19816ffbb28dc208414f1088df51645987c6ca,sha256:dfb92ce60a405147097d2f3c9a07b560ecfb8c4edd3a5dfc13e896f6d4da7379,2,26.95,33.575,6.6250000000000036,175,266,0.33439047079140655,-6240.309753188012,0
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:ae39717d9f802a7d87bf20ff3752ff70ad63508160934077a93415f6486d340b,sha256:71405621eedde61ec3ad42c86ab514f23455801045adb84d5f53c9a1c5afc9da,3,33.95,40.35,6.399999999999999,222,257,0.43854576193203815,-6251.771561990018,0
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:b3e958b7216c706627c732fe8dd5938b50778e6269d11b959b4f472cebb0b046,sha256:a6119ee96ed287c3fe755006ea7f6e36b224934aa8a23773f31dfa7048aa507a,2,40.4,43.0,2.6000000000000014,91,105,0.4965697429501208,-6110.52741205585,0
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:8a0c361faeb94f36b3c43363659c39e01da5b89bba8f50e7640c34cf37ad255c,sha256:b5280a2c67e347bec6c4c48866a645dd862406638e503001bc2c102ab47c875e,1,42.525,44.4,1.875,54,76,0.5174431060141952,-5286.872795647204,0
stream-1/RX1 upper,sha256:ac0e930aa4149a9123fcbf2eaee95e938a4aefca11f503f4cecc6f4c1e0b01bd,sha256:3ddc59d1a9eef11c8f754db7f54f5f9f7d98c37bff3ac73f2388420ede8d6cc6,sha256:d54809f0268b21d5c18a089476a6700a8d4b900b93a9e5b4f8b587755350ca14,2,44.425,46.875,2.450000000000003,96,99,0.5249384608854157,-5602.00684371849,2
