absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
2186,0.9877993673746046,1340,2046734,2213,complete,7020921.43233401,0.2004040638371085,0.6260504201680672,stream-0 · RX1,1340,0.605512878445549,partial_coverage,cap-20260823T091800-9bd536243a3e,5
11008,0.6091190792386012,11214,16695986,18072,complete,10196858.527668694,0.16583355979009162,0.6220351526364477,stream-1 · RX1,11214,0.6205179282868526,partial_coverage,cap-20260823T091800-9bd536243a3e,12
2220,0.959792477302205,1457,2132181,2313,complete,158167682.0466937,0.17803004878274217,0.6589327146171694,stream-0 · RX0,1457,0.6299178555987894,complete,cap-20260823T091800-9bd536243a3e,5
0,,0,1594,0,no_result,,,,stream-1 · RX0,0,,no_result,cap-20260823T091800-9bd536243a3e,0
12353,0.4307933740191805,19313,26490914,28675,complete,12976899.054143194,0.1633075190436024,0.6342668863261944,stream-0 · RX1,19313,0.6735135135135135,complete,cap-20260823T092100-62d4c6eb7bdc,11
6370,0.31859557867360205,14754,18422197,19994,complete,26828827.813341502,0.16230118606063582,0.6687046516963492,stream-0 · RX0,14754,0.7379213764129239,partial_coverage,cap-20260823T092100-62d4c6eb7bdc,10
18562,0.4839651666058299,25916,35439263,38354,complete,11397915.188784532,0.14756178240737355,0.6706969807096149,stream-1 · RX1,25916,0.6757052719403452,partial_coverage,cap-20260823T092100-62d4c6eb7bdc,14
8051,0.4730039363139651,11006,15691560,17021,complete,7403080.820918347,0.1568069769502844,0.6878453038674033,stream-1 · RX0,11006,0.6466130074613713,complete,cap-20260823T092100-62d4c6eb7bdc,7
0,,0,1594,0,no_result,,,,stream-1 · RX0,0,,no_result,cap-20260823T092400-3c35810955bd,0
5607,0.7397097625329815,4756,7010767,7580,partial,8892898.605626332,0.16699184346904833,0.6153601694915254,stream-0 · RX1,4756,0.6274406332453826,complete,cap-20260823T092400-3c35810955bd,8
4303,0.4386340468909276,6870,9061655,9810,complete,8964251.150882887,0.14281315706948158,0.698594674556213,stream-1 · RX1,6870,0.7003058103975535,complete,cap-20260823T092400-3c35810955bd,4
1646,0.5410913872452334,2003,2805528,3042,complete,11775581.205941115,0.1610774661926492,0.6584483892176201,stream-0 · RX0,2003,0.65844838921762,complete,cap-20260823T092400-3c35810955bd,2
19852,0.5483674935086459,23081,33483023,36202,complete,8569842.73856501,0.14875144435398346,0.6602426837972877,stream-0 · RX1,23081,0.6375614606927794,partial_coverage,cap-20260823T092700-48effabd4369,15
6738,0.3487216644239727,13815,17849699,19322,complete,9637639.37830178,0.16085230001838594,0.6144859813084113,stream-1 · RX1,13815,0.7149880964703447,complete,cap-20260823T092700-48effabd4369,9
5145,0.4722783183403709,7270,10050591,10894,complete,16946566.592907205,0.15448427051499036,0.6568265682656826,stream-1 · RX0,7270,0.6673398200844501,complete,cap-20260823T092700-48effabd4369,6
14273,0.5136389808550453,18339,25626908,27788,complete,20106386.49472572,0.160291969401438,0.6124489719290853,stream-0 · RX0,18339,0.6599611343025766,partial_coverage,cap-20260823T092700-48effabd4369,14
14522,0.6256246768912631,14804,21391417,23212,complete,17287406.498495333,0.15496637135812152,0.6492926284437825,stream-0 · RX0,14804,0.6377735653972083,partial_coverage,cap-20260823T093300-d7b2a62549fe,15
1130,0.5152758777929777,1498,2018433,2193,complete,30450206.016405687,0.15215350640000389,0.6862265688671557,stream-1 · RX0,1498,0.6830825353397173,complete,cap-20260823T093300-d7b2a62549fe,3
8115,0.6060945552319068,8418,12383465,13389,complete,9795122.831308855,0.1721787111531279,0.6320170408323177,stream-0 · RX1,8418,0.6287250728209725,complete,cap-20260823T093300-d7b2a62549fe,10
13848,0.5445965077866919,16474,23497100,25428,partial,11240877.561183104,0.14358674982784084,0.6825208085612366,stream-1 · RX1,16474,0.6478684914267736,partial_coverage,cap-20260823T093300-d7b2a62549fe,13
6765,0.5374592833876222,7946,11630218,12587,complete,6080604.983902585,0.16449361283555305,0.6296296296296297,stream-1 · RX1,7946,0.6312862477158974,complete,cap-20260823T093900-39acaef247b6,7
1597,0.6925411968777103,1423,2127388,2306,complete,4387416.897650957,0.1638956302635719,0.6170858629661752,stream-0 · RX0,1423,0.6170858629661752,complete,cap-20260823T093900-39acaef247b6,2
116,0.9830508474576272,81,110175,118,complete,3855069.193153503,0.20662550172888,0.6864406779661016,stream-0 · RX1,81,0.6864406779661016,complete,cap-20260823T093900-39acaef247b6,1
