analyzed_segments,internal_status,path,qualified_fraction,qualified_segments,registry_status,session_id
252,complete,stream-0 · RX1,0.14682539682539683,37,partial_coverage,cap-20260823T093600-72ace7bf37ea
244,complete,stream-0 · RX0,0.13114754098360656,32,partial_coverage,cap-20260823T093600-72ace7bf37ea
193,insufficient_data,stream-1 · RX1,0.0,0,complete,cap-20260823T093600-72ace7bf37ea
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T093600-72ace7bf37ea
250,insufficient_data,stream-1 · RX1,0.0,0,partial_coverage,cap-20260823T100618-ebdd7c1ebdac
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T100618-ebdd7c1ebdac
88,complete,stream-0 · RX0,0.125,11,complete,cap-20260823T100618-ebdd7c1ebdac
32,complete,stream-0 · RX1,0.0625,2,complete,cap-20260823T100618-ebdd7c1ebdac
176,complete,stream-0 · RX0,0.03977272727272727,7,complete,cap-20260823T105100-d8b8323460c7
240,complete,stream-1 · RX1,0.029166666666666667,7,partial_coverage,cap-20260823T105100-d8b8323460c7
184,complete,stream-0 · RX1,0.125,23,complete,cap-20260823T105100-d8b8323460c7
79,complete,stream-1 · RX0,0.31645569620253167,25,complete,cap-20260823T105100-d8b8323460c7
240,complete,stream-1 · RX1,0.004166666666666667,1,partial_coverage,cap-20260823T115405-ae0cea9fadb2
106,complete,stream-1 · RX0,0.12264150943396226,13,complete,cap-20260823T115405-ae0cea9fadb2
242,complete,stream-0 · RX0,0.08264462809917356,20,partial_coverage,cap-20260823T115405-ae0cea9fadb2
240,complete,stream-0 · RX1,0.075,18,partial_coverage,cap-20260823T115405-ae0cea9fadb2
130,complete,stream-0 · RX1,0.09230769230769231,12,partial_coverage,cap-20260823T125400-975e98759977
162,complete,stream-1 · RX0,0.19135802469135801,31,complete,cap-20260823T125400-975e98759977
46,complete,stream-0 · RX0,0.1956521739130435,9,complete,cap-20260823T125400-975e98759977
219,complete,stream-1 · RX1,0.0136986301369863,3,partial_coverage,cap-20260823T125400-975e98759977
0,no_result,stream-0 · RX1,,0,no_result,cap-20260823T125700-7830b09846c7
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T125700-7830b09846c7
0,no_result,stream-1 · RX1,,0,no_result,cap-20260823T125700-7830b09846c7
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T125700-7830b09846c7
96,complete,stream-1 · RX0,0.08333333333333333,8,complete,cap-20260823T141200-d70ee72e89f1
256,complete,stream-1 · RX1,0.0234375,6,partial_coverage,cap-20260823T141200-d70ee72e89f1
211,complete,stream-0 · RX1,0.0995260663507109,21,partial_coverage,cap-20260823T141200-d70ee72e89f1
160,complete,stream-0 · RX0,0.15,24,complete,cap-20260823T141200-d70ee72e89f1
248,partial,stream-1 · RX1,0.016129032258064516,4,partial_coverage,cap-20260823T150300-92ac23cd745f
217,complete,stream-0 · RX1,0.041474654377880185,9,complete,cap-20260823T150300-92ac23cd745f
80,complete,stream-1 · RX0,0.0375,3,complete,cap-20260823T150300-92ac23cd745f
96,complete,stream-0 · RX0,0.020833333333333332,2,complete,cap-20260823T150300-92ac23cd745f
