session_id,track,path,duration_s,observation_count,radio_rate_hz_s,best_object_name,best_catalog_number,best_train_rms_hz,best_holdout_rms_hz,linear_holdout_rms_hz,holdout_advantage_hz,scalar_empirical_p,free_affine_best_catalog_number,free_affine_holdout_rms_hz,wide_epoch_best_catalog_number,wide_epoch_adjustment_s,wide_epoch_holdout_rms_hz,adjacent_tle_shape_rms_hz,failed_secure_checks,secure_association
cap-20260821T201522-841b2a20e151,T1,stream-1/RX1,26.375,1346,-6099.926030895826,STARLINK-11412,63062,6265.593768374692,16106.695328599715,1275.3245841672265,-14831.370744432488,0.14634146341463414,63062,2187.9811889413745,63062,2.0000000000000036,15938.859859546561,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T201522-841b2a20e151,T2,stream-0/RX1,26.025,1655,-6533.456408020606,STARLINK-11412,63062,5731.2504321272745,15119.115677966003,2000.146802601967,-13118.968875364037,0.14634146341463414,61851,1504.1026604743095,63062,2.0000000000000036,15022.303851568218,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T201522-841b2a20e151,T3,stream-1/RX1,17.125,263,-3903.4143794621614,STARLINK-11412,63062,683.0046150784474,6026.314041966408,3206.3710640166896,-2819.942977949718,0.9512195121951219,63062,6026.314041966408,63062,-1.5999999999999996,6000.6110322868135,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;scalar_wrong_time_null,False
cap-20260821T193701-87f96f47e73f,T1,stream-1/RX1,12.25,739,-5707.396831992927,STARLINK-11083,59424,1005.4768167680098,5872.008305536753,964.6284752218627,-4907.379830314891,0.2926829268292683,68052,1034.3285625035983,59424,-2.0,5301.916076218954,12.699568772333468,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193701-87f96f47e73f,T2,stream-0/RX1,7.174999999999997,85,-4126.647951166011,STARLINK-3999,52704,952.7359853839012,724.3014538913485,937.7069318208669,213.40547792951838,0.6341463414634146,59424,690.548733800646,52704,-2.0,648.7414658983216,0.0,holdout_rms;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193701-87f96f47e73f,T3,stream-0/RX1,6.950000000000003,260,-3816.7739034040706,STARLINK-35808,68052,449.7298528062221,1375.2944912442924,1241.7797545557287,-133.51473668856374,0.7560975609756098,65213,1039.191900240834,68052,-2.0,1357.4500864373344,9.622467657956133,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T1,stream-1/RX1,15.925000000000004,948,-6069.175042220836,STARLINK-35371,66484,5218.701269213953,20955.790473547284,1818.8581631741179,-19136.932310373166,0.926829268292683,59218,1079.4383339348929,66484,-2.0,20495.595039106116,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T2,stream-0/RX1,15.600000000000001,788,-4981.818402593219,STARLINK-35371,66484,4407.88865158736,7814.1408192146655,695.0367327640885,-7119.104086450577,0.8780487804878049,52855,1559.371306287501,66484,-2.0,7545.203544162214,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T193440-17c2e0ebef6a,T3,stream-1/RX1,12.774999999999999,634,-4196.101983750932,STARLINK-35371,66484,1190.8272727666608,2542.9822347205563,1454.6273370405954,-1088.354897679961,0.7317073170731707,52855,782.8514586082092,52705,-2.0,2339.994603497609,0.0,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T190912-ffd441556880,T1,stream-1/RX1,31.825000000000003,2312,-5485.2225279036375,STARLINK-11182,60399,923.9952938883973,3202.4442860788454,1314.196322756691,-1888.2479633221544,0.024390243902439025,66457,1437.4641036446544,60399,-0.2999999999999985,3202.4442860788454,141.71900765884246,holdout_rms;beats_linear_holdout;epoch_search_interior;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190912-ffd441556880,T2,stream-0/RX1,17.0,1202,-5569.8975480633,STARLINK-33944,64209,4503.554802929112,12608.53360145494,2968.9759971788244,-9639.557604276115,0.5121951219512195,62983,4509.1255624268815,60399,2.0000000000000036,10022.699121014664,258.86700898291315,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190912-ffd441556880,T3,stream-0/RX1,13.725000000000001,871,-6551.7377503536745,STARLINK-11182,60399,1682.8074468917055,7569.27784811821,1877.297125513297,-5691.980722604913,0.04878048780487805,51855,1469.4678467415827,60399,-2.0,7203.364407868459,22.783682120948882,holdout_rms;beats_linear_holdout;epoch_search_interior;identity_stable_across_nuisance_models,False
cap-20260821T190701-7a5d980ec1c6,T1,stream-1/RX1,14.75,1979,-5387.294315549912,STARLINK-11599,63670,2766.7263757555993,8695.848843292268,731.8451696179866,-7964.003673674281,0.5365853658536586,62909,1911.4506439340262,63670,-2.0,8180.417289260703,152.42211282292368,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190701-7a5d980ec1c6,T2,stream-0/RX1,14.725,1835,-5466.6302312173475,STARLINK-11599,63670,2766.2400882052143,9018.200722276382,796.2251000965675,-8221.975622179814,0.5365853658536586,62909,1515.8383779539208,63670,-2.0,8523.173317674957,149.817609223631,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models;adjacent_tle_shape_stable,False
cap-20260821T190701-7a5d980ec1c6,T3,stream-1/RX0,7.949999999999998,328,-4991.24613620692,STARLINK-11599,63670,653.4009223007582,3756.6030969942744,1605.792016857504,-2150.81108013677,0.5365853658536586,64209,1557.518068483786,63670,-2.0,3443.0612771472374,28.308274523091345,holdout_rms;beats_linear_holdout;runner_up_training_margin;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T183005-a987f97b643c,T1,stream-1/RX1,7.850000000000001,175,-5734.822961274797,STARLINK-33795,63457,2363.430437999445,4499.706937438627,703.278780926418,-3796.428156512209,0.4634146341463415,63457,674.4159654577352,63457,-1.7499999999999998,4472.615321264874,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T162727-0abff1c9aa8e,T1,stream-1/RX1,16.75,1606,-6773.531984308633,STARLINK-37915,69722,5478.237593591337,20063.214434692276,1549.1004479625792,-18514.113986729695,0.4878048780487805,61982,924.7943723069949,69722,2.0000000000000036,19919.646435197777,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162727-0abff1c9aa8e,T2,stream-1/RX0,13.600000000000001,310,-6925.673694061849,STARLINK-37915,69722,7116.334269487518,17929.90799340018,1291.7912324990773,-16638.116760901103,0.4634146341463415,66925,2138.9471105641837,69722,2.0000000000000036,17883.693246540464,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162727-0abff1c9aa8e,T3,stream-0/RX1,9.849999999999998,962,-5715.21628978436,STARLINK-37915,69722,3435.626485890087,7432.823158879002,2048.974033814754,-5383.849125064248,0.4634146341463415,69722,1824.737156711307,69722,-2.0,7276.164139165665,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T162517-85cfb560afe8,T1,stream-0/RX1,27.674999999999997,1916,-6074.004944536542,STARLINK-37236,68781,5018.141393992674,14193.820606333426,1680.7371490923454,-12513.08345724108,0.5121951219512195,57340,2675.976904265127,68781,2.0000000000000036,14348.989788900275,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162517-85cfb560afe8,T2,stream-1/RX1,18.35,1470,-6162.601826703933,STARLINK-37236,68781,4262.037864652998,14396.867727739409,2571.7450933364084,-11825.122634403,0.5121951219512195,53013,3853.2339603962014,68781,2.0000000000000036,14534.731009820098,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162517-85cfb560afe8,T3,stream-1/RX1,16.125,672,-4001.8638125173525,STARLINK-37236,68781,839.6777448967742,1032.0377206787473,301.82224637152194,-730.2154743072253,0.0975609756097561,62014,1670.7926655361841,68781,-2.0,1088.709902490078,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162303-580cc01dffb5,T1,stream-0/RX0,15.075000000000003,631,-5615.039336264692,STARLINK-11631,63195,5176.790269894867,8273.325673672909,2099.0618317656354,-6174.263841907274,0.7560975609756098,100169,3250.486508033438,63195,-0.04999999999999827,8273.325673672909,0.0,holdout_rms;beats_linear_holdout;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T162303-580cc01dffb5,T2,stream-0/RX1,14.700000000000003,1183,-6236.514017742209,STARLINK-38173,100151,1701.0498653251286,5267.018565710541,893.239764021933,-4373.778801688608,0.17073170731707318,100151,1008.175470147038,100151,-2.0,4833.963791554559,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T162303-580cc01dffb5,T3,stream-1/RX1,13.725000000000001,416,-5118.35997483211,STARLINK-38173,100151,748.3796341063222,1804.1995623758617,496.8884166712924,-1307.3111457045693,0.3170731707317073,63195,825.7805922103289,100151,-2.0,1091.768502282916,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T161404-d421b003eb3b,T1,stream-1/RX1,20.025,1674,-6382.840650184255,STARLINK-38247,100303,875.8545012715444,1313.4867933650207,1137.656025801919,-175.83076756310174,0.07317073170731707,100303,1124.993762000681,100303,1.6000000000000032,1548.442197504023,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null,False
cap-20260821T161404-d421b003eb3b,T2,stream-0/RX1,14.600000000000001,767,-6245.399240217209,STARLINK-38132,100154,947.0416160161245,764.9918830125728,302.49608563313865,-462.4957973794341,0.024390243902439025,100305,1962.1781198173835,100154,1.0500000000000025,997.5988321397533,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;identity_stable_across_nuisance_models,False
cap-20260821T161404-d421b003eb3b,T3,stream-0/RX1,12.824999999999996,675,-6757.08765417987,STARLINK-38247,100303,1803.5335806738701,2934.7659227355443,720.3921572024899,-2214.373765533054,0.0975609756097561,100154,2217.963011261455,100303,2.0000000000000036,2464.5699381753902,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T161151-dcbe9267c25e,T1,stream-0/RX1,17.775000000000002,989,-6606.454358475891,STARLINK-38264,100308,2387.8121121092177,4446.927949879284,848.0968040781646,-3598.8311458011194,0.17073170731707318,63115,2185.2812439521504,100308,1.650000000000003,4651.818167750301,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T161151-dcbe9267c25e,T2,stream-1/RX1,13.075,731,-6385.122464671849,STARLINK-38264,100308,1601.67416681041,2722.069804551063,1063.0912551489384,-1658.9785494021246,0.21951219512195122,67660,2041.5625478325724,100308,-0.7499999999999989,2677.0092419620496,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T161151-dcbe9267c25e,T3,stream-1/RX1,9.325,481,-6085.18204619516,STARLINK-38264,100308,269.21155543212836,4638.6502477244685,3909.2969598299474,-729.3532878945211,0.34146341463414637,63115,3241.8979260449287,100308,-2.0,4566.100159926593,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160941-a38f080a2122,T1,stream-0/RX1,17.050000000000004,781,-6505.684377412445,STARLINK-38261,100309,5423.310253359991,17041.045736844837,2277.9282994135824,-14763.117437431254,0.8780487804878049,61727,3314.3025908796617,100309,-2.0,16068.460979393143,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160941-a38f080a2122,T2,stream-0/RX0,16.65,1167,-6152.902021346444,STARLINK-38261,100309,3779.4121907371323,8669.889388838039,1768.6998451465297,-6901.189543691509,0.6097560975609756,59324,1837.2432911611606,100309,-2.0,7952.558460983818,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160941-a38f080a2122,T3,stream-1/RX0,13.049999999999997,193,-6160.569496705508,STARLINK-38261,100309,3168.944546847414,8028.312733201956,1458.5443472487075,-6569.768385953248,0.6097560975609756,100156,1410.3419228875314,100309,-2.0,7378.390736399768,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160027-658dc7f1422e,T1,stream-1/RX1,16.800000000000004,1336,-5385.420985127447,STARLINK-38162,100159,2264.0742522186206,7599.421169362811,1786.6658474694157,-5812.755321893395,0.6829268292682927,69341,670.180025578007,100159,2.0000000000000036,7241.694812296453,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160027-658dc7f1422e,T2,stream-0/RX1,8.674999999999999,166,-4922.451162589778,STARLINK-38162,100159,1204.6378605047494,3493.3025898075502,1528.84120981129,-1964.4613799962603,0.7317073170731707,48562,1328.9423402576633,100159,2.0000000000000036,3259.908620789917,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
cap-20260821T160027-658dc7f1422e,T3,stream-0/RX0,8.524999999999999,152,-5695.269946191247,STARLINK-38162,100159,2104.6570635826224,6058.611175304026,984.8475877041512,-5073.763587599875,0.5365853658536586,69341,508.45162136136867,100159,2.0000000000000036,5949.045944537652,0.0,holdout_rms;beats_linear_holdout;epoch_search_interior;scalar_wrong_time_null;identity_stable_across_nuisance_models,False
