capture_label,session_id,locklet_id,continuity_segment,target_frame_start_sample,target_reference_time_s,cutoff_frame_start_sample,cutoff_reference_time_s,requested_horizon_ms,actual_horizon_ms,recording_block_index,stratum,candidate_mode,method,cutoff_cfo_hz,cutoff_rate_hz_s,cutoff_acceleration_hz_s2,predicted_odd_cfo_hz,measured_odd_cfo_hz,prediction_error_hz,squared_error_hz2
D1,cap-20260825T142817-9949c81ca994,D1,0,124051941,49.6214452,123735274,49.4947784,125.0,126.6668,49,weak_or_ambiguous,stable_500ms,causal_hysteretic_quadratic_state,-190457.075499,-3628.30521262,161.872030668,-190915.362733,-190910.726586,-4.63614721358,21.4938609859
D1,cap-20260825T142817-9949c81ca994,D1,0,124051941,49.6214452,123735274,49.4947784,125.0,126.6668,49,weak_or_ambiguous,stable_500ms,fixed_20ms,-190454.332644,-2595.00270223,0.0,-190783.033333,-190910.726586,127.693253252,16305.5669262
D1,cap-20260825T142817-9949c81ca994,D1,0,124051941,49.6214452,123735274,49.4947784,125.0,126.6668,49,weak_or_ambiguous,stable_500ms,fixed_125ms,-190460.693083,-3671.56153357,0.0,-190925.758033,-190910.726586,-15.0314469834,225.944398416
D1,cap-20260825T142817-9949c81ca994,D1,0,124051941,49.6214452,123735274,49.4947784,125.0,126.6668,49,weak_or_ambiguous,stable_500ms,fixed_500ms,-190460.183437,-3667.33801441,0.0,-190924.713408,-190910.726586,-13.9868219193,195.631187403
D1,cap-20260825T142817-9949c81ca994,D1,0,124101941,49.6414452,123781941,49.5134452,125.0,128.0,49,weak_or_ambiguous,stable_500ms,causal_hysteretic_quadratic_state,-190523.178086,-3619.14793911,159.38947137,-190985.123303,-190983.2081,-1.91520337694,3.66800397502
D1,cap-20260825T142817-9949c81ca994,D1,0,124101941,49.6414452,123781941,49.5134452,125.0,128.0,49,weak_or_ambiguous,stable_500ms,fixed_20ms,-190510.770019,-2788.27345392,0.0,-190867.669021,-190983.2081,115.539079274,13349.2788395
D1,cap-20260825T142817-9949c81ca994,D1,0,124101941,49.6414452,123781941,49.5134452,125.0,128.0,49,weak_or_ambiguous,stable_500ms,fixed_125ms,-190524.031154,-3624.95111612,0.0,-190988.024897,-190983.2081,-4.81679657026,23.2015291993
D1,cap-20260825T142817-9949c81ca994,D1,0,124101941,49.6414452,123781941,49.5134452,125.0,128.0,49,weak_or_ambiguous,stable_500ms,fixed_500ms,-190526.321093,-3658.18340473,0.0,-190994.568569,-190983.2081,-11.3604688183,129.060251771
D1,cap-20260825T142817-9949c81ca994,D1,0,124151941,49.6614452,123811941,49.5254452,125.0,136.0,49,weak_or_ambiguous,stable_500ms,causal_hysteretic_quadratic_state,-190568.831219,-3631.21426658,125.714346422,-191061.513753,-191124.718947,63.2051940521,3994.89655517
D1,cap-20260825T142817-9949c81ca994,D1,0,124151941,49.6614452,123811941,49.5254452,125.0,136.0,49,weak_or_ambiguous,stable_500ms,fixed_20ms,-190580.013828,-4600.2681098,0.0,-191205.650291,-191124.718947,-80.9313441431,6549.88246481
D1,cap-20260825T142817-9949c81ca994,D1,0,124151941,49.6614452,123811941,49.5254452,125.0,136.0,49,weak_or_ambiguous,stable_500ms,fixed_125ms,-190571.885398,-3676.49843931,0.0,-191071.889186,-191124.718947,52.8297607639,2790.98362237
D1,cap-20260825T142817-9949c81ca994,D1,0,124151941,49.6614452,123811941,49.5254452,125.0,136.0,49,weak_or_ambiguous,stable_500ms,fixed_500ms,-190571.379368,-3662.29850171,0.0,-191069.451964,-191124.718947,55.2669828467,3054.43939298
D1,cap-20260825T142817-9949c81ca994,D1,0,124201941,49.6814452,123888607,49.5561116,125.0,125.3336,49,weak_or_ambiguous,stable_500ms,causal_hysteretic_quadratic_state,-190687.102114,-3690.48536382,-118.387995515,-191150.57378,-191157.439752,6.86597173696,47.1415678927
D1,cap-20260825T142817-9949c81ca994,D1,0,124201941,49.6814452,123888607,49.5561116,125.0,125.3336,49,weak_or_ambiguous,stable_500ms,fixed_20ms,-190654.716296,-88.7609765903,0.0,-190665.841028,-191157.439752,491.598723741,241669.305183
D1,cap-20260825T142817-9949c81ca994,D1,0,124201941,49.6814452,123888607,49.5561116,125.0,125.3336,49,weak_or_ambiguous,stable_500ms,fixed_125ms,-190687.039112,-3642.29467134,0.0,-191143.541016,-191157.439752,13.8987364512,193.174874939
D1,cap-20260825T142817-9949c81ca994,D1,0,124201941,49.6814452,123888607,49.5561116,125.0,125.3336,49,weak_or_ambiguous,stable_500ms,fixed_500ms,-190684.625182,-3661.07538172,0.0,-191143.48094,-191157.439752,13.9588121619,194.848436971
D1,cap-20260825T142817-9949c81ca994,D1,0,124251941,49.7014452,123891941,49.5574452,125.0,144.0,49,weak_or_ambiguous,stable_500ms,causal_hysteretic_quadratic_state,-190691.330629,-3682.24802883,-79.7144880946,-191222.400825,-191243.955474,21.5546491198,464.602898676
D1,cap-20260825T142817-9949c81ca994,D1,0,124251941,49.7014452,123891941,49.5574452,125.0,144.0,49,weak_or_ambiguous,stable_500ms,fixed_20ms,-190659.67022,-57.2627329604,0.0,-190667.916053,-191243.955474,576.039420871,331821.414397
D1,cap-20260825T142817-9949c81ca994,D1,0,124251941,49.7014452,123891941,49.5574452,125.0,144.0,49,weak_or_ambiguous,stable_500ms,fixed_125ms,-190693.662948,-3693.49497259,0.0,-191225.526224,-191243.955474,18.4292495113,339.637237549
D1,cap-20260825T142817-9949c81ca994,D1,0,124251941,49.7014452,123891941,49.5574452,125.0,144.0,49,weak_or_ambiguous,stable_500ms,fixed_500ms,-190689.688057,-3662.55517772,0.0,-191217.096003,-191243.955474,26.8594712241,721.43119444
