capture_label,session_id,locklet_id,continuity_segment,frame_start_sample,reference_time_s,stratum,candidate_mode,transition,long_one_step_residual_hz,short_minus_long_rate_hz_s,candidate_cfo_hz,candidate_rate_hz_s,candidate_acceleration_hz_s2,candidate_weighted_rms_hz,stable_weighted_rms_hz,stable_downweighted_fraction,fixed_20ms_cfo_hz,fixed_20ms_rate_hz_s,fixed_125ms_cfo_hz,fixed_125ms_rate_hz_s,fixed_500ms_cfo_hz,fixed_500ms_rate_hz_s,candidate_minus_fixed_20ms_rate_hz_s,candidate_minus_fixed_125ms_rate_hz_s,candidate_minus_fixed_500ms_rate_hz_s
D1,cap-20260825T142817-9949c81ca994,D1,0,123691941,49.4774452,weak_or_ambiguous,stable_500ms,none,,-198.034787383,-190392.039462,-3613.48226034,223.124067174,49.1046167824,49.1046167824,0.191304347826,-190405.168183,-4802.37713272,-190401.961399,-3814.84984065,-190396.169088,-3665.88410894,1188.89487238,201.367580311,52.4018485969
D1,cap-20260825T142817-9949c81ca994,D1,0,123701941,49.4814452,weak_or_ambiguous,stable_500ms,none,29.9729542093,-144.939679814,-190406.532472,-3612.84345515,222.400483702,48.9576499248,48.9576499248,0.189655172414,-190404.047536,-2205.13719661,-190414.119791,-3760.15882589,-190410.690693,-3665.41781387,-1407.70625854,147.315370747,52.5743587196
D1,cap-20260825T142817-9949c81ca994,D1,0,123708607,49.4841116,weak_or_ambiguous,stable_500ms,none,-2.37773674991,-172.859007121,-190419.244353,-3637.2738327,136.995853692,49.2039156054,49.2039156054,0.192307692308,-190434.866817,-3885.74910301,-190428.710353,-3810.50058135,-190421.809867,-3669.75794196,248.475270312,173.226748652,32.4841092562
D1,cap-20260825T142817-9949c81ca994,D1,0,123711941,49.4854452,weak_or_ambiguous,stable_500ms,none,-22.8105532576,-176.799541006,-190425.038188,-3644.76731535,110.808662349,49.117807312,49.117807312,0.187234042553,-190443.17664,-3984.36408016,-190434.742575,-3821.55404003,-190427.09911,-3671.03116657,339.596764802,176.78672468,26.2638512174
D1,cap-20260825T142817-9949c81ca994,D1,0,123715274,49.4867784,weak_or_ambiguous,stable_500ms,none,66.8646879002,-160.655756776,-190427.162017,-3622.42121476,186.338216362,49.191924084,49.191924084,0.190677966102,-190439.733196,-4937.57990641,-190435.770734,-3786.0704937,-190430.666215,-3666.76781913,1315.15869165,163.649278935,44.3466043647
D1,cap-20260825T142817-9949c81ca994,D1,0,123721941,49.4894452,weak_or_ambiguous,stable_500ms,none,-29.1392424137,-119.475753443,-190438.02075,-3631.60693859,153.559748645,49.1234598177,49.1234598177,0.189873417722,-190455.309977,-5025.66142927,-190445.112479,-3751.27618977,-190440.946885,-3668.37208461,1394.05449068,119.669251174,36.7651460172
D1,cap-20260825T142817-9949c81ca994,D1,0,123731941,49.4934452,weak_or_ambiguous,stable_500ms,none,-10.928817151,-66.8594802777,-190452.673193,-3632.02214839,150.083794228,48.9086237241,48.9086237241,0.188284518828,-190458.097064,-3510.92856427,-190457.42699,-3697.61330927,-190455.562469,-3668.18958913,-121.093584116,65.5911608794,36.1674407403
D1,cap-20260825T142817-9949c81ca994,D1,0,123735274,49.4947784,weak_or_ambiguous,stable_500ms,none,11.1005099337,-44.5809737529,-190457.075499,-3628.30521262,161.872030668,48.8014268165,48.8014268165,0.1875,-190454.332644,-2595.00270223,-190460.693083,-3671.56153357,-190460.183437,-3667.33801441,-1033.30251039,43.2563209433,39.0328017913
D1,cap-20260825T142817-9949c81ca994,D1,0,123741941,49.4974452,weak_or_ambiguous,stable_500ms,none,-14.5133476188,-27.7977941249,-190467.327046,-3632.45961761,146.57396559,48.7036878858,48.7036878858,0.186721991701,-190466.956215,-3004.9615549,-190470.316304,-3657.64997521,-190470.179866,-3668.01814172,-627.49806271,25.1903576003,35.5585241121
D1,cap-20260825T142817-9949c81ca994,D1,0,123745274,49.4987784,weak_or_ambiguous,stable_500ms,none,121.047368288,7.57659198093,-190469.442782,-3610.60852844,218.638664009,49.0020110363,49.0020110363,0.190082644628,-190440.347432,-652.510409403,-190470.362262,-3602.60190273,-190473.780362,-3663.97461371,-2958.09811904,-8.00662571188,53.366085271
D1,cap-20260825T142817-9949c81ca994,D1,0,123751941,49.5014452,weak_or_ambiguous,stable_500ms,none,-0.924419424438,32.7609669221,-190479.108291,-3610.32194037,217.656916826,48.892655351,48.892655351,0.189300411523,-190458.100391,-1788.50951661,-190478.876792,-3576.1033717,-190483.484156,-3663.76472179,-1821.81242376,-34.2185686662,53.4427814215
D1,cap-20260825T142817-9949c81ca994,D1,0,123755274,49.5027784,weak_or_ambiguous,stable_500ms,none,-40.1023963215,14.5149188643,-190485.53814,-3622.97356204,174.18899775,48.9666734681,48.9666734681,0.189300411523,-190474.123283,-1963.75807665,-190486.367563,-3605.64424352,-190488.977828,-3665.47103494,-1659.21548539,-17.32931852,42.4974728964
D1,cap-20260825T142817-9949c81ca994,D1,0,123758607,49.5041116,weak_or_ambiguous,stable_500ms,none,-9.0446066591,-23.5661035405,-190490.722852,-3625.54554175,164.896296402,48.8620576516,48.8620576516,0.188524590164,-190493.698674,-4112.58128244,-190493.138059,-3647.49357105,-190493.969799,-3665.79919112,487.035740684,21.9480292934,40.2536493654
D1,cap-20260825T142817-9949c81ca994,D1,0,123761941,49.5054452,weak_or_ambiguous,stable_500ms,none,-20.8616515861,-20.1827330745,-190496.361136,-3631.66248339,143.946896129,48.7743526025,48.7743526025,0.187755102041,-190505.41009,-4687.56993295,-190498.734794,-3649.21129506,-190499.18786,-3666.82417312,1055.90744955,17.5488116663,35.1616897278
D1,cap-20260825T142817-9949c81ca994,D1,0,123765274,49.5067784,weak_or_ambiguous,stable_500ms,none,-18.1590826167,-51.291632889,-190501.917061,-3637.36024759,123.537666257,48.7895482013,48.7895482013,0.187755102041,-190518.883297,-5757.6303825,-190505.625948,-3686.62074635,-190504.307126,-3667.3702448,2120.27013491,49.2604987579,30.0099972066
D1,cap-20260825T142817-9949c81ca994,D1,0,123771941,49.5094452,weak_or_ambiguous,stable_500ms,none,11.9109236751,-4.28863632764,-190509.20899,-3623.94127785,145.367293716,48.7751866287,48.7751866287,0.186991869919,-190499.532775,-2674.767307,-190510.18877,-3628.69508343,-190511.993353,-3659.14655641,-949.173970848,4.7538055824,35.2052785643
D1,cap-20260825T142817-9949c81ca994,D1,0,123778607,49.5121116,weak_or_ambiguous,stable_500ms,none,113.981227417,-11.8224896223,-190518.84422,-3623.25993476,146.477496145,49.3567239779,49.3567239779,0.193548387097,-190509.122673,-3075.00326719,-190520.130761,-3636.03890797,-190521.744799,-3659.12416398,-548.256667577,12.7789732022,35.8642292185
D1,cap-20260825T142817-9949c81ca994,D1,0,123781941,49.5134452,weak_or_ambiguous,stable_500ms,none,13.1723088759,-4.41755921094,-190523.178086,-3619.14793911,159.38947137,49.2553867443,49.2553867443,0.192771084337,-190510.770019,-2788.27345392,-190524.031154,-3624.95111612,-190526.321093,-3658.18340473,-830.874485191,5.80317701201,39.0354656192
D1,cap-20260825T142817-9949c81ca994,D1,0,123791941,49.5174452,weak_or_ambiguous,stable_500ms,none,-28.6647433054,-9.20091135344,-190538.00073,-3621.9940473,145.23928012,49.2970087691,49.2970087691,0.192771084337,-190534.344038,-3657.88239065,-190539.013244,-3632.4896195,-190540.829102,-3657.37507986,35.8883433507,10.4955721949,35.3810325572
