dwell_label,phase,region_role,trajectory_id,alias_index,frame_start_sample,frame_time_s,strong_interior,crosses_refill,source_seed_hz,primary_absolute_cfo_hz,primary_supported,primary_rejections,sensitivity_absolute_cfo_hz,split_even_absolute_cfo_hz,split_odd_absolute_cfo_hz,split_training_supported
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87875643,35.150926,1,0,433704.6875,433624.587819,1,,433624.587819,433602.442048,433648.919305,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87878976,35.1522592,1,0,433704.6875,433604.243308,1,,433604.243308,433598.58664,433614.010515,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87882310,35.1535928,1,0,433704.6875,433611.573794,1,,433611.573794,433596.762941,433628.058754,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87885643,35.154926,1,0,433704.6875,433611.614933,1,,433611.614933,433614.029504,433607.637366,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87888976,35.1562592,1,0,433704.6875,433595.372335,1,,433595.372335,433587.493469,433594.036405,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87892310,35.1575928,1,0,433704.6875,433587.987569,1,,433587.987569,433591.250249,433591.056276,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87895643,35.158926,1,0,433704.6875,433586.899523,1,,433586.899523,433601.912266,433572.357163,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87898976,35.1602592,1,0,433704.6875,433565.865288,1,,433565.865288,433550.934575,433585.817409,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87902310,35.1615928,1,0,433704.6875,433589.289765,1,,433589.289765,433583.206377,433600.763542,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87905643,35.162926,1,0,433704.6875,433582.7727,1,,433582.7727,433604.570746,433558.243865,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87908976,35.1642592,1,0,433704.6875,433546.932418,1,,433546.932418,433606.63454,433509.646893,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87912310,35.1655928,1,0,433704.6875,433563.105472,1,,433563.105472,433540.672848,433573.349742,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87915643,35.166926,1,0,433704.6875,433576.445151,1,,433576.445151,433579.746736,433570.068297,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87918976,35.1682592,1,0,433704.6875,433570.9584,1,,433570.9584,433580.327349,433561.885793,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87922310,35.1695928,1,0,433704.6875,433568.225331,1,,433568.225331,433580.371636,433552.936819,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87925643,35.170926,1,0,433704.6875,433559.525503,1,,433559.525503,433574.166933,433543.319148,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87928976,35.1722592,1,0,433704.6875,433559.696744,1,,433559.696744,433572.734604,433541.397395,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87932310,35.1735928,1,0,433704.6875,433538.145615,1,,433538.145615,433532.897548,433539.777209,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87935643,35.174926,1,0,433704.6875,433547.878278,1,,433547.878278,433568.909425,433529.319671,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87938976,35.1762592,1,0,433704.6875,433529.81013,1,,433529.81013,433533.292167,433526.213465,1
470384,explore,early_median_margin,sha256:f751bbe5a13af4ba0481e6d434fc5a373c5a95a64c55aa0df8b80a86963ca601,0,87942310,35.1775928,1,0,433704.6875,433514.470047,1,,433514.470047,433523.516586,433510.161652,1
