scenario_id,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm,opportunity_count,occupied_opportunity_count,training_supported_count,supported_occupied_count,supported_unoccupied_count,occupied_support_rate,unoccupied_false_support_rate,even_control_wins_occupied,odd_control_wins_occupied,even_cfo_rmse_hz,odd_cfo_rmse_hz
P001,cap-20260825T062228-886fe2dd9cde,913000,-6000.0,-800.0,-300.0,-32.0,0.35,0.0,0.0,-25.0,1500,525,3,1,2,0.0019047619047619048,0.0020512820512820513,254,248,96.60135164597887,224.891867004917
P002,cap-20260825T105640-facdadeffb3b,913001,6000.0,0.0,-300.0,-32.0,0.65,-750.0,0.0,-25.0,1500,975,0,0,0,0.0,0.0,421,443,,
P003,cap-20260825T111222-a2d4ce2afb9a,913002,3500.0,800.0,0.0,-32.0,1.0,750.0,300.0,0.0,1500,1500,1,1,0,0.0006666666666666666,0.0,696,690,1012.6280105480255,2074.072230466918
P004,cap-20260825T062228-886fe2dd9cde,913003,1500.0,-800.0,0.0,-32.0,0.35,750.0,300.0,0.0,1500,525,0,0,0,0.0,0.0,234,239,,
P005,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0,1500,975,0,0,0,0.0,0.0,419,459,,
P006,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0,1500,1500,0,0,0,0.0,0.0,705,727,,
P007,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0,1500,525,18,18,0,0.03428571428571429,0.0,134,137,85.32325119207034,1130.4481093347524
P008,cap-20260825T111222-a2d4ce2afb9a,913007,6000.0,800.0,300.0,-24.0,0.65,0.0,0.0,0.0,1500,975,38,38,0,0.038974358974358976,0.0,242,263,334.40507079741764,916.6817383564485
P009,cap-20260825T062228-886fe2dd9cde,913008,3500.0,-800.0,-300.0,-24.0,1.0,-750.0,0.0,25.0,1500,1500,59,59,0,0.03933333333333333,0.0,397,399,139.2776821532211,1050.7562793956515
P010,cap-20260825T105640-facdadeffb3b,913009,1500.0,0.0,-300.0,-24.0,0.35,-750.0,300.0,25.0,1500,525,23,23,0,0.04380952380952381,0.0,122,134,412.6926147414067,837.0972394367079
P011,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,1500,975,40,38,2,0.038974358974358976,0.0038095238095238095,229,232,114.11147129953324,708.4766190493434
P012,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,1500,1500,59,59,0,0.03933333333333333,0.0,380,387,346.3868506473446,937.4813539692645
P013,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,1500,525,525,524,1,0.9980952380952381,0.0010256410256410256,0,0,50.75308851619683,57.308929236595105
P014,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,1500,975,975,974,1,0.9989743589743589,0.0019047619047619048,0,0,53.135094635981865,55.76017172260552
P015,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1500,1500,1495,1495,0,0.9966666666666667,0.0,0,0,52.564160925502435,56.1674131338779
P016,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,1500,525,523,523,0,0.9961904761904762,0.0,0,0,54.0637846895218,57.02207910738132
P017,cap-20260825T062228-886fe2dd9cde,913016,-1500.0,-800.0,-300.0,-16.0,0.65,-750.0,-300.0,0.0,1500,975,971,970,1,0.9948717948717949,0.0019047619047619048,0,0,53.40161318620109,55.00592712614052
P018,cap-20260825T105640-facdadeffb3b,913017,-3500.0,0.0,-300.0,-16.0,1.0,750.0,-300.0,0.0,1500,1500,1493,1493,0,0.9953333333333333,0.0,0,0,56.390031149930195,56.521114447742875
