pair_id,label,method,horizon_ms,block_index,target_frame_index,target_frame_start_sample,target_reference_sample,target_time_s,target_odd_cfo_hz,cutoff_sample,cutoff_time_s,training_cutoff_frame_start_sample,training_stop_reference_sample,training_stop_time_s,last_training_age_ms,actual_forecast_s,selected_history_ms,cfo_hz_at_cutoff,rate_hz_s,prediction_hz,prediction_sigma_hz,odd_residual_hz
D1:124051941:312500samples,D1,fixed_125ms,125.0,49,465,124051941,124053613,49.6214452,-190910.726586,123741113,49.4964452,123735274,123736946,49.4947784,1.6668,0.1266668,125.0,-190460.69308252347,-3671.5615335667017,-190925.75803298346,32.37512067695727,15.03144698345568
D1:124051941:312500samples,D1,fixed_500ms,125.0,49,465,124051941,124053613,49.6214452,-190910.726586,123741113,49.4964452,123735274,123736946,49.4947784,1.6668,0.1266668,500.0,-190460.18343711508,-3667.3380144146818,-190924.71340791933,9.234984479531414,13.986821919330396
D1:124051941:312500samples,D1,adaptive_75_500ms,125.0,49,465,124051941,124053613,49.6214452,-190910.726586,123741113,49.4964452,123735274,123736946,49.4947784,1.6668,0.1266668,500.0,-190460.18343711508,-3667.3380144146818,-190924.71340791933,9.234984479531414,13.986821919330396
D1:124101941:312500samples,D1,fixed_125ms,125.0,49,480,124101941,124103613,49.6414452,-190983.2081,123791113,49.5164452,123788607,123790279,49.5161116,0.3336,0.1253336,125.0,-190532.3579368044,-3610.8728700611086,-190984.92163275147,33.01882445450254,1.7135327514843084
D1:124101941:312500samples,D1,fixed_500ms,125.0,49,480,124101941,124103613,49.6414452,-190983.2081,123791113,49.5164452,123788607,123790279,49.5161116,0.3336,0.1253336,500.0,-190535.48730414102,-3655.9240792707096,-190993.6974303227,9.005573120692722,10.489330322714522
D1:124101941:312500samples,D1,adaptive_75_500ms,125.0,49,480,124101941,124103613,49.6414452,-190983.2081,123791113,49.5164452,123788607,123790279,49.5161116,0.3336,0.1253336,500.0,-190535.48730414102,-3655.9240792707096,-190993.6974303227,9.005573120692722,10.489330322714522
D1:124151941:312500samples,D1,fixed_125ms,125.0,49,495,124151941,124153613,49.6614452,-191124.718947,123841113,49.5364452,123838607,123840279,49.5361116,0.3336,0.1253336,125.0,-190622.6909042634,-3864.382555481391,-191107.02788171908,35.7054986234137,-17.691065280901967
D1:124151941:312500samples,D1,fixed_500ms,125.0,49,495,124151941,124153613,49.6614452,-191124.718947,123841113,49.5364452,123838607,123840279,49.5361116,0.3336,0.1253336,500.0,-190611.8554857486,-3665.6321207661217,-191071.28235571983,9.02213261640275,-53.43659128015861
D1:124151941:312500samples,D1,adaptive_75_500ms,125.0,49,495,124151941,124153613,49.6614452,-191124.718947,123841113,49.5364452,123838607,123840279,49.5361116,0.3336,0.1253336,500.0,-190611.8554857486,-3665.6321207661217,-191071.28235571983,9.02213261640275,-53.43659128015861
D1:124201941:312500samples,D1,fixed_125ms,125.0,49,510,124201941,124203613,49.6814452,-191157.439752,123891113,49.5564452,123888607,123890279,49.5561116,0.3336,0.1253336,125.0,-190687.03911212948,-3642.294671336088,-191143.54101554886,36.00946630224005,-13.898736451141303
D1:124201941:312500samples,D1,fixed_500ms,125.0,49,510,124201941,124203613,49.6814452,-191157.439752,123891113,49.5564452,123888607,123890279,49.5561116,0.3336,0.1253336,500.0,-190684.62518237552,-3661.075381722003,-191143.4809398381,9.068492264442234,-13.958812161901733
D1:124201941:312500samples,D1,adaptive_75_500ms,125.0,49,510,124201941,124203613,49.6814452,-191157.439752,123891113,49.5564452,123888607,123890279,49.5561116,0.3336,0.1253336,500.0,-190684.62518237552,-3661.075381722003,-191143.4809398381,9.068492264442234,-13.958812161901733
D1:124251941:312500samples,D1,fixed_125ms,125.0,49,525,124251941,124253613,49.7014452,-191243.955474,123941113,49.5764452,123938607,123940279,49.5761116,0.3336,0.1253336,125.0,-190767.8193876265,-3783.7886591390925,-191242.0552419156,36.68376405499604,-1.9002320843865164
D1:124251941:312500samples,D1,fixed_500ms,125.0,49,525,124251941,124253613,49.7014452,-191243.955474,123941113,49.5764452,123938607,123940279,49.5761116,0.3336,0.1253336,500.0,-190758.6733634512,-3662.7197190923785,-191217.73521163606,9.239384957419837,-26.220262363931397
D1:124251941:312500samples,D1,adaptive_75_500ms,125.0,49,525,124251941,124253613,49.7014452,-191243.955474,123941113,49.5764452,123938607,123940279,49.5761116,0.3336,0.1253336,500.0,-190758.6733634512,-3662.7197190923785,-191217.73521163606,9.239384957419837,-26.220262363931397
D1:124301941:312500samples,D1,fixed_125ms,125.0,49,540,124301941,124303613,49.7214452,-191282.886765,123991113,49.5964452,123988607,123990279,49.5961116,0.3336,0.1253336,125.0,-190832.98034302588,-3651.5789970148667,-191290.64588440614,32.76215971526634,7.75911940613878
D1:124301941:312500samples,D1,fixed_500ms,125.0,49,540,124301941,124303613,49.7214452,-191282.886765,123991113,49.5964452,123988607,123990279,49.5961116,0.3336,0.1253336,500.0,-190829.89976022346,-3652.9462097501646,-191287.7366592978,9.052473351067375,4.849894297803985
D1:124301941:312500samples,D1,adaptive_75_500ms,125.0,49,540,124301941,124303613,49.7214452,-191282.886765,123991113,49.5964452,123988607,123990279,49.5961116,0.3336,0.1253336,500.0,-190829.89976022346,-3652.9462097501646,-191287.7366592978,9.052473351067375,4.849894297803985
D1:124351941:312500samples,D1,fixed_125ms,125.0,49,555,124351941,124353613,49.7414452,-191404.068065,124041113,49.6164452,124038607,124040279,49.6161116,0.3336,0.1253336,125.0,-190922.7375977423,-3853.5344216396356,-191405.7149395303,32.482658643203706,1.646874530299101
D1:124351941:312500samples,D1,fixed_500ms,125.0,49,555,124351941,124353613,49.7414452,-191404.068065,124041113,49.6164452,124038607,124040279,49.6161116,0.3336,0.1253336,500.0,-190911.1299857334,-3685.630797171911,-191373.0633618138,9.045270032036406,-31.004703186190454
D1:124351941:312500samples,D1,adaptive_75_500ms,125.0,49,555,124351941,124353613,49.7414452,-191404.068065,124041113,49.6164452,124038607,124040279,49.6161116,0.3336,0.1253336,500.0,-190911.1299857334,-3685.630797171911,-191373.0633618138,9.045270032036406,-31.004703186190454
D1:124401941:312500samples,D1,fixed_125ms,125.0,49,570,124401941,124403613,49.7614452,-191457.208176,124091113,49.6364452,124088607,124090279,49.6361116,0.3336,0.1253336,125.0,-190987.3526685716,-3712.633660058925,-191452.67041066795,32.64918404256885,-4.537765332031995
D1:124401941:312500samples,D1,fixed_500ms,125.0,49,570,124401941,124403613,49.7614452,-191457.208176,124091113,49.6364452,124088607,124090279,49.6361116,0.3336,0.1253336,500.0,-190983.83942736743,-3684.4144714794115,-191445.62035697006,8.89676378280766,-11.587819029926322
D1:124401941:312500samples,D1,adaptive_75_500ms,125.0,49,570,124401941,124403613,49.7614452,-191457.208176,124091113,49.6364452,124088607,124090279,49.6361116,0.3336,0.1253336,500.0,-190983.83942736743,-3684.4144714794115,-191445.62035697006,8.89676378280766,-11.587819029926322
D1:124451941:312500samples,D1,fixed_125ms,125.0,49,585,124451941,124453613,49.7814452,-191520.882996,124141113,49.6564452,124138607,124140279,49.6561116,0.3336,0.1253336,125.0,-191054.20810446414,-3583.9670485465917,-191503.39959693985,31.403797426497984,-17.48339906014735
D1:124451941:312500samples,D1,fixed_500ms,125.0,49,585,124451941,124453613,49.7814452,-191520.882996,124141113,49.6564452,124138607,124140279,49.6561116,0.3336,0.1253336,500.0,-191056.62934483084,-3680.326628759561,-191517.89793038915,8.706998881236965,-2.9850656108465046
D1:124451941:312500samples,D1,adaptive_75_500ms,125.0,49,585,124451941,124453613,49.7814452,-191520.882996,124141113,49.6564452,124138607,124140279,49.6561116,0.3336,0.1253336,500.0,-191056.62934483084,-3680.326628759561,-191517.89793038915,8.706998881236965,-2.9850656108465046
