scenario_id,row_id,split,alignment,background_session_id,snr_db,frame_occupancy,sample_clock_offset_ppm,opportunity_count,occupied_count,training_supported_count,supported_occupied_count,supported_unoccupied_count,occupied_support_rate,unoccupied_false_support_rate,even_cfo_rmse_hz,odd_cfo_rmse_hz,rejection_reason_counts
F5-1-C01,C01,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-20.0,0.45,-50.0,1500,675,324,323,1,0.4785185185185185,0.0012121212121212121,91.7579295273258,294.9932389720537,"{""even_coherence_margin_below_minimum"": 456, ""even_exact_coherence_below_minimum"": 1175, ""even_search_boundary"": 106, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C01,C01,calibration,nominal_fixed_lattice,cap-20260825T062228-886fe2dd9cde,-20.0,0.45,-50.0,1500,675,5,4,1,0.005925925925925926,0.0012121212121212121,91.80500109781775,854.7812995884218,"{""even_coherence_margin_below_minimum"": 718, ""even_exact_coherence_below_minimum"": 1493, ""even_search_boundary"": 141, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C02,C02,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-12.0,0.7,0.0,1500,1050,1049,1049,0,0.9990476190476191,0.0,31.373739969209232,33.090447161373405,"{""even_coherence_margin_below_minimum"": 217, ""even_exact_coherence_below_minimum"": 450, ""even_search_boundary"": 47, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C03,C03,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-6.0,1.0,50.0,1500,1500,1498,1498,0,0.9986666666666667,0.0,16.114743715774956,15.57176107317976,"{""guarded_frame_outside_frozen_span"": 2}"
F5-1-C03,C03,calibration,nominal_fixed_lattice,cap-20260825T062228-886fe2dd9cde,-6.0,1.0,50.0,1500,1500,50,50,0,0.03333333333333333,0.0,179.8891269579952,266.3776978239121,"{""even_coherence_margin_below_minimum"": 777, ""even_exact_coherence_below_minimum"": 1449, ""even_search_boundary"": 131, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C04,C04,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-6.0,0.7,-50.0,1500,1050,1050,1050,0,1.0,0.0,15.67740670253901,16.164166516885878,"{""even_coherence_margin_below_minimum"": 219, ""even_exact_coherence_below_minimum"": 449, ""even_search_boundary"": 53, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C04,C04,calibration,nominal_fixed_lattice,cap-20260825T062228-886fe2dd9cde,-6.0,0.7,-50.0,1500,1050,35,35,0,0.03333333333333333,0.0,60.475077851521114,485.0011882356712,"{""even_coherence_margin_below_minimum"": 711, ""even_exact_coherence_below_minimum"": 1464, ""even_search_boundary"": 139, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C05,C05,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-12.0,1.0,50.0,1500,1500,1498,1498,0,0.9986666666666667,0.0,30.537107987799825,33.765452530687206,"{""guarded_frame_outside_frozen_span"": 2}"
F5-1-C05,C05,calibration,nominal_fixed_lattice,cap-20260825T062228-886fe2dd9cde,-12.0,1.0,50.0,1500,1500,35,35,0,0.023333333333333334,0.0,53.85759923135654,59.355629619067784,"{""even_coherence_margin_below_minimum"": 767, ""even_exact_coherence_below_minimum"": 1464, ""even_search_boundary"": 139, ""guarded_frame_outside_frozen_span"": 1}"
F5-1-C06,C06,calibration,oracle_true_resampled_lattice,cap-20260825T062228-886fe2dd9cde,-20.0,0.45,0.0,1500,675,274,274,0,0.4059259259259259,0.0,85.49893604020886,225.0842461357752,"{""even_coherence_margin_below_minimum"": 448, ""even_exact_coherence_below_minimum"": 1224, ""even_search_boundary"": 81, ""guarded_frame_outside_frozen_span"": 1}"
