scenario_id,row_id,split,background_session_id,span_sha256,seed,snr_db,frame_occupancy,sample_clock_offset_ppm,clock_scale,waveform_resampled,resampled_template_sample_count,nominal_last_frame_start_sample,resampled_last_frame_start_sample,accumulated_lattice_shift_samples,occupied_frame_count,complete_occupied_frame_count,amplitude_scale
F5-1-C01,C01,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914000,-20.0,0.45,-50.0,0.99995,True,3332,4996667,4996417,-250,675,675,1.9952285708387258e-05
F5-1-C02,C02,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914001,-12.0,0.7,0.0,1.0,True,3333,4996667,4996667,0,1050,1050,4.734049919953765e-05
F5-1-C03,C03,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914002,-6.0,1.0,50.0,1.00005,True,3333,4996667,4996917,250,1500,1499,0.00010001055145724712
F5-1-C04,C04,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914003,-6.0,0.7,-50.0,0.99995,True,3332,4996667,4996417,-250,1050,1050,9.999830878727571e-05
F5-1-C05,C05,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914004,-12.0,1.0,50.0,1.00005,True,3333,4996667,4996917,250,1500,1499,5.012401161839565e-05
F5-1-C06,C06,calibration,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914005,-20.0,0.45,0.0,1.0,True,3333,4996667,4996667,0,675,675,1.8846592188918036e-05
F5-1-E01,E01,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914006,-12.0,1.0,50.0,1.00005,True,3333,4996667,4996917,250,1500,1499,5.012401161839565e-05
F5-1-E02,E02,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914007,-6.0,0.7,-50.0,0.99995,True,3332,4996667,4996417,-250,1050,1050,9.999830878727571e-05
F5-1-E03,E03,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914008,-20.0,0.45,0.0,1.0,True,3333,4996667,4996667,0,675,675,1.8846592188918036e-05
F5-1-E04,E04,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914009,-6.0,1.0,0.0,1.0,True,3333,4996667,4996667,0,1500,1500,9.445671402465188e-05
F5-1-E05,E05,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914010,-12.0,0.7,-50.0,0.99995,True,3332,4996667,4996417,-250,1050,1050,5.0117875748500466e-05
F5-1-E06,E06,evaluation,cap-20260825T062228-886fe2dd9cde,sha256:58c782fd304ba1522c303c89297985c393533ba74070774fc6cc8bc9d8ef76ed,914011,-20.0,0.45,50.0,1.00005,True,3333,4996667,4996917,250,675,674,1.9954728442190115e-05
F5-2-C01,C01,calibration,cap-20260825T105640-facdadeffb3b,sha256:b42e31056c0056d2a561e8fef089bfe8083ead688a548cdec0e8fe131d5c2dd1,914012,-20.0,0.45,-50.0,0.99995,True,3332,4996667,4996417,-250,675,675,0.0016763750154695054
F5-2-C02,C02,calibration,cap-20260825T105640-facdadeffb3b,sha256:b42e31056c0056d2a561e8fef089bfe8083ead688a548cdec0e8fe131d5c2dd1,914013,-12.0,0.7,0.0,1.0,True,3333,4996667,4996667,0,1050,1050,0.00397751070919151
F5-2-C03,C03,calibration,cap-20260825T105640-facdadeffb3b,sha256:b42e31056c0056d2a561e8fef089bfe8083ead688a548cdec0e8fe131d5c2dd1,914014,-6.0,1.0,50.0,1.00005,True,3333,4996667,4996917,250,1500,1499,0.008402806184545556
F5-2-C04,C04,calibration,cap-20260825T105640-facdadeffb3b,sha256:b42e31056c0056d2a561e8fef089bfe8083ead688a548cdec0e8fe131d5c2dd1,914015,-6.0,0.7,-50.0,0.99995,True,3332,4996667,4996417,-250,1050,1050,0.008401777565250372
