capture_id,method,lane,count,units,slope,second_derivative,alternate_rms,best_norad_id,early_rms,late_rms,near_count,drift_near_count
cap-20260910T144242-5d3167466531,GLRT,native25,224,Hz,-3729.9600232219136,-39.77301264395283,4.7860248276480535,58240,5.525283175320504,28.657381313687132,1,44
cap-20260910T144242-5d3167466531,GLRT,recorded2p5,223,Hz,-3723.98750302161,-159.89010691100333,38.4168792970897,58240,43.84549016233573,61.913845317663075,2,13
cap-20260910T144242-5d3167466531,GLRT,derived2p5,207,Hz,-3730.1498319002353,-39.65186593934832,4.948724209221296,58240,5.504438100724525,28.95760939809425,1,55
cap-20260910T144242-5d3167466531,PSS,native25,1687,ns,3994.870390237978,-295.6479621623187,195.31905578629772,64004,260.8655052533606,213.17581404142777,220,225
cap-20260910T144242-5d3167466531,PSS,derived2p5,1687,ns,4020.1265439510353,14.339542460323461,830.2444631409085,61259,862.4227547556497,850.3124098719286,225,225
cap-20260910T144242-5d3167466531,PSS,recorded2p5,1687,ns,2605.674623290366,-524.379825366097,696.4837871597456,64004,719.5815657853142,741.9023503263999,225,225
cap-20260910T144242-5d3167466531,PSS-gated,native25,1529,ns,3995.7118925973705,-313.65798373703035,3.1791339273032815,64004,20.95860717069319,199.94793651435953,5,225
cap-20260909T180511-4d26661f6312,GLRT,native25,224,Hz,-3837.989045977383,37.60914662459359,9.212714329912961,68531,10.159115880402286,18.82990659074172,1,6
cap-20260909T180511-4d26661f6312,GLRT,recorded2p5,223,Hz,-3771.2212265491453,-66.82339863002582,42.76608085189574,68531,52.71374254001648,105.95372728199239,1,194
cap-20260909T180511-4d26661f6312,GLRT,derived2p5,207,Hz,-3837.78421624597,40.23807589547538,8.94343223386325,68531,10.313082971675565,19.25100436569258,1,6
cap-20260909T180511-4d26661f6312,PSS,native25,1687,ns,-3992.9222847863525,-345.71314496056914,132.04172306370975,55774,35.98037139424505,304.47751004377164,188,216
cap-20260909T180511-4d26661f6312,PSS,derived2p5,1687,ns,-3940.1417634521126,-160.79412340408558,890.0740378332912,55774,867.7773006594891,922.706560280394,216,216
cap-20260909T180511-4d26661f6312,PSS,recorded2p5,1687,ns,-4788.35760384663,141.9613169975639,884.7967287479556,55774,959.6831188020097,866.8544089120898,216,216
cap-20260909T180511-4d26661f6312,PSS-gated,native25,1578,ns,-3994.0873728056504,-342.6615649525987,4.637356121583798,55774,23.851354358367125,210.01246594701502,10,216
cap-20260907T122009-79d2b4e4d711,GLRT,native25,224,Hz,-3656.2626269410007,105.97473371205886,37.7069351739562,65089,39.554222769018956,47.187825921518005,1,156
cap-20260907T122009-79d2b4e4d711,GLRT,recorded2p5,223,Hz,-3669.545107971044,35.59814826755033,3.887528250614589,65089,3.789274835701825,4.325632802525292,1,23
cap-20260907T122009-79d2b4e4d711,GLRT,derived2p5,207,Hz,-3653.4014808939673,109.00636842228882,37.611131832024235,65089,39.70495674573993,49.32997740616355,1,156
cap-20260907T122009-79d2b4e4d711,PSS,native25,1687,ns,-5300.196937857276,-329.92790278186317,36.610544024959125,52266,40.78653811663205,222.49036714991882,63,193
cap-20260907T122009-79d2b4e4d711,PSS,derived2p5,1687,ns,-5536.680969109964,-821.080027118033,1075.133002966675,52266,1131.400529423784,1167.809763101067,193,193
cap-20260907T122009-79d2b4e4d711,PSS,recorded2p5,1687,ns,-3801.728886125828,-555.9599979646149,954.6613686993153,52266,968.4106635858875,962.6562799403629,193,193
cap-20260907T122009-79d2b4e4d711,PSS-gated,native25,1616,ns,-5299.476367953526,-329.6041356202368,3.175171503108947,52266,20.458559702593245,209.91989122529222,8,193
cap-20260910T142004-f161b21c74ba,GLRT,native25,224,Hz,-3802.8641945275854,37.50110423045277,43.3467406752542,66507,48.625194451961505,77.32807203475839,2,163
cap-20260910T142004-f161b21c74ba,GLRT,recorded2p5,223,Hz,-3854.0485486680873,-35.42482370726701,5.918237696817696,66507,8.700065812798236,9.49720716704235,1,16
