session_id,adaptive_pngs,tracking_pngs,refinement_pngs,total_pngs
scan-hop-e31b77794a04c236,0,0,0,0
scan-hop-783c79c5b20d42b3,0,0,2,2
scan-hop-dcde2d0e850011de,0,0,0,0
scan-hop-33a509c257e5a914,0,0,0,0
scan-hop-bcd8d20ced9c3968,0,0,0,0
scan-hop-24e4b051b0fbc5ca,3,2,2,7
scan-hop-c2313aebc38416ef,3,2,2,7
scan-hop-499abcb9ca352397,3,2,2,7
scan-hop-031a0825dc751a64,3,2,2,7
scan-hop-99bee37023f62a10,3,2,2,7
scan-hop-2b542a19425a01b3,3,2,2,7
scan-hop-543e944f549f5386,3,2,2,7
scan-hop-e336bdc3f097d035,3,2,2,7
scan-hop-d863b5568dd4cb74,3,2,2,7
scan-hop-bdb97ee3a5264d7d,3,2,2,7
scan-hop-dc5eb69c6fabf708,3,2,2,7
scan-hop-b92871e1644b09d0,3,2,2,7
scan-hop-157c185070779e8c,3,2,2,7
scan-hop-002263e74ae412da,3,2,2,7
scan-hop-ed11f2f4c5f9c6d5,3,2,2,7
scan-hop-51307ad2476e5cc2,3,2,2,7
scan-hop-77d48b1a4eb9be93,3,2,2,7
scan-hop-2a9d97c91ad3a83e,0,0,2,2
scan-hop-dc538fa7df739a79,3,2,2,7
scan-hop-db129c9469a5a8b2,3,2,0,5
scan-hop-423aa9b751e8a3f5,3,2,2,7
scan-hop-aab019dd63812034,3,2,2,7
scan-hop-36d2dd2ffc2e973d,0,0,2,2
scan-hop-d0217fb020ce235b,3,2,2,7
scan-hop-d185309146aa8ab6,3,2,2,7
scan-hop-cf54d8096b706750,3,2,2,7
scan-hop-339720f8f00ad239,3,2,2,7
scan-hop-6692a1700f427025,3,2,2,7
scan-hop-5cfe222fca9b6f0e,3,2,0,5
scan-hop-dd2937728dab2d65,3,2,2,7
scan-hop-78bfff64757c1fbd,3,2,2,7
scan-hop-7560d96129525ada,3,2,2,7
scan-hop-4d85ec3c4f985f42,3,2,2,7
scan-hop-8a7c8202a5bf67c8,3,2,2,7
scan-hop-c997353435840769,3,2,2,7
scan-hop-82e3eef31eb77a1f,3,2,2,7
scan-hop-966bb8eec823f15c,3,2,2,7
scan-hop-fcd4703daa52a827,3,2,2,7
scan-hop-c385aedb1181e285,3,2,2,7
scan-hop-9e4724f933719f16,3,2,2,7
scan-hop-2e5291e998d9539d,3,2,2,7
scan-hop-ccd4ff7d73b8e12e,3,2,2,7
