session_id,visit_index,band,windows,linear_fit_rms_ns,alternating_validation_rms_ns
scan-hop-e31b77794a04c236,1691,native10,90,727.863717005875,697.4764543240246
scan-hop-e31b77794a04c236,2222,native10,90,580.6727117778336,635.2290236811076
scan-hop-e31b77794a04c236,2222,derived2p5,90,977.6639633688808,974.5950918581924
scan-hop-783c79c5b20d42b3,464,native10,90,978.9062456795135,1037.2063952072663
scan-hop-783c79c5b20d42b3,515,native10,90,1011.9720143607279,1048.3395472579855
scan-hop-783c79c5b20d42b3,1355,native10,90,897.1161888688442,856.8330742507588
scan-hop-783c79c5b20d42b3,1619,native10,90,916.4506035669965,994.7853487711843
scan-hop-783c79c5b20d42b3,1754,native10,90,511.1493868697302,614.8252357136254
scan-hop-783c79c5b20d42b3,1754,derived2p5,90,974.3084049184287,997.8547549942144
scan-hop-dcde2d0e850011de,439,native10,90,1083.8564497866007,1118.0294826258412
scan-hop-dcde2d0e850011de,1335,native10,90,938.7524210902858,963.4789299925975
scan-hop-dcde2d0e850011de,1942,native10,90,947.2737227746351,924.852095818161
scan-hop-dcde2d0e850011de,2215,native10,90,975.34276970106,936.9012893548258
scan-hop-dcde2d0e850011de,2215,derived2p5,90,1111.895102418192,1175.9972300324357
scan-hop-33a509c257e5a914,839,native10,90,1036.8735439782445,946.8439517771571
scan-hop-33a509c257e5a914,1200,native10,90,922.9772543323745,926.6062025019281
scan-hop-33a509c257e5a914,2195,native10,90,498.23781105345836,511.86399174177393
scan-hop-33a509c257e5a914,2195,derived2p5,90,968.2939273401915,969.544550083733
scan-hop-bcd8d20ced9c3968,345,native10,90,796.8169384399615,771.6675566189832
scan-hop-bcd8d20ced9c3968,1549,native10,90,1018.8406245216516,1027.2334946067685
scan-hop-24e4b051b0fbc5ca,1371,native10,90,746.1005263914121,689.0552710277536
scan-hop-24e4b051b0fbc5ca,1371,derived2p5,90,1030.994681997805,1135.6530028184134
scan-hop-24e4b051b0fbc5ca,1578,native10,90,1095.2996558294508,1088.8337489178352
scan-hop-24e4b051b0fbc5ca,1582,native10,90,1090.2025161507945,1120.1490896828436
scan-hop-24e4b051b0fbc5ca,1582,derived2p5,89,1015.2110565116888,1083.8889516484574
scan-hop-24e4b051b0fbc5ca,1968,native10,90,925.0164528888383,890.1142399242237
scan-hop-c2313aebc38416ef,635,native10,90,827.0406758925093,882.2812917039436
scan-hop-c2313aebc38416ef,635,derived2p5,90,943.2428149179068,922.1243164327057
scan-hop-c2313aebc38416ef,856,native10,90,908.8413292771062,851.0992958916047
scan-hop-c2313aebc38416ef,856,derived2p5,90,1227.5384481920173,1312.6132095921948
scan-hop-c2313aebc38416ef,913,native10,90,1083.5624100471387,1152.38023236261
scan-hop-c2313aebc38416ef,1151,native10,90,970.9667833596449,920.092285882871
scan-hop-c2313aebc38416ef,1151,derived2p5,90,1096.4649360019832,1191.102295726023
scan-hop-c2313aebc38416ef,1705,native10,90,924.6396823875674,956.7423645644047
scan-hop-c2313aebc38416ef,1705,derived2p5,90,1138.364552039998,1123.475100316562
scan-hop-499abcb9ca352397,14,native10,90,896.6463140985111,902.6427835746647
scan-hop-499abcb9ca352397,14,derived2p5,90,1134.9735643915822,1243.9911254936358
scan-hop-499abcb9ca352397,1140,native10,90,917.2040798763699,1003.5278255349994
scan-hop-499abcb9ca352397,1713,native10,90,969.1505727616159,1073.406826884149
scan-hop-499abcb9ca352397,1713,derived2p5,90,1020.7650893810644,1015.803257150548
scan-hop-499abcb9ca352397,2170,native10,90,1218.9392919281481,1277.136688107436
scan-hop-031a0825dc751a64,49,native10,90,821.5587900563266,987.1840078767775
scan-hop-031a0825dc751a64,49,derived2p5,90,1183.3034552394724,1254.6227309571966
scan-hop-031a0825dc751a64,594,native10,90,1124.4935230893986,1228.7602041872378
scan-hop-031a0825dc751a64,795,native10,90,1230.378120608775,1290.835609736544
scan-hop-031a0825dc751a64,970,native10,90,925.3259461571347,869.8695816863178
scan-hop-031a0825dc751a64,970,derived2p5,90,1029.900397326991,993.6723262179845
scan-hop-031a0825dc751a64,1532,native10,90,1138.601576046481,1185.0854693197957
scan-hop-031a0825dc751a64,1888,native10,90,994.2043834985186,957.5911881854079
scan-hop-99bee37023f62a10,345,native10,90,964.2575225795287,1061.3859726563855
scan-hop-99bee37023f62a10,735,native10,90,905.2517248155784,766.2604244773245
scan-hop-99bee37023f62a10,1009,native10,90,909.5588279255256,911.712627075296
scan-hop-99bee37023f62a10,1274,native10,90,1106.4942035463994,1209.340983451608
scan-hop-99bee37023f62a10,2262,native10,90,895.3321806121147,929.059821371819
scan-hop-2b542a19425a01b3,124,native10,90,722.3961541416068,773.1295924088522
scan-hop-2b542a19425a01b3,124,derived2p5,90,1007.9625356130489,1112.2263091760383
scan-hop-2b542a19425a01b3,154,native10,90,950.8913656521158,995.309916748473
scan-hop-2b542a19425a01b3,2037,native10,90,812.4754958557652,680.3023829182974
scan-hop-2b542a19425a01b3,2121,native10,90,919.301417091206,1041.6447830801671
scan-hop-2b542a19425a01b3,2121,derived2p5,90,1035.9291570253363,1054.41575625505
scan-hop-543e944f549f5386,600,native10,90,933.0910753850252,935.3800092602314
scan-hop-543e944f549f5386,1181,native10,90,665.1549046098394,605.9048483449844
scan-hop-543e944f549f5386,1181,derived2p5,90,1004.3505380909595,946.9228282569737
scan-hop-543e944f549f5386,1836,native10,90,1008.2931691760292,1099.1994799989104
scan-hop-e336bdc3f097d035,1397,native10,90,916.9002752644735,1056.346676017454
scan-hop-e336bdc3f097d035,1397,derived2p5,90,1164.7492737816933,1196.4080658839355
scan-hop-e336bdc3f097d035,2004,native10,90,1125.5821152303397,1153.9528856257546
scan-hop-d863b5568dd4cb74,376,native10,90,906.5245402468586,834.722328867616
scan-hop-d863b5568dd4cb74,880,native10,90,1131.8297964737906,1028.985524244631
scan-hop-d863b5568dd4cb74,971,native10,90,1203.2974693460928,1263.7236280904592
scan-hop-d863b5568dd4cb74,2312,native10,90,649.6200054545476,518.9511867349511
scan-hop-d863b5568dd4cb74,2312,derived2p5,90,1119.4937762825264,1186.8910992247745
scan-hop-bdb97ee3a5264d7d,248,native10,90,958.9140273085364,1111.0082394887452
scan-hop-bdb97ee3a5264d7d,248,derived2p5,90,1025.504320838649,956.4706101870926
scan-hop-bdb97ee3a5264d7d,468,native10,90,916.5170093080064,839.0011869965386
scan-hop-bdb97ee3a5264d7d,468,derived2p5,90,1005.4689203006876,1025.9911827483024
scan-hop-bdb97ee3a5264d7d,671,native10,90,884.0095052416178,930.8197199773523
scan-hop-bdb97ee3a5264d7d,671,derived2p5,90,1193.1613937274956,1356.0197129949509
scan-hop-bdb97ee3a5264d7d,1288,native10,90,1033.2071287752324,1040.364045327311
scan-hop-bdb97ee3a5264d7d,1980,native10,90,982.6555090128692,1035.7280195274338
