session_id,visit_index,target_index,band,state,reason,time_s,frame_phase_s,timing_rate_s_per_s,timing_sigma_s,cfo_hz,cfo_rate_hz_per_s,cfo_sigma_hz,accepted_observations
scan-hop-e31b77794a04c236,953,6,native10,acquiring,no observation inside prediction gate,120.1186279,,,,,,,0
scan-hop-e31b77794a04c236,953,6,derived2p5,acquiring,no observation inside prediction gate,120.1186278,,,,,,,0
scan-hop-e31b77794a04c236,954,2,native10,acquiring,no observation inside prediction gate,120.2447611,,,,,,,0
scan-hop-e31b77794a04c236,954,2,derived2p5,acquiring,no observation inside prediction gate,120.244761,,,,,,,0
scan-hop-e31b77794a04c236,955,3,native10,acquiring,no observation inside prediction gate,120.3696895,,,,,,,0
scan-hop-e31b77794a04c236,955,3,derived2p5,acquiring,no observation inside prediction gate,120.3696894,,,,,,,0
scan-hop-e31b77794a04c236,956,5,native10,acquiring,no observation inside prediction gate,120.4953808,,,,,,,0
scan-hop-e31b77794a04c236,956,5,derived2p5,acquiring,no observation inside prediction gate,120.4953808,,,,,,,0
scan-hop-e31b77794a04c236,957,7,native10,acquiring,accepted PSS observation,120.6214577,0.00026759311601567157,0.0,1.2021343818394075e-06,-200000.0,0.0,200000.0,1
scan-hop-e31b77794a04c236,957,7,derived2p5,acquiring,no observation inside prediction gate,120.6214578,,,,,,,0
scan-hop-e31b77794a04c236,958,0,native10,acquiring,no observation inside prediction gate,120.7477699,,,,,,,0
scan-hop-e31b77794a04c236,958,0,derived2p5,acquiring,no observation inside prediction gate,120.7477698,,,,,,,0
scan-hop-e31b77794a04c236,959,3,native10,acquiring,no observation inside prediction gate,120.8738704,,,,,,,0
scan-hop-e31b77794a04c236,959,3,derived2p5,acquiring,no observation inside prediction gate,120.8738704,,,,,,,0
scan-hop-e31b77794a04c236,960,4,native10,acquiring,no observation inside prediction gate,120.9986926,,,,,,,0
scan-hop-e31b77794a04c236,960,4,derived2p5,acquiring,no observation inside prediction gate,120.9986926,,,,,,,0
scan-hop-e31b77794a04c236,961,7,native10,coasting,no observation inside prediction gate,121.1243807,0.00026759311601567157,0.0,5.170948218834816e-06,-200000.0,0.0,200063.32886386215,1
scan-hop-e31b77794a04c236,961,7,derived2p5,acquiring,no observation inside prediction gate,121.1243806,,,,,,,0
scan-hop-e31b77794a04c236,962,1,native10,acquiring,no observation inside prediction gate,121.2534505,,,,,,,0
scan-hop-e31b77794a04c236,962,1,derived2p5,acquiring,no observation inside prediction gate,121.2534506,,,,,,,0
scan-hop-e31b77794a04c236,963,3,native10,lost,no observation inside prediction gate,121.3843466,,,,,,,0
scan-hop-e31b77794a04c236,963,3,derived2p5,lost,no observation inside prediction gate,121.3843466,,,,,,,0
scan-hop-e31b77794a04c236,964,7,native10,coasting,no observation inside prediction gate,121.5108665,0.00026759311601567157,0.0,8.975091845804594e-06,-200000.0,0.0,200198.25004989404,1
scan-hop-e31b77794a04c236,964,7,derived2p5,lost,no observation inside prediction gate,121.5108666,,,,,,,0
scan-hop-e31b77794a04c236,965,6,native10,acquiring,no observation inside prediction gate,121.6370935,,,,,,,0
scan-hop-e31b77794a04c236,965,6,derived2p5,acquiring,no observation inside prediction gate,121.6370934,,,,,,,0
scan-hop-e31b77794a04c236,966,2,native10,acquiring,no observation inside prediction gate,121.7618533,,,,,,,0
scan-hop-e31b77794a04c236,966,2,derived2p5,acquiring,no observation inside prediction gate,121.7618534,,,,,,,0
scan-hop-e31b77794a04c236,967,3,native10,lost,no observation inside prediction gate,121.8871463,,,,,,,0
scan-hop-e31b77794a04c236,967,3,derived2p5,lost,no observation inside prediction gate,121.8871462,,,,,,,0
scan-hop-e31b77794a04c236,968,5,native10,acquiring,no observation inside prediction gate,122.0138725,,,,,,,0
scan-hop-e31b77794a04c236,968,5,derived2p5,acquiring,no observation inside prediction gate,122.0138726,,,,,,,0
scan-hop-e31b77794a04c236,969,0,native10,acquiring,no observation inside prediction gate,122.1399676,,,,,,,0
scan-hop-e31b77794a04c236,969,0,derived2p5,acquiring,no observation inside prediction gate,122.1399676,,,,,,,0
scan-hop-e31b77794a04c236,970,3,native10,lost,no observation inside prediction gate,122.2662316,,,,,,,0
scan-hop-e31b77794a04c236,970,3,derived2p5,lost,no observation inside prediction gate,122.2662316,,,,,,,0
scan-hop-e31b77794a04c236,971,4,native10,acquiring,no observation inside prediction gate,122.390995,,,,,,,0
scan-hop-e31b77794a04c236,971,4,derived2p5,acquiring,no observation inside prediction gate,122.390995,,,,,,,0
scan-hop-e31b77794a04c236,972,7,native10,lost,no observation inside prediction gate,122.5161979,,,,,,,0
scan-hop-e31b77794a04c236,972,7,derived2p5,lost,no observation inside prediction gate,122.5161978,,,,,,,0
scan-hop-e31b77794a04c236,973,0,native10,lost,no observation inside prediction gate,122.6425784,,,,,,,0
scan-hop-e31b77794a04c236,973,0,derived2p5,lost,no observation inside prediction gate,122.6425784,,,,,,,0
scan-hop-e31b77794a04c236,974,1,native10,acquiring,no observation inside prediction gate,122.7688003,,,,,,,0
scan-hop-e31b77794a04c236,974,1,derived2p5,acquiring,no observation inside prediction gate,122.7688002,,,,,,,0
scan-hop-e31b77794a04c236,975,2,native10,lost,no observation inside prediction gate,122.8950103,,,,,,,0
scan-hop-e31b77794a04c236,975,2,derived2p5,lost,no observation inside prediction gate,122.8950102,,,,,,,0
scan-hop-e31b77794a04c236,976,3,native10,lost,no observation inside prediction gate,123.0198937,,,,,,,0
scan-hop-e31b77794a04c236,976,3,derived2p5,lost,no observation inside prediction gate,123.0198938,,,,,,,0
scan-hop-e31b77794a04c236,977,4,native10,lost,no observation inside prediction gate,123.1451449,,,,,,,0
scan-hop-e31b77794a04c236,977,4,derived2p5,lost,no observation inside prediction gate,123.145145,,,,,,,0
scan-hop-e31b77794a04c236,978,5,native10,lost,no observation inside prediction gate,123.2714372,,,,,,,0
scan-hop-e31b77794a04c236,978,5,derived2p5,lost,no observation inside prediction gate,123.2714372,,,,,,,0
scan-hop-e31b77794a04c236,979,6,native10,lost,no observation inside prediction gate,123.3976435,,,,,,,0
