session_id,capture_start_utc,sample_rate_hz,receiver_ids,classification_receiver,radio_serial,valid_duty_percent,valid_seconds,complete_visits,online_detections,online_detection_fraction,healthy_decisions,median_online_margin,utc_qualified,utc_bracket_width_ms,compressed_gib,queue_high_water_visits,queue_enqueue_failures
scan-hop-e31b77794a04c236,2026-09-14T15:30:12.305050Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2708,285.84,2382,1798,0.7548278757346767,2382,0.27550668072511253,True,1.494586,7.438139781355858,1,0
scan-hop-783c79c5b20d42b3,2026-09-14T15:40:12.828072Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2415,285.84,2382,1729,0.7258606213266163,2382,0.29310715158047485,True,1.31579,7.445560423657298,1,0
scan-hop-dcde2d0e850011de,2026-09-14T15:50:12.423649Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2364,285.72,2381,2040,0.8567828643427131,2381,0.34229198165681485,True,1.211035,7.426380996592343,1,0
scan-hop-33a509c257e5a914,2026-09-14T16:00:12.385886Z,10000000,0,0,104000bac4950008230026001b440a003a,95.232,285.72,2381,1903,0.7992440151196976,2381,0.32262310647052517,True,1.397068,7.431730863638222,1,0
scan-hop-bcd8d20ced9c3968,2026-09-14T16:10:12.539968Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2395,285.72,2381,1896,0.7963040739185216,2381,0.28217201261211505,True,1.452209,7.4314627032727,1,0
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2503,285.84,2382,1779,0.7468513853904282,2382,0.30031583347377877,True,1.330512,7.403995577245951,1,0
scan-hop-c2313aebc38416ef,2026-09-14T16:30:12.553220Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2437,285.84,2382,2016,0.8463476070528967,2382,0.3300441110522024,True,1.170472,7.415445773862302,1,0
scan-hop-499abcb9ca352397,2026-09-14T16:40:12.231571Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2353,285.72,2381,1863,0.7824443511129777,2381,0.3274023481277234,True,1.328634,7.389759565703571,1,0
scan-hop-031a0825dc751a64,2026-09-14T16:50:12.617542Z,10000000,0,0,104000bac4950008230026001b440a003a,95.216,285.72,2381,1993,0.8370432591348173,2381,0.36242223739304835,True,1.729574,7.392499282956123,1,0
scan-hop-99bee37023f62a10,2026-09-14T17:00:12.924859Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2357,285.72,2381,2078,0.872742545149097,2381,0.36534966772165034,True,1.381999,7.3920074831694365,1,0
scan-hop-2b542a19425a01b3,2026-09-14T17:10:12.880432Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2421,285.84,2382,1936,0.8127623845507976,2382,0.31823319238210823,True,1.053641,7.387522681616247,1,0
scan-hop-543e944f549f5386,2026-09-14T17:30:12.494100Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2593,285.84,2382,1538,0.6456759026028548,2382,0.2313806300462117,True,1.066617,7.380777917802334,1,0
scan-hop-e336bdc3f097d035,2026-09-14T17:40:12.787119Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2596,285.84,2382,1815,0.7619647355163728,2382,0.3430291513332243,True,1.30127,7.38585430663079,1,0
scan-hop-d863b5568dd4cb74,2026-09-14T17:50:12.620976Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2053,285.72,2381,1690,0.7097858042839144,2381,0.25847185383907256,True,1.149426,7.390605532564223,1,0
scan-hop-bdb97ee3a5264d7d,2026-09-14T18:00:12.557326Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2456,285.84,2382,1779,0.7468513853904282,2382,0.31584255483172485,True,1.41251,7.387385042384267,1,0
scan-hop-dc5eb69c6fabf708,2026-09-14T18:10:12.734255Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2501,285.84,2382,1874,0.7867338371116709,2382,0.34565013477286344,True,1.230204,7.3940212251618505,1,0
scan-hop-b92871e1644b09d0,2026-09-14T18:20:12.980561Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2382,285.72,2381,1839,0.7723645527089458,2381,0.3222969770345952,True,1.453786,7.401345694437623,3,0
scan-hop-157c185070779e8c,2026-09-14T18:30:12.754513Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2423,285.84,2382,1621,0.6805205709487825,2382,0.24752470415140226,True,0.962304,7.403467929922044,1,0
scan-hop-002263e74ae412da,2026-09-14T18:40:12.765665Z,10000000,0,0,104000bac4950008230026001b440a003a,95.2364,285.72,2381,1889,0.7933641327173456,2381,0.3068303073444178,True,0.924704,7.3691850723698735,1,0
