session_id,tracklet_count,observation_count,pooled_linear_fit_residual_rms_hz,median_tracklet_residual_rms_hz,trajectory_state,trajectory_time_basis,tle_state,physical_group_count,eligible_group_count,attempted_group_count,deferred_group_count,projected_candidate_count,tle_candidate_count,tle_snapshot_age_minutes,tle_snapshot_object_count,unscored_reasons
scan-hop-24e4b051b0fbc5ca,53,1022,482.63691012981724,215.96616192603173,complete,qualified-utc,unavailable,60,20,4,16,3595,0,78.23456240418334,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-c2313aebc38416ef,51,1125,436.99937941259486,193.00553330817772,complete,qualified-utc,unavailable,111,61,4,57,4070,0,88.24338525465,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-499abcb9ca352397,55,1030,444.1951516839452,142.9803573355853,complete,qualified-utc,unavailable,122,42,4,38,4222,0,98.23802444555,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-031a0825dc751a64,59,1172,430.83789428025557,191.09233305348175,complete,qualified-utc,unavailable,197,89,4,85,4600,0,108.24445728903333,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-99bee37023f62a10,51,1236,492.58541825950437,340.20313125032203,complete,qualified-utc,unavailable,56,40,4,36,4391,0,118.24957923593334,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-2b542a19425a01b3,46,987,565.1206371573378,295.7413645923342,complete,qualified-utc,unavailable,44,25,4,21,3834,0,128.2488387934,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-543e944f549f5386,37,699,424.3569180817115,195.56946739603063,complete,qualified-utc,unavailable,45,25,4,21,2759,0,27.332554569233334,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-e336bdc3f097d035,55,1130,549.6073181285805,194.84025254802836,complete,qualified-utc,unavailable,124,57,4,53,3784,0,37.33743821623333,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-d863b5568dd4cb74,46,869,416.32145482476295,201.34260493938498,complete,qualified-utc,unavailable,103,48,4,44,3053,0,47.33466917728333,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
scan-hop-bdb97ee3a5264d7d,49,1233,523.7140269843661,222.85154425764458,complete,qualified-utc,unavailable,100,49,4,45,3971,0,57.33360833543333,11130,PersistentHopTleMatchInputError: catalogue population propagation is incomplete
