session_id,capture_start_utc,tracks,descriptive_passes,candidates,status
scan-hop-e31b77794a04c236,2026-09-14T15:30:12.305050Z,21,17,"66208 (5 tracklets), 69482 (4 tracklets), 58711 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-783c79c5b20d42b3,2026-09-14T15:40:12.828072Z,17,15,"67045 (5 tracklets), 66207 (2 tracklets), 67034 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-dcde2d0e850011de,2026-09-14T15:50:12.423649Z,23,23,"66362 (6 tracklets), 62966 (5 tracklets), 65803 (4 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-33a509c257e5a914,2026-09-14T16:00:12.385886Z,19,19,"62862 (4 tracklets), 57467 (3 tracklets), 62858 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-bcd8d20ced9c3968,2026-09-14T16:10:12.539968Z,16,12,"62857 (2 tracklets), 68751 (2 tracklets), 57462 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,16,14,"60413 (6 tracklets), 67661 (4 tracklets), 100304 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-c2313aebc38416ef,2026-09-14T16:30:12.553220Z,22,15,"66868 (3 tracklets), 68005 (3 tracklets), 63795 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-499abcb9ca352397,2026-09-14T16:40:12.231571Z,14,10,"65258 (4 tracklets), 59693 (2 tracklets), 47831 (1 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-031a0825dc751a64,2026-09-14T16:50:12.617542Z,21,18,"66593 (6 tracklets), 61529 (3 tracklets), 63513 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-99bee37023f62a10,2026-09-14T17:00:12.924859Z,27,26,"59401 (5 tracklets), 66559 (4 tracklets), 69658 (4 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-2b542a19425a01b3,2026-09-14T17:10:12.880432Z,19,14,"69172 (5 tracklets), 64151 (4 tracklets), 61524 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-543e944f549f5386,2026-09-14T17:30:12.494100Z,13,12,"63047 (4 tracklets), 63037 (3 tracklets), 65214 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-e336bdc3f097d035,2026-09-14T17:40:12.787119Z,15,12,"67733 (4 tracklets), 65213 (3 tracklets), 68979 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-d863b5568dd4cb74,2026-09-14T17:50:12.620976Z,15,12,"68977 (4 tracklets), 68180 (2 tracklets), 59210 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-bdb97ee3a5264d7d,2026-09-14T18:00:12.557326Z,23,16,"67582 (4 tracklets), 59569 (4 tracklets), 68194 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-dc5eb69c6fabf708,2026-09-14T18:10:12.734255Z,25,19,"69822 (4 tracklets), 59584 (3 tracklets), 69949 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-b92871e1644b09d0,2026-09-14T18:20:12.980561Z,12,8,"63844 (3 tracklets), 67589 (2 tracklets), 67605 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-157c185070779e8c,2026-09-14T18:30:12.754513Z,13,10,"63845 (3 tracklets), 67594 (2 tracklets), 65376 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-002263e74ae412da,2026-09-14T18:40:12.765665Z,22,19,"57498 (6 tracklets), 58117 (4 tracklets), 56498 (2 tracklets)",Candidates pass descriptive checks; no identification
