slot_ordinal,scheduled_utc,sample_rate_msps,session_id,terminal_archive,skipped_visits,scanner_importable,outcome
2982713,2026-09-17T06:50:00+00:00,20,scan-fw-e35e72118f944838,True,0,True,imported
2982714,2026-09-17T07:00:00+00:00,10,scan-fw-26aef88ac1a8e6a9,True,0,True,imported
2982715,2026-09-17T07:10:00+00:00,15,scan-fw-10e433fafb9355a8,True,0,True,imported
2982716,2026-09-17T07:20:00+00:00,20,scan-fw-366b25eb3b33bf9e,True,2,False,terminal_sparse_rejected
2982717,2026-09-17T07:30:00+00:00,10,scan-fw-b2bbe7b14e52da25,True,0,True,imported
2982718,2026-09-17T07:40:00+00:00,15,scan-fw-6734044ad45c65a2,True,2,False,terminal_sparse_rejected
2982719,2026-09-17T07:50:00+00:00,20,scan-fw-1ad1415dc1edc749,True,2,False,terminal_sparse_rejected
2982720,2026-09-17T08:00:00+00:00,10,scan-fw-2de4723c9b85fa63,True,0,True,imported
2982721,2026-09-17T08:10:00+00:00,15,scan-fw-9b7b45dbade4276e,True,0,True,imported
2982722,2026-09-17T08:20:00+00:00,20,,False,,False,firmware_etime_-62
2982723,2026-09-17T08:30:00+00:00,10,scan-fw-4199b5994691082d,True,0,True,imported
2982724,2026-09-17T08:40:00+00:00,15,scan-fw-cf4499cfa35dcd1c,True,0,True,imported
2982725,2026-09-17T08:50:00+00:00,20,scan-fw-13aa529d3938e8fd,True,0,True,imported
2982726,2026-09-17T09:00:00+00:00,10,scan-fw-adc3b468b30c9c7b,True,0,True,imported
2982727,2026-09-17T09:10:00+00:00,15,,False,,False,firmware_etime_-62
2982728,2026-09-17T09:20:00+00:00,20,scan-fw-0f8d349f23ffa78a,True,5,False,terminal_sparse_rejected
2982729,2026-09-17T09:30:00+00:00,10,scan-fw-d72f88e21eb9e620,True,0,True,imported
2982730,2026-09-17T09:40:00+00:00,15,scan-fw-856a78101d6735d2,True,0,True,imported
2982731,2026-09-17T09:50:00+00:00,20,,False,,False,firmware_etime_-62
2982732,2026-09-17T10:00:00+00:00,10,,False,,False,firmware_etime_-62
2982733,2026-09-17T10:10:00+00:00,15,scan-fw-5cc12d007bc99130,True,0,True,imported
2982734,2026-09-17T10:20:00+00:00,20,,False,,False,firmware_etime_-62
2982735,2026-09-17T10:30:00+00:00,10,scan-fw-7367d02117142473,True,0,True,imported
2982736,2026-09-17T10:40:00+00:00,15,scan-fw-4de4342443509fb0,True,0,True,imported
2982737,2026-09-17T10:50:00+00:00,20,,False,,False,firmware_etime_-62
2982738,2026-09-17T11:00:00+00:00,10,scan-fw-21908ec249658ee2,True,0,True,imported
2982739,2026-09-17T11:10:00+00:00,15,scan-fw-1eb7b9ff15d2402d,True,0,True,imported
2982740,2026-09-17T11:20:00+00:00,20,scan-fw-3c965db47d95e0db,True,0,True,imported
2982741,2026-09-17T11:30:00+00:00,10,scan-fw-1b690eba8ad3fab9,True,0,True,imported
2982742,2026-09-17T11:40:00+00:00,15,scan-fw-369d9f3f7741d36e,True,0,True,imported
2982743,2026-09-17T11:50:00+00:00,20,,False,,False,firmware_etime_-62
2982744,2026-09-17T12:00:00+00:00,10,scan-fw-ae120ce6c07b3587,True,0,True,imported
2982745,2026-09-17T12:10:00+00:00,15,scan-fw-2527f988a321cc59,True,0,True,imported
2982746,2026-09-17T12:20:00+00:00,20,scan-fw-f9b5c569f886a7f7,True,1,False,terminal_sparse_rejected
2982747,2026-09-17T12:30:00+00:00,10,scan-fw-1c8fa5dedf1b778b,True,0,True,imported
2982748,2026-09-17T12:40:00+00:00,15,scan-fw-b1f2e5ba215cfa49,True,0,True,imported
2982749,2026-09-17T12:50:00+00:00,20,,False,,False,firmware_etime_-62
2982750,2026-09-17T13:00:00+00:00,10,scan-fw-3b4b781c31aeee7e,True,0,True,imported
2982751,2026-09-17T13:10:00+00:00,15,scan-fw-7cb61f9e2e56f342,True,0,True,imported
2982752,2026-09-17T13:20:00+00:00,20,,False,,False,firmware_etime_-62
2982753,2026-09-17T13:30:00+00:00,10,scan-fw-75d1334d430bd557,True,0,True,imported
2982754,2026-09-17T13:40:00+00:00,15,scan-fw-9af6c64585de4fbb,True,0,True,imported
2982755,2026-09-17T13:50:00+00:00,20,scan-fw-c06a6d0069990294,True,0,True,imported
2982756,2026-09-17T14:00:00+00:00,10,scan-fw-10a1783c9d67e020,True,0,True,imported
2982757,2026-09-17T14:10:00+00:00,15,scan-fw-10a906cc85830859,True,0,True,imported
2982758,2026-09-17T14:20:00+00:00,20,scan-fw-1e7edc9519445256,True,0,True,imported
