sample_rate_hz,session_id,probe_id,target_index,injected_delay_ns,recovered,delay_error_ns
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:562:0,,,True,0.15826744343451082
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:659:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:695:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:700:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:741:0,,,True,1.6820735735093422
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:807:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:828:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1368:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1394:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1396:0,,,True,-4.136474079345817
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1406:0,,,False,
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1421:0,,,True,-2.10636915621933
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1438:0,,,True,6.430236612607693
10000000,scan-fw-0f339e7b732c4593,scan-fw-0f339e7b732c4593:1577:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:542:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:675:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:690:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:701:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:723:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:749:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:850:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1342:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1405:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1410:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1413:0,,,False,
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1448:0,,,True,1.320478732307663
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1466:0,,,True,0.8827526201170599
10000000,scan-fw-10a1783c9d67e020,scan-fw-10a1783c9d67e020:1500:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:552:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:701:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:702:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:728:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:731:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:765:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:786:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1336:0,,,False,
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1349:0,,,True,0.6177748844864652
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1372:0,,,True,-3.254838068135683
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1441:0,,,True,2.117297494744861
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1478:0,,,True,0.003144365957894024
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1482:0,,,True,-0.10579292736002799
10000000,scan-fw-1a04dd4254fd7849,scan-fw-1a04dd4254fd7849:1497:0,,,True,-2.3051516143641066
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:668:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:681:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:694:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:704:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:708:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:715:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:833:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1360:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1374:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1385:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1386:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1449:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1464:0,,,False,
10000000,scan-fw-1a877b7592593f44,scan-fw-1a877b7592593f44:1520:0,,,True,0.2395837878458451
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:591:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:654:0,,,True,0.07258608196630689
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:677:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:727:0,,,True,2.0874307052703074
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:787:0,,,True,-0.10382348288334242
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:791:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:795:0,,,True,4.201880027968286
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1370:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1377:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1379:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1416:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1417:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1462:0,,,False,
10000000,scan-fw-1b690eba8ad3fab9,scan-fw-1b690eba8ad3fab9:1544:0,,,True,-0.18104525969872043
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:647:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:674:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:702:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:705:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:726:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:730:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:786:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1330:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1336:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1373:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1452:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1469:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1486:0,,,False,
10000000,scan-fw-1c8fa5dedf1b778b,scan-fw-1c8fa5dedf1b778b:1495:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:654:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:672:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:683:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:736:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:737:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:744:0,,,True,2.4341864232094963
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:768:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1402:0,,,True,0.16142461602090918
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1413:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1415:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1416:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1427:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1435:0,,,False,
10000000,scan-fw-21908ec249658ee2,scan-fw-21908ec249658ee2:1504:0,,,False,
