session_id,capture_start_utc,sample_rate_hz,visit_index,target_index,channel,edge,source_manifest_sha256,chunk_sha256,source_start_counter,source_end_counter,nominal_overlap_hz,comparison_selected,tracking_selected,candidate_count,qualified_mode_count,pss_candidate,maximum_robust_z,best_robust_z,best_cfo_hz,best_frame_phase_ns,timing_windows,linear_fit_rms_ns,alternating_validation_rms_ns
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,46,3,4,lower,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:8ad95711cb925ef2580a28a6d53362f7627d8c8b7026c01a804f873d7f765bab,1228689738985,1228691538985,12304687.5,True,False,13,1,True,14.177189075947402,14.177189075947402,0.0,1261933.3333333335,90,992.4652291868006,1116.0998639761845
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,242,2,3,lower,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:6eb50d48ce68f83c67085e82fd1711c262f0bbc8dc9a94163269ff9ea2b0d1ed,1229102324521,1229104124521,12304687.5,True,False,13,0,False,5.444208311745713,,,,0,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,846,5,2,upper,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:449d841d8bc4d0098aa7873a59f8e613c2f6761c2c933fb8ac5af76d2c87e004,1230373569502,1230375369502,12304687.5,True,False,13,0,False,5.371178634536621,,,,0,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,1199,7,4,upper,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:6135bd172fcc72602abc35fcb6ed6f89bce0ea201a15bf1495adb288b6d4625c,1231116495439,1231118295439,12304687.5,True,False,13,0,False,5.963304513884144,,,,0,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,1396,6,3,upper,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:8f9c6f82ac3b60f3116557f57dc374f74673d0e713065ccd0d5ceaeaa715c8a3,1231531142812,1231532942812,12304687.5,True,False,13,0,False,5.096192907081016,,,,0,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,1743,0,1,lower,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:232875c2ff2d4de58f8f399b94d3df785d2b229475f6450b377bede42f4ccaae,1232261513872,1232263313872,12304687.5,True,False,13,0,False,5.235376472655419,,,,0,,
scan-fw-04d50dd83a5fc5df,2026-09-17T17:40:01.327546Z,15000000,1961,4,1,upper,sha256:9a7d648183ed36a5d38af426c206fa241ffa9a6ce6656f7e0c07674c0030f270,sha256:91b79511f28a5e8e4c75539b3585432033b7b8478b0df016bdacdb42faceca10,1232720353267,1232722153267,12304687.5,True,False,13,0,False,5.521423759190436,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,43,2,3,lower,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:1df1bddf9072396c372db404b44deca3c1e3ad6029746f81c9468a69db3b074f,1805844865939,1805847265939,14804687.5,True,False,13,0,False,5.38071826627083,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1031,6,3,upper,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:0e8764c94112ffcc2e3f1a434ae5bace705277e416a4be3ce67ee57056bfb2d1,1808619020671,1808621420671,14804687.5,True,False,13,0,False,5.073898760254611,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1085,0,1,lower,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:58227899132fb968de023dd8356cda89eada4aa17d1686090d61624dbac8d4e4,1808770567327,1808772967327,14804687.5,True,False,13,0,False,5.171156253578591,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1271,3,4,lower,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:d966ecad6f98928d8a046b255fd6749a4ac1272d5acce259765059f8488ed0a8,1809292635286,1809295035286,14804687.5,True,False,13,0,False,5.525526021351864,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1421,7,4,upper,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:23e3e11216238dcb95cefbad773879d6a5f09ff9e285c542e7cbbaa3ab7c8a92,1809713686678,1809716086678,14804687.5,True,False,13,0,False,5.862361176693187,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1817,4,1,upper,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:8ed8b4ed6ebf1804880ae0c2bfc2d9c1564c1bc238a40819a7ae7d57df608860,1810825434778,1810827834778,14804687.5,True,False,13,0,False,5.262377441505921,,,,0,,
scan-fw-0ae4d2e146a1cbac,2026-09-18T00:20:01.532487Z,20000000,1822,5,2,upper,sha256:3127931005afd6a6342acfa6e5bc849c083b9df80b2226ba79c1fb6d9f6d59c3,sha256:8ed8b4ed6ebf1804880ae0c2bfc2d9c1564c1bc238a40819a7ae7d57df608860,1810839458740,1810841858740,14804687.5,True,False,13,0,False,5.26586360080445,,,,0,,
scan-fw-0cac677f1231cad8,2026-09-17T16:20:01.484591Z,20000000,54,0,1,lower,sha256:1dd92ed08944394ecc01f8b14aa5d87f2fd56a382d8e4d5256844e9acd97c723,sha256:51efddf8f41b51166fe2906d77af45bd8b63d1e3e7d429be3902ab301cb8194d,1111493937024,1111496337024,14804687.5,True,False,13,0,False,5.5341488166196715,,,,0,,
