session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,1,upper,0,12,9.8416261,-3546.673649375131,118.80823167297545
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,3,upper,0,19,15.4536419,-3718.6050050030494,116.44233338374596
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,3,lower,0,16,11.3856519,-3520.918537028975,142.58606717888716
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,3,lower,0,24,12.9299949,-3724.381038415869,71.29048286544239
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,4,upper,0,15,9.7016766,-3641.4380399238416,94.96970240508901
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,2,upper,0,18,10.6829019,-2878.5524953369572,143.62233735226073
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,2,lower,0,13,11.8056779,-3720.124680591076,196.97858092116797
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,2,upper,0,34,17.41769,-3808.545547491695,318.41973710052446
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,2,lower,0,10,8.4376933,-3001.0575387759973,139.30838547261487
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,4,upper,0,11,8.1576113,-3951.639668371755,128.61450999579347
scan-fw-d72f88e21eb9e620,2026-09-17T09:30:01.611607Z,4,lower,0,11,9.8402615,-3096.3926469441667,71.11328319172503
scan-fw-d72f88e21eb9e620,2026-09-17T09:30:01.611607Z,1,lower,0,18,16.437715,-3327.5027945479983,395.51308382794775
scan-fw-d72f88e21eb9e620,2026-09-17T09:30:01.611607Z,3,lower,0,25,15.7322305,-3672.3114615628397,139.84350827636547
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,3,lower,0,12,8.444205733,-3570.9086282889803,87.08174827377947
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,4,upper,0,20,10.401664067,-3630.0390606950314,124.15573633533957
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,1,upper,0,41,22.325600533,-3937.9027948339553,187.70496703358472
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,3,upper,0,22,12.225660334,-3628.1266354090976,165.50261107727206
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,4,lower,0,13,10.684331533,-3731.492405651811,34.398799953998804
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,4,lower,0,15,9.137599066,-3837.3212015652675,86.59193290170302
scan-fw-5cc12d007bc99130,2026-09-17T10:10:01.518749Z,1,lower,0,16,8.304256467,-3757.731497804152,102.1876618539058
scan-fw-5cc12d007bc99130,2026-09-17T10:10:01.518749Z,4,lower,0,15,10.684272267,-3190.8481356348407,102.25212505807234
