visit_index,track_elapsed_s,edge_pilot_phase_deg,edge_pilot_phase_se_deg,broadband_intercept_phase_deg,broadband_intercept_phase_se_deg,frequency_held_out_tracked_coherence,frequency_held_out_wrong_time_coherence,frequency_held_out_residual_phase_deg
376,0,143.565648661,7.47016325049,27.5676610026,1.03218919017,0.170062151302,0.00912252600603,-2.84602642391
453,9.7968004,128.164528024,3.83547147048,-169.930175188,1.23450273725,0.161135313956,0.00645471958456,3.65862036667
486,13.998552,67.3771839514,1.59569433428,-171.589436951,0.866634024138,0.227096236272,0.00918849920883,-1.30244657396
513,17.450626,-165.231342313,4.05908235023,0.364107812227,1.47232339279,0.210046344681,0.00958593104901,-4.63587055794
537,20.495472,-16.5343795967,6.55123347918,169.316019342,1.71760662562,0.190827693478,0.0132568532805,-3.27584908879
564,23.9285964,-144.02519143,5.267366043,-98.7108910371,0.940093527544,0.223762031704,0.0133377617945,1.60371085767
588,26.9698864,-17.4140678648,6.14688337256,57.5467212964,0.962815684781,0.199464080882,0.00372487611022,3.27634940482
614,30.2807628,159.881884024,2.29026593112,32.8085072812,1.20240058724,0.1910630187,0.00653260213037,-0.372076995655
638,33.3435156,-111.944329557,5.28296674313,95.1817286221,1.20656569755,0.167777966883,0.00242899218901,-3.79005395301
668,37.170744,161.969018089,3.13645824738,44.1753550575,1.5301575223,0.154091893062,0.00790963525051,1.00087673884
697,40.8743328,47.8948986924,6.57836396292,-91.4885284694,1.55367885322,0.130893917504,0.00537046611003,-0.0696665293541
724,44.3066512,37.3462194263,6.03938747079,99.5200591731,22.2849685478,0.0364789797423,0.110500089059,-54.2399389885
