sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
72500,0.029,-122.91116333,74.1528443498,31.3847103119,76.0591888428,50.868048632,31.0438641472
72501,0.0290004,71.4610137939,8.65352542592,46.6904716492,59.6824951172,74.4408065444,53.0852929053
72502,0.0290008,167.074279785,137.147119006,87.3212432861,36.4005470276,57.0474563597,29.0074494121
72503,0.0290012,59.2842292786,130.489857171,66.0075759888,158.473968506,27.3122390497,106.559598773
72504,0.0290016,-13.8276929855,-149.1537354,72.9451828003,85.8661727905,112.235741425,73.9565208561
72505,0.029002,-106.891609192,-177.183083074,114.1796875,151.162155151,103.883074236,160.092174784
72506,0.0290024,-30.3067455292,44.3212831815,130.969467163,147.085006714,131.117521156,112.691143945
72507,0.0290028,19.8450298309,-107.141186019,162.889526367,74,140.768887998,45.0917067573
72508,0.0290032,126.492134094,-67.895612352,99.9599914551,59.481086731,105.318019573,81.8588997535
72509,0.0290036,-53.3973693848,-66.5753836702,148.660690308,115.364639282,143.392660458,60.8878582369
72510,0.029004,-154.249511719,156.554206413,51,94.3716049194,19.3540251664,75.385470218
72511,0.0290044,-12.4704618454,-103.996337419,62,106.512916565,39.5429905341,125.992291811
72512,0.0290048,38.2612571716,10.8125098918,112.445541382,24.7588367462,54.4104627557,19.4947952535
72513,0.0290052,15.9572610855,66.0643197791,41.8807830811,142.523681641,73.0607503225,124.996124212
72514,0.0290056,-45.8470878601,91.640913172,88.1022186279,32.5729942322,84.9638181712,50.5823532089
72515,0.029006,-163.594512939,25.6205718022,223.035858154,171.956390381,181.315687283,149.36264741
72516,0.0290064,-31.0399475098,-17.210534346,56.9209976196,81.5659255981,76.4446696679,83.3182817317
72517,0.0290068,-3.58527421951,-64.2504720171,17.7200431824,67.6830825806,11.1097394172,32.0743029873
72518,0.0290072,43.2205047607,-115.778458227,64.1248779297,45.4532737732,40.492646057,72.1399574449
72519,0.0290076,-116.711303711,92.1588563284,153.521987915,31.9530906677,89.5341480424,52.0836807008
72520,0.029008,-5.61079549789,19.4930377168,103.817153931,45.1220550537,16.2064356053,34.5233330633
72521,0.0290084,9.82720088959,43.896114664,46.1410865784,184.629364014,127.608195631,186.397708391
72522,0.0290088,-170.107040405,42.0081429296,143.753265381,198.113601685,61.6494479517,196.518419575
72523,0.0290092,161.755187988,67.639990526,186.868942261,128.502914429,78.037490176,103.335508364
72524,0.0290096,65.1146697998,111.270382185,96.6747055054,69.1230773926,60.4049953807,29.5376111334
72525,0.02901,-135.485534668,38.0412982405,23.6008472443,21.2132034302,63.4570861741,57.1924004329
72526,0.0290104,-111.095565796,75.3866011504,66.6483306885,31.8904380798,25.3962877265,16.0571155595
72527,0.0290108,-7.02788925171,-127.005724069,86.7640533447,70.8378448486,98.3700678833,72.2402901675
72528,0.0290112,118.823799133,159.097434932,120.166549683,122,99.4109142636,102.083817755
72529,0.0290116,172.043121338,-17.6003031685,158.826950073,46.5295600891,148.162926002,22.2477640536
72530,0.029012,104.66242218,-51.9749612457,55.9732055664,59.0762176514,69.5107582124,88.1956424338
72531,0.0290124,-110.156036377,-129.717383962,86.9770050049,89.822052002,65.4609700912,67.7949485672
72532,0.0290128,-71.7072219849,-32.6515181865,97.6524429321,10.4403066635,82.5469525636,4.88925458555
72533,0.0290132,83.1152572632,-136.000964999,38.0788650513,68.3520278931,84.5704022139,32.5223888041
72534,0.0290136,136.21043396,37.5742247277,137.800582886,117.324333191,159.021170806,44.0518675361
72535,0.029014,-45.6099395752,99.3319634159,160.449371338,49.6789703369,109.596729521,48.9835918449
