start_sample,stop_sample_exclusive,center_time_s,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg,inside_paired_glrt_probe
2500,7500,0.0019998,122.614590638,0.202990884347,0.979180627296,4.41155644405,1
3750,8750,0.0024998,130.804691182,0.195112781608,0.980780812645,4.51863308003,1
5000,10000,0.0029998,133.694474246,0.190957408519,0.981598323212,3.9627198234,1
6250,11250,0.0034998,139.508436308,0.194032623575,0.980995076944,3.5287266489,1
7500,12500,0.0039998,141.325192027,0.193367721924,0.981126354818,3.92979364135,1
8750,13750,0.0044998,138.500194755,0.195979743268,0.9806079442,4.05117793118,1
10000,15000,0.0049998,137.174640269,0.212564079503,0.977147129201,4.18041194037,1
11250,16250,0.0054998,132.064683456,0.208358112009,0.978052604495,4.39351633382,1
12500,17500,0.0059998,129.805917865,0.202809974361,0.979218113752,2.97963657584,1
13750,18750,0.0064998,130.23820471,0.203840325276,0.979004147995,3.80313136778,1
15000,20000,0.0069998,126.27190953,0.19104547232,0.981581187425,4.01977042006,1
16250,21250,0.0074998,119.61766398,0.187446813884,0.982274753806,5.27771367336,1
17500,22500,0.0079998,111.987096315,0.199746067084,0.979847696678,4.62270408097,1
18750,23750,0.0084998,104.210457906,0.204606576979,0.978844292345,2.80315033563,1
20000,25000,0.0089998,103.467293782,0.208355941418,0.978053066902,2.51239811361,1
21250,26250,0.0094998,100.949508348,0.211644937904,0.977346622371,3.26604035457,1
22500,27500,0.0099998,99.3114681013,0.198150775245,0.980171551449,3.37791802633,1
23750,28750,0.0104998,100.100742145,0.20087921347,0.979616017425,3.145168706,1
25000,30000,0.0109998,102.565807681,0.19980041182,0.979836616705,4.24949979816,1
26250,31250,0.0114998,109.61616001,0.205801946828,0.978593663725,3.4508358971,1
27500,32500,0.0119998,117.031674099,0.218464945392,0.975844796899,3.71276792392,1
28750,33750,0.0124998,126.436384015,0.229145481835,0.9733921862,3.60438027701,1
30000,35000,0.0129998,132.888031332,0.220724965079,0.975336090684,4.03648969401,1
31250,36250,0.0134998,138.530253576,0.203993818402,0.978972176343,2.82601147203,1
32500,37500,0.0139998,134.091844667,0.19949466211,0.979898913046,5.5981036434,1
33750,38750,0.0144998,125.163421185,0.183253218965,0.983065744362,6.65130074123,1
35000,40000,0.0149998,115.470660121,0.193646034708,0.981071461843,4.9788627532,1
36250,41250,0.0154998,111.872403123,0.212866580343,0.977081275521,3.32736983986,1
37500,42500,0.0159998,111.874078906,0.207974845721,0.978134174614,3.58690701427,1
38750,43750,0.0164998,111.669507038,0.214576673818,0.976707147027,3.29838391348,1
40000,45000,0.0169998,114.944653335,0.208006306891,0.978127484684,3.32502749939,1
41250,46250,0.0174998,119.018423383,0.203588975475,0.979056448355,4.29481342956,1
42500,47500,0.0179998,129.721295031,0.20773821981,0.978184457058,5.76331430791,1
43750,48750,0.0184998,140.18710902,0.200764594547,0.979639514095,5.06155117587,1
45000,50000,0.0189998,146.37793667,0.204601482422,0.97884535724,3.20349163413,1
46250,51250,0.0194998,154.821701942,0.208153993537,0.978096066332,3.32390569093,1
47500,52500,0.0199998,161.855194455,0.198828830794,0.980034232078,4.49209544003,1
48750,53750,0.0204998,162.457354817,0.208814891878,0.977955183498,3.82729568353,1
50000,55000,0.0209998,164.391387483,0.218960119694,0.975733808978,3.35785985888,1
51250,56250,0.0214998,160.39174418,0.224025563411,0.974583268345,3.53654308616,1
52500,57500,0.0219998,152.5960599,0.224394580974,0.974498369434,2.92865981943,1
53750,58750,0.0224998,149.672149854,0.222475525803,0.974938275184,2.88881634177,1
55000,60000,0.0229998,148.448227908,0.220289756251,0.97543447924,3.27845641188,1
56250,61250,0.0234998,147.634591729,0.201663361472,0.979454893622,2.80365202957,1
