visit,reference,arm,anchors,R,wrong_time_R,held_pairs,gap_us,pilot_support,screen
204,False,1,"[0, 1]",0.821348807899819,0.27005855305777127,45,5.456274192017219,True,True
214,False,1,"[0, 1]",0.7117566245192702,0.10421207731319443,45,1.2155549544007327,True,False
1065,True,0,"[0, 1]",0.9628466378909935,0.2515383373931616,45,78.9268178597452,True,True
1065,True,1,"[0, 1]",0.9822055482049028,0.1800429639366317,45,78.87967254366357,True,True
1077,True,0,"[0, 1]",0.9530630627111849,0.11787727405500832,45,81.94525702671929,True,True
1077,True,1,"[0, 1]",0.9784597041565762,0.11146274135568357,45,81.97959959105327,True,True
1093,False,1,"[0, 1]",0.9690936074389864,0.13154855769466958,45,85.99949316348554,True,True
1109,True,0,"[0, 1]",0.9627486460519652,0.22643771797037401,45,89.96110469351726,True,True
1109,True,1,"[0, 1]",0.9685123521931618,0.2091770997426888,45,89.94070219735251,True,True
1113,True,0,"[0, 1]",0.9525519642668168,0.1898671784994882,45,90.92525262728579,True,True
1113,True,1,"[0, 1]",0.967591756959,0.2138728951311265,45,90.93490996706089,True,True
1117,False,0,"[0, 1]",0.5337838547178664,0.08635707199812902,24,601.8682047727527,False,False
1117,False,1,"[0, 1]",0.9597857744811008,0.06837261296785577,45,91.86351653983627,True,True
1124,False,0,"[0, 1]",0.5814503994317638,0.060648750490448974,45,105.14301632199435,False,False
1124,False,1,"[0, 1]",0.9479453072162817,0.25099220049333876,45,93.5467321446365,True,True
1140,True,0,"[0, 1]",0.9352814361114821,0.10127467852547878,45,97.27073605324266,True,True
1140,True,1,"[0, 1]",0.940007274208521,0.04200623150916014,45,97.24825980204216,True,True
1160,False,0,"[0, 1]",0.6993235384764969,0.3109628780472902,45,53.22425507869877,True,False
1195,False,0,"[0, 1]",0.6517932182663595,0.12510555024496517,45,64.43317291403294,True,False
2067,False,1,"[0, 1]",0.6864880209057426,0.2179887472895152,45,658.9877732511435,True,False
2195,False,1,"[0, 1]",0.40335315917325204,0.23237819373874244,45,570.8516709850287,False,False
2226,False,0,"[0, 1]",0.47129407295675185,0.23825156892349456,24,275.70924733309744,False,False
