visit_index,channel,edge,kind,case,R,failure
569,3,upper,broadband,nominal,0.9547464003929671,
569,3,upper,broadband,cfo_minus_1_fft_bin,0.4888424655354351,
569,3,upper,broadband,cfo_plus_1_fft_bin,0.5618487837580948,
569,3,upper,broadband,cfo_minus_2_fft_bins,,insufficient disjoint frequency support
569,3,upper,broadband,cfo_plus_2_fft_bins,,insufficient disjoint frequency support
569,3,upper,broadband,response_bin_minus_1,0.954560535077216,
569,3,upper,broadband,response_bin_plus_1,0.9536917523912325,
569,3,upper,broadband,response_bin_minus_2,0.9543825062957776,
569,3,upper,broadband,response_bin_plus_2,0.9534621354536893,
569,3,upper,broadband,rx_swap_consistent,0.9460329767703458,
569,3,upper,broadband,cfo_sign_reversed,,No qualified shared response
569,3,upper,pilot,nominal,0.5681262449483973,
569,3,upper,pilot,frame_minus_1_sample,0.5028047678748992,
569,3,upper,pilot,frame_plus_1_sample,0.6127654235082961,
569,3,upper,pilot,frame_minus_2_samples,0.5195856501828133,
569,3,upper,pilot,frame_plus_2_samples,0.646134045996392,
569,3,upper,pilot,symbol_minus_1,,every selected symbol must have non-zero template energy
569,3,upper,pilot,symbol_plus_1,0.4923327204151915,
569,3,upper,pilot,symbol_minus_2,,every selected symbol must have non-zero template energy
569,3,upper,pilot,symbol_plus_2,0.5783323277710568,
569,3,upper,pilot,authority_minus_1_fft_bin,0.6498284866879253,
569,3,upper,pilot,authority_plus_1_fft_bin,0.487309519689872,
569,3,upper,pilot,rx_swap_consistent,0.568141974934396,
569,3,upper,pilot,wrong_edge,0.632265168441999,
590,3,upper,broadband,nominal,0.9353077201888894,
590,3,upper,broadband,cfo_minus_1_fft_bin,0.6809022266808039,
590,3,upper,broadband,cfo_plus_1_fft_bin,0.16978822077194372,
590,3,upper,broadband,cfo_minus_2_fft_bins,0.25311207522035883,
590,3,upper,broadband,cfo_plus_2_fft_bins,,insufficient disjoint frequency support
590,3,upper,broadband,response_bin_minus_1,0.9354411458944472,
590,3,upper,broadband,response_bin_plus_1,0.9352903261317612,
590,3,upper,broadband,response_bin_minus_2,0.9356095292520371,
590,3,upper,broadband,response_bin_plus_2,0.9354683685469243,
590,3,upper,broadband,rx_swap_consistent,0.8938286613515212,
590,3,upper,broadband,cfo_sign_reversed,,insufficient disjoint frequency support
590,3,upper,pilot,nominal,0.5450062161204297,
590,3,upper,pilot,frame_minus_1_sample,0.6971272309250952,
590,3,upper,pilot,frame_plus_1_sample,0.6675516068628119,
590,3,upper,pilot,frame_minus_2_samples,0.4988378890581658,
590,3,upper,pilot,frame_plus_2_samples,0.5127906919818189,
590,3,upper,pilot,symbol_minus_1,,every selected symbol must have non-zero template energy
590,3,upper,pilot,symbol_plus_1,0.5167574412819732,
590,3,upper,pilot,symbol_minus_2,,every selected symbol must have non-zero template energy
590,3,upper,pilot,symbol_plus_2,0.4882414004454859,
590,3,upper,pilot,authority_minus_1_fft_bin,0.5281689867310649,
590,3,upper,pilot,authority_plus_1_fft_bin,0.476199957156948,
590,3,upper,pilot,rx_swap_consistent,0.5452211448867759,
590,3,upper,pilot,wrong_edge,0.628136943625519,
1677,2,upper,broadband,nominal,0.27473491734442196,
1677,2,upper,broadband,cfo_minus_1_fft_bin,,insufficient disjoint frequency support
1677,2,upper,broadband,cfo_plus_1_fft_bin,0.05481389390279852,
1677,2,upper,broadband,cfo_minus_2_fft_bins,,insufficient disjoint frequency support
1677,2,upper,broadband,cfo_plus_2_fft_bins,,insufficient disjoint frequency support
1677,2,upper,broadband,response_bin_minus_1,0.29308863219392706,
1677,2,upper,broadband,response_bin_plus_1,0.4032950893721876,
1677,2,upper,broadband,response_bin_minus_2,0.3077308970712013,
1677,2,upper,broadband,response_bin_plus_2,0.2802512146284543,
1677,2,upper,broadband,rx_swap_consistent,,No A-band support for response normalization
1677,2,upper,broadband,cfo_sign_reversed,0.05122851064291147,
1677,2,upper,pilot,nominal,0.6478890384560955,
1677,2,upper,pilot,frame_minus_1_sample,0.5051618554611167,
1677,2,upper,pilot,frame_plus_1_sample,0.6038406327542215,
1677,2,upper,pilot,frame_minus_2_samples,0.46988947761738226,
1677,2,upper,pilot,frame_plus_2_samples,0.520163304819806,
1677,2,upper,pilot,symbol_minus_1,,every selected symbol must have non-zero template energy
1677,2,upper,pilot,symbol_plus_1,0.6038103338159686,
1677,2,upper,pilot,symbol_minus_2,,every selected symbol must have non-zero template energy
1677,2,upper,pilot,symbol_plus_2,0.5903259964835247,
1677,2,upper,pilot,authority_minus_1_fft_bin,0.6480871237812018,
1677,2,upper,pilot,authority_plus_1_fft_bin,0.574313726569363,
1677,2,upper,pilot,rx_swap_consistent,0.6476379225595551,
1677,2,upper,pilot,wrong_edge,0.5202751920923926,
324,1,upper,broadband,nominal,0.24477375044755942,
324,1,upper,broadband,cfo_minus_1_fft_bin,,insufficient disjoint frequency support
324,1,upper,broadband,cfo_plus_1_fft_bin,0.07497474670412592,
324,1,upper,broadband,cfo_minus_2_fft_bins,0.053074083811839215,
324,1,upper,broadband,cfo_plus_2_fft_bins,,insufficient disjoint frequency support
324,1,upper,broadband,response_bin_minus_1,0.3043281253330953,
324,1,upper,broadband,response_bin_plus_1,,insufficient disjoint frequency support
324,1,upper,broadband,response_bin_minus_2,0.21752501196007795,
324,1,upper,broadband,response_bin_plus_2,0.39340145688368344,
324,1,upper,broadband,rx_swap_consistent,0.12876048107864604,
324,1,upper,broadband,cfo_sign_reversed,,No qualified shared response
324,1,upper,pilot,nominal,0.5368941039308464,
324,1,upper,pilot,frame_minus_1_sample,0.5571166681437776,
324,1,upper,pilot,frame_plus_1_sample,0.5444083338803027,
324,1,upper,pilot,frame_minus_2_samples,0.6014764669374019,
324,1,upper,pilot,frame_plus_2_samples,0.5502860904400299,
324,1,upper,pilot,symbol_minus_1,,every selected symbol must have non-zero template energy
324,1,upper,pilot,symbol_plus_1,0.5448674646291135,
324,1,upper,pilot,symbol_minus_2,,every selected symbol must have non-zero template energy
324,1,upper,pilot,symbol_plus_2,0.545888247593561,
324,1,upper,pilot,authority_minus_1_fft_bin,0.5367297136972021,
324,1,upper,pilot,authority_plus_1_fft_bin,0.6418672787357196,
324,1,upper,pilot,rx_swap_consistent,0.5373451150907613,
324,1,upper,pilot,wrong_edge,0.5140477275873773,
