current_center_phase_samples,current_crossfit_frame_rms_ns,current_frame_residual_mad_ns,current_split_even_odd_difference_ns,frame_count,glrt_cfo_hz,prior_pss_cfo_hz,time_s,track_rank,visit_index,wide_10mhz_center_phase_samples,wide_10mhz_crossfit_frame_rms_ns,wide_10mhz_frame_residual_mad_ns,wide_10mhz_grid_edge_count,wide_10mhz_split_even_odd_difference_ns,wide_2.5mhz_center_phase_samples,wide_2.5mhz_crossfit_frame_rms_ns,wide_2.5mhz_frame_residual_mad_ns,wide_2.5mhz_grid_edge_count,wide_2.5mhz_split_even_odd_difference_ns,wide_5mhz_center_phase_samples,wide_5mhz_crossfit_frame_rms_ns,wide_5mhz_frame_residual_mad_ns,wide_5mhz_grid_edge_count,wide_5mhz_split_even_odd_difference_ns,wide_base_cfo_hz,wide_phase_residual_rms_cycles,wide_slope_sigma_hz
2675.5779548124547,898.1260879926734,402.84117587660495,-220.13149997110304,90,133697.98702780288,-221822.08605048063,169.2445318,2,1246,2675.5542480193044,894.4218827903755,427.75183298387884,0,-221.11623002283523,2675.751559873505,897.490698176174,398.2397971792136,48,-230.24978895982713,2675.533963845077,905.2648434390168,432.950504029908,19,-242.4396195743611,-200006.69609506897,0.6109328048802819,1.7394466042254406
2681.279687046583,843.1438921623098,500.33218769903846,55.15625616781108,90,133312.82419420723,-200571.84678236968,169.364877,2,1247,2681.352717075826,841.1636991228787,508.24390280370505,0,48.90088029214894,2681.3087648473434,851.6285373597767,514.6884735062738,43,35.76432760864918,2681.3750993681338,838.0124741809396,520.9228786760299,16,36.50807899639403,-199981.49034398035,0.4011377964173756,1.2076501389184648
2709.610007425878,798.220737382953,409.3260419723438,-82.5279238287294,90,129121.86185450586,-219260.22818202022,170.4480457,2,1255,2709.649901311308,799.8298392598574,441.17747409807544,0,-80.05312631376,2709.6473255072046,804.1746181724982,370.65066219446555,45,-76.4038060693565,2709.6357493301807,801.137862497349,376.5875759953652,17,-71.3857687734162,-200026.3440793856,0.4400858408857202,1.3000295055343465
2716.524186622937,969.9534285939967,563.6769653355444,-101.03721368732295,90,128095.58754537647,-212448.02937231847,170.7288605,2,1257,2716.493188004366,969.4022552151604,545.620964989908,0,-109.77585234350045,2716.5626470643892,982.7448461775131,529.7143135450249,49,-110.38240229145231,2716.500412023186,979.534999037358,572.0495498502439,16,-112.47383880900088,-200005.3051945997,0.7924555928081918,2.208181990089067
2725.976934383493,859.0234165173543,472.6988685180495,-40.54391995214246,90,126465.63959867532,-215315.46707873323,171.149564,2,1260,2725.99898278825,858.9689577218343,467.9206535170689,0,-44.29647362949254,2725.9111350669864,856.3337258227948,469.90051026953864,40,-19.166479239083856,2725.8805887955973,852.9564175422256,425.8818542822665,17,-27.859983973121416,-200017.04972212564,0.4523832049380539,1.205441968936163
2731.460630035619,834.3358361366724,319.1337205119295,-101.79698509664377,90,125456.70895514252,-224080.94517768972,171.4302932,2,1262,2731.464188104964,833.0537292649143,334.5102075369977,0,-101.26230853866218,2731.507742438139,835.0799863002647,251.9714755894494,48,-60.54057528735939,2731.4651240581697,838.1687263120202,325.9776418962759,19,-78.28566516000137,-199954.56344960345,0.7514726315461746,2.2405963612781585
2755.347901406705,976.6229634407753,543.0875180773953,165.54494337187862,90,120361.74185424091,-224249.06835306942,172.7955122,2,1272,2755.3341262523772,972.9248524126386,550.8221636420905,0,154.2577875333336,2755.488134544253,986.1241240221874,575.3453973920563,57,170.96656922449256,2755.335000907812,990.9511337748073,557.4170441903525,19,168.85203276406173,-200001.77844434703,0.804683763356561,2.4557803636701423
2757.593228259147,894.7399034942367,498.1738824848627,-200.50992494925595,90,119956.5517466609,-235798.38762451886,172.9160564,2,1273,2757.622042783546,894.1891303080071,510.21999020790054,0,-198.23135518290655,2757.6317767645473,886.2680502746593,495.2295048946488,44,-182.16726117507278,2757.6669202420935,899.5532813896921,524.5504144348242,23,-214.63911172222652,-199994.9925669642,0.6760148447280809,1.868040705736097
2764.3004876043983,928.430243622944,508.1139200874887,-108.93336628678298,90,118892.6277060696,-218713.6041524597,173.1963917,2,1275,2764.340124808359,931.6978017503758,513.6704902206687,0,-104.8214010303127,2764.323621671577,923.7741340944508,530.528244621573,58,-95.96648800370531,2764.3332911699326,932.8058054698726,530.219625554203,21,-123.92282137325309,-199987.9595359327,0.6797956281248322,1.8840569059692636
2777.4602606969147,896.4193533459614,365.57729165980265,102.68274952331922,90,114364.17398163969,-229494.89571768403,174.3804201,2,1284,2777.468453238193,890.2392398933862,364.03684765225535,0,84.17132873173614,2777.402355500451,891.5156973154495,435.1790123040865,41,95.64561747365588,2777.404444658051,891.351330249474,387.8663306261674,18,115.0898763294208,-200039.3428645751,1.4026091575228912,4.219409349823635
